date,open,high,low,close,volume
2018-01-01 00:00:00,935.67,936.78,933.53,935.19,0
2018-01-02 00:00:00,935.19,935.19,931.23,932.18,0
2018-01-03 00:00:00,932.17,934.48,929.75,936.16,0
2018-01-04 00:00:00,936.16,936.16,933.43,935.52,0
2018-01-05 00:00:00,935.52,937.32,934.79,938.28,0
2018-01-08 00:00:00,938.29,939.26,936.08,934.75,0
2018-01-09 00:00:00,934.75,935.18,932.66,933.3,0
2018-01-10 00:00:00,933.29,933.29,928.73,928.68,0
2018-01-11 00:00:00,928.68,931.4,927.66,928.97,0
2018-01-12 00:00:00,928.97,929.31,928.12,927.8,0
2018-01-15 00:00:00,927.81,929.07,926.93,928.58,0
2018-01-16 00:00:00,928.58,928.58,920.35,921.38,0
2018-01-17 00:00:00,921.37,932.88,921.37,931.86,0
2018-01-18 00:00:00,931.85,931.85,928.11,929.47,0
2018-01-19 00:00:00,929.46,930.07,927.01,927.18,0
2018-01-22 00:00:00,927.18,929.61,925.49,929.08,0
2018-01-23 00:00:00,929.07,930.42,926.71,929.84,0
2018-01-24 00:00:00,929.84,930.92,928.13,928.3,0
2018-01-25 00:00:00,928.3,928.3,924.09,926.34,0
2018-01-29 00:00:00,926.33,927.45,919.57,917.59,0
2018-01-30 00:00:00,917.58,919.41,915.3,918.11,0
2018-01-31 00:00:00,918.1,920.44,917.77,918.15,0
2018-02-01 00:00:00,918.38,921.28,907.72,907.26,0
2018-02-02 00:00:00,907.25,914.73,902.6,909.96,0
2018-02-05 00:00:00,909.96,909.96,906.32,907.26,0
2018-02-06 00:00:00,907.25,912.68,906.88,909.59,0
2018-02-07 00:00:00,909.59,913.33,907.72,911.93,0
2018-02-08 00:00:00,911.93,915.67,911.93,916.0,0
2018-02-09 00:00:00,915.99,917.07,912.58,914.55,0
2018-02-12 00:00:00,914.55,917.35,912.3,914.18,0
2018-02-14 00:00:00,914.17,917.45,913.35,914.46,0
2018-02-15 00:00:00,914.46,914.46,907.16,909.59,0
2018-02-16 00:00:00,909.59,909.87,907.86,908.98,0
2018-02-19 00:00:00,908.98,908.98,908.98,908.98,0
2018-02-20 00:00:00,908.98,908.98,902.29,903.33,0
2018-02-21 00:00:00,903.32,904.33,901.22,900.71,0
2018-02-22 00:00:00,900.7,900.7,894.16,898.47,0
2018-02-23 00:00:00,898.46,901.83,897.9,903.39,0
2018-02-26 00:00:00,903.39,904.82,900.84,902.12,0
2018-02-27 00:00:00,902.11,902.11,900.33,903.51,0
2018-02-28 00:00:00,903.51,903.51,901.22,899.77,0
2018-03-01 00:00:00,899.77,901.92,896.87,899.01,0
2018-03-05 00:00:00,899.02,899.58,896.64,896.68,0
2018-03-06 00:00:00,896.68,898.23,895.7,896.78,0
2018-03-07 00:00:00,896.78,902.2,896.78,902.72,0
2018-03-08 00:00:00,902.71,904.77,900.7,903.8,0
2018-03-09 00:00:00,903.79,905.71,899.77,903.23,0
2018-03-12 00:00:00,903.23,905.19,901.83,905.85,0
2018-03-13 00:00:00,905.85,907.72,904.07,904.38,0
2018-03-14 00:00:00,904.38,905.01,901.9,902.42,0
2018-03-15 00:00:00,902.41,906.22,900.8,905.67,0
2018-03-16 00:00:00,905.66,907.35,904.63,910.43,0
2018-03-19 00:00:00,910.43,911.65,907.7,907.25,0
2018-03-20 00:00:00,907.25,908.47,905.85,906.79,0
2018-03-21 00:00:00,906.78,907.86,903.04,908.94,0
2018-03-22 00:00:00,908.94,910.24,906.81,910.27,0
2018-03-23 00:00:00,910.27,913.0,910.1,910.43,0
2018-03-26 00:00:00,910.43,910.43,905.85,906.32,0
2018-03-27 00:00:00,906.31,926.8,906.31,924.63,0
2018-03-28 00:00:00,924.63,927.73,919.6,920.53,0
2018-04-02 00:00:00,920.53,920.53,920.53,920.54,0
2018-04-03 00:00:00,920.53,926.05,920.53,924.75,0
2018-04-04 00:00:00,924.74,927.17,923.85,927.18,0
2018-04-05 00:00:00,927.18,934.49,926.47,937.94,0
2018-04-06 00:00:00,937.93,937.93,934.59,934.85,0
2018-04-09 00:00:00,934.85,934.85,934.85,931.57,0
2018-04-10 00:00:00,931.57,931.57,922.52,921.75,0
2018-04-11 00:00:00,921.75,923.43,914.83,911.84,0
2018-04-12 00:00:00,911.83,918.01,911.18,916.14,0
2018-04-13 00:00:00,916.14,917.52,912.79,918.47,0
2018-04-16 00:00:00,918.48,920.53,917.28,914.97,0
2018-04-17 00:00:00,914.96,916.09,913.61,914.84,0
2018-04-18 00:00:00,914.83,915.53,912.4,911.84,0
2018-04-19 00:00:00,911.83,911.83,904.68,905.97,0
2018-04-20 00:00:00,905.96,905.96,896.0,900.6,0
2018-04-23 00:00:00,900.61,903.35,897.48,899.21,0
2018-04-24 00:00:00,899.21,905.1,898.83,902.77,0
2018-04-25 00:00:00,902.76,902.76,896.96,899.37,0
2018-04-26 00:00:00,899.37,900.59,897.71,898.33,0
2018-04-27 00:00:00,898.32,899.56,897.29,897.59,0
2018-04-30 00:00:00,897.62,897.62,897.62,897.62,0
2018-05-02 00:00:00,897.62,901.83,897.62,899.77,0
2018-05-03 00:00:00,899.77,903.09,898.93,899.68,0
2018-05-04 00:00:00,899.68,900.47,898.11,900.04,0
2018-05-07 00:00:00,900.05,908.19,900.05,906.6,0
2018-05-08 00:00:00,906.6,910.99,904.56,909.2,0
2018-05-09 00:00:00,909.2,909.2,900.66,901.27,0
2018-05-10 00:00:00,901.27,901.31,898.37,900.9,0
2018-05-11 00:00:00,900.89,901.92,898.37,900.2,0
2018-05-14 00:00:00,900.21,901.83,896.33,894.16,0
2018-05-15 00:00:00,894.16,895.09,889.67,889.46,0
2018-05-16 00:00:00,889.46,891.82,887.56,889.53,0
2018-05-17 00:00:00,889.53,890.63,887.07,890.89,0
2018-05-18 00:00:00,890.89,896.68,888.17,893.67,0
2018-05-21 00:00:00,893.69,894.62,889.95,895.28,0
2018-05-22 00:00:00,895.28,896.8,893.03,895.29,0
2018-05-23 00:00:00,895.28,895.28,891.68,892.85,0
2018-05-24 00:00:00,892.85,893.69,890.7,891.54,0
2018-05-25 00:00:00,891.54,896.4,890.6,896.2,0
2018-05-28 00:00:00,896.22,900.98,896.21,899.59,0
2018-05-29 00:00:00,899.58,899.58,896.4,898.56,0
2018-05-30 00:00:00,898.55,900.8,897.52,896.97,0
2018-05-31 00:00:00,896.97,896.97,892.8,894.35,0
2018-06-01 00:00:00,894.35,894.35,891.26,893.02,0
2018-06-04 00:00:00,893.03,893.03,889.76,891.35,0
2018-06-05 00:00:00,891.35,893.41,891.35,893.88,0
2018-06-06 00:00:00,893.88,894.48,887.89,888.93,0
2018-06-07 00:00:00,888.92,888.92,884.64,884.34,0
2018-06-08 00:00:00,884.34,889.08,882.0,887.12,0
2018-06-11 00:00:00,887.14,887.14,883.87,886.21,0
2018-06-12 00:00:00,886.21,886.21,884.38,885.15,0
2018-06-13 00:00:00,886.02,888.99,885.93,888.18,0
2018-06-14 00:00:00,888.17,890.14,886.21,887.33,0
2018-06-15 00:00:00,887.33,889.67,887.33,890.68,0
2018-06-18 00:00:00,890.69,895.26,890.69,891.45,0
2018-06-19 00:00:00,891.44,892.94,890.16,892.29,0
2018-06-20 00:00:00,892.29,896.5,892.29,894.44,0
2018-06-21 00:00:00,894.44,898.25,894.44,897.76,0
2018-06-22 00:00:00,897.76,898.18,893.69,894.98,0
2018-06-25 00:00:00,895.0,895.84,892.59,894.73,0
2018-06-26 00:00:00,894.72,895.84,893.22,894.44,0
2018-06-27 00:00:00,894.44,894.44,891.54,891.87,0
2018-06-28 00:00:00,891.87,891.87,887.7,888.08,0
2018-06-29 00:00:00,888.08,892.29,888.08,890.02,0
2018-07-02 00:00:00,890.04,892.66,890.04,889.48,0
2018-07-03 00:00:00,889.48,891.73,889.48,891.24,0
2018-07-04 00:00:00,891.23,894.2,889.29,893.13,0
2018-07-05 00:00:00,893.13,893.92,891.16,890.42,0
2018-07-06 00:00:00,890.42,892.01,890.23,892.04,0
2018-07-09 00:00:00,892.05,892.47,891.35,890.89,0
2018-07-10 00:00:00,890.88,890.93,889.67,890.33,0
2018-07-11 00:00:00,890.32,892.47,889.48,892.01,0
2018-07-12 00:00:00,892.01,895.47,892.01,897.55,0
2018-07-13 00:00:00,897.55,898.32,896.38,896.84,0
2018-07-16 00:00:00,896.84,896.84,893.41,896.29,0
2018-07-17 00:00:00,896.29,900.52,896.29,899.61,0
2018-07-18 00:00:00,899.6,901.64,899.3,899.24,0
2018-07-19 00:00:00,899.23,899.23,897.24,897.25,0
2018-07-20 00:00:00,897.24,898.09,896.59,897.19,0
2018-07-23 00:00:00,897.19,897.99,895.61,895.75,0
2018-07-24 00:00:00,895.74,896.96,895.47,897.34,0
2018-07-25 00:00:00,897.34,897.34,895.7,897.23,0
2018-07-26 00:00:00,897.22,899.18,895.93,898.84,0
2018-07-27 00:00:00,898.83,898.83,897.15,897.61,0
2018-07-30 00:00:00,897.62,897.8,896.4,896.97,0
2018-07-31 00:00:00,896.96,898.27,896.96,898.07,0
2018-08-01 00:00:00,898.06,901.08,894.16,902.37,0
2018-08-02 00:00:00,902.36,908.03,902.36,901.18,0
2018-08-03 00:00:00,901.17,903.21,901.17,898.64,0
2018-08-06 00:00:00,898.65,900.21,898.65,898.37,0
2018-08-07 00:00:00,898.36,899.37,898.08,897.25,0
2018-08-08 00:00:00,897.25,897.25,896.01,897.51,0
2018-08-09 00:00:00,897.5,899.56,897.5,899.72,0
2018-08-10 00:00:00,899.72,901.99,899.72,899.2,0
2018-08-13 00:00:00,899.21,899.21,896.18,895.07,0
2018-08-14 00:00:00,895.07,895.07,892.11,895.37,0
2018-08-16 00:00:00,895.37,895.37,889.26,892.86,0
2018-08-17 00:00:00,892.87,892.87,892.87,892.86,0
2018-08-20 00:00:00,892.87,892.87,888.82,894.26,0
2018-08-21 00:00:00,894.25,894.25,890.69,894.9,0
2018-08-23 00:00:00,894.9,894.9,888.98,891.84,0
2018-08-24 00:00:00,891.84,891.84,884.41,892.23,0
2018-08-27 00:00:00,892.24,892.24,885.83,890.98,0
2018-08-28 00:00:00,890.98,890.98,882.37,890.89,0
2018-08-29 00:00:00,890.89,890.89,882.51,889.58,0
2018-08-30 00:00:00,889.57,889.57,879.78,888.78,0
2018-08-31 00:00:00,888.78,888.78,877.99,887.57,0
2018-09-03 00:00:00,887.59,887.59,876.33,884.81,0
2018-09-04 00:00:00,884.8,884.8,878.16,881.11,0
2018-09-05 00:00:00,881.11,881.11,871.94,881.89,0
2018-09-06 00:00:00,881.88,882.93,879.85,881.51,0
2018-09-07 00:00:00,881.51,884.24,881.51,883.01,0
2018-09-10 00:00:00,883.02,883.02,876.15,875.64,0
2018-09-11 00:00:00,875.64,877.18,873.88,874.24,0
2018-09-12 00:00:00,874.23,878.07,871.34,877.03,0
2018-09-14 00:00:00,877.04,880.13,877.04,877.49,0
2018-09-17 00:00:00,877.51,879.19,874.14,879.2,0
2018-09-18 00:00:00,879.19,882.47,878.07,876.76,0
2018-09-19 00:00:00,876.76,880.31,876.76,880.59,0
2018-09-21 00:00:00,880.59,884.08,877.18,880.49,0
2018-09-24 00:00:00,880.5,880.76,877.49,877.89,0
2018-09-25 00:00:00,880.5,880.5,876.92,877.66,0
2018-09-26 00:00:00,877.65,880.97,877.65,880.79,0
2018-09-27 00:00:00,880.78,882.89,880.71,883.4,0
2018-09-28 00:00:00,883.4,884.24,882.0,883.57,0
2018-10-01 00:00:00,883.59,890.14,883.59,885.73,0
2018-10-03 00:00:00,885.74,885.74,879.15,878.54,0
2018-10-04 00:00:00,878.54,878.54,872.93,875.95,0
2018-10-05 00:00:00,875.94,883.68,875.54,883.62,0
2018-10-08 00:00:00,883.64,886.67,883.64,886.56,0
2018-10-09 00:00:00,886.56,886.56,880.36,880.69,0
2018-10-10 00:00:00,880.69,883.52,880.69,883.31,0
2018-10-11 00:00:00,883.31,885.74,883.31,885.93,0
2018-10-12 00:00:00,885.92,887.42,884.64,886.1,0
2018-10-15 00:00:00,886.11,888.08,886.11,889.72,0
2018-10-16 00:00:00,889.71,892.75,887.84,892.62,0
2018-10-17 00:00:00,892.62,893.36,889.53,890.48,0
2018-10-19 00:00:00,890.49,892.29,890.23,889.79,0
2018-10-22 00:00:00,889.81,891.7,889.11,889.32,0
2018-10-23 00:00:00,889.31,892.29,888.76,891.47,0
2018-10-24 00:00:00,891.47,895.28,891.47,892.76,0
2018-10-25 00:00:00,892.75,894.44,891.91,893.04,0
2018-10-26 00:00:00,893.03,893.5,891.73,892.46,0
2018-10-29 00:00:00,892.48,897.24,892.48,896.36,0
2018-10-30 00:00:00,896.35,896.35,894.72,895.03,0
2018-10-31 00:00:00,895.02,895.02,891.63,893.88,0
2018-11-01 00:00:00,893.87,895.89,893.87,895.66,0
2018-11-02 00:00:00,895.65,900.0,895.65,898.17,0
2018-11-05 00:00:00,898.18,899.3,896.4,896.59,0
2018-11-06 00:00:00,896.59,897.66,896.59,897.28,0
2018-11-07 00:00:00,897.29,897.29,897.29,897.28,0
2018-11-09 00:00:00,897.29,899.68,897.29,899.22,0
2018-11-12 00:00:00,899.23,899.23,895.91,896.88,0
2018-11-13 00:00:00,896.87,899.68,896.87,899.4,0
2018-11-14 00:00:00,899.4,902.76,899.4,901.08,0
2018-11-15 00:00:00,901.08,901.45,899.49,899.77,0
2018-11-16 00:00:00,899.77,899.77,897.85,896.25,0
2018-11-19 00:00:00,896.26,897.71,895.09,897.71,0
2018-11-20 00:00:00,897.71,899.91,897.71,897.68,0
2018-11-21 00:00:00,897.69,897.69,897.69,897.69,0
2018-11-22 00:00:00,897.69,901.45,897.69,902.55,0
2018-11-26 00:00:00,902.57,904.91,900.98,901.64,0
2018-11-27 00:00:00,901.64,902.53,900.24,901.17,0
2018-11-28 00:00:00,901.17,905.57,901.17,906.51,0
2018-11-29 00:00:00,906.5,909.87,906.5,908.63,0
2018-11-30 00:00:00,908.63,909.5,907.42,908.74,0
2018-12-03 00:00:00,908.75,908.75,906.04,907.58,0
2018-12-04 00:00:00,907.58,911.3,907.58,910.72,0
2018-12-05 00:00:00,910.71,919.13,910.71,918.72,0
2018-12-06 00:00:00,918.71,922.5,918.57,919.79,0
2018-12-07 00:00:00,919.78,921.91,916.18,917.35,0
2018-12-10 00:00:00,917.35,917.35,912.4,909.97,0
2018-12-11 00:00:00,909.97,914.73,902.86,913.52,0
2018-12-12 00:00:00,913.52,920.72,913.52,920.54,0
2018-12-13 00:00:00,920.53,922.68,919.04,920.72,0
2018-12-14 00:00:00,920.72,920.72,917.35,918.75,0
2018-12-17 00:00:00,918.76,919.95,917.54,917.54,0
2018-12-18 00:00:00,917.54,922.31,917.54,924.56,0
2018-12-19 00:00:00,922.52,931.2,922.52,932.18,0
2018-12-20 00:00:00,932.18,932.18,928.81,929.0,0
2018-12-21 00:00:00,929.0,929.96,926.43,928.71,0
2018-12-24 00:00:00,928.72,928.72,926.99,928.14,0
2018-12-26 00:00:00,928.14,931.71,928.14,929.61,0
2018-12-27 00:00:00,929.61,931.36,927.17,928.79,0
2018-12-28 00:00:00,928.79,929.47,925.96,921.84,0
2018-12-31 00:00:00,921.84,925.12,921.84,923.16,0
2019-01-01 00:00:00,923.15,923.15,918.52,920.23,0
2019-01-02 00:00:00,920.23,924.46,920.23,924.07,0
2019-01-03 00:00:00,924.06,924.06,919.5,919.7,0
2019-01-04 00:00:00,919.69,921.09,916.89,918.44,0
2019-01-07 00:00:00,918.45,919.22,914.27,914.92,0
2019-01-08 00:00:00,914.92,919.01,913.38,918.13,0
2019-01-09 00:00:00,918.12,918.83,916.42,917.13,0
2019-01-10 00:00:00,917.12,917.54,914.45,916.8,0
