date,open,high,low,close,volume
2005-04-01 00:00:00,1000.0,1000.0,1000.0,1000.0,0
2005-04-04 00:00:00,995.05,995.05,995.05,995.05,0
2005-04-05 00:00:00,981.21,981.21,981.21,981.21,0
2005-04-06 00:00:00,989.2,989.2,989.2,989.2,0
2005-04-07 00:00:00,991.92,991.92,991.92,991.92,0
2005-04-08 00:00:00,989.07,989.07,989.07,989.07,0
2005-04-11 00:00:00,980.34,980.34,980.34,980.34,0
2005-04-12 00:00:00,990.18,990.18,990.18,990.18,0
2005-04-13 00:00:00,986.06,986.06,986.06,986.06,0
2005-04-15 00:00:00,963.41,963.41,963.41,963.41,0
2005-04-18 00:00:00,964.93,964.93,964.93,964.93,0
2005-04-19 00:00:00,955.06,955.06,955.06,955.06,0
2005-04-20 00:00:00,971.87,971.87,971.87,971.87,0
2005-04-21 00:00:00,981.4,981.4,981.4,981.4,0
2005-04-22 00:00:00,986.23,986.23,986.23,986.23,0
2005-04-25 00:00:00,993.66,993.66,993.66,993.66,0
2005-04-26 00:00:00,991.71,991.71,991.71,991.71,0
2005-04-27 00:00:00,982.36,982.36,982.36,982.36,0
2005-04-28 00:00:00,978.98,978.98,978.98,978.98,0
2005-04-29 00:00:00,967.61,967.61,967.61,967.61,0
2005-05-02 00:00:00,973.78,973.78,973.78,973.78,0
2005-05-03 00:00:00,974.64,974.64,974.64,974.64,0
2005-05-04 00:00:00,979.37,979.37,979.37,979.37,0
2005-05-05 00:00:00,986.78,986.78,986.78,986.78,0
2005-05-06 00:00:00,995.61,995.61,995.61,995.61,0
2005-05-09 00:00:00,1007.92,1007.92,1007.92,1007.92,0
2005-05-10 00:00:00,1002.1,1002.1,1002.1,1002.1,0
2005-05-11 00:00:00,1000.68,1000.68,1000.68,1000.68,0
2005-05-12 00:00:00,1006.88,1006.88,1006.88,1006.88,0
2005-05-13 00:00:00,1006.76,1006.76,1006.76,1006.76,0
2005-05-16 00:00:00,1018.35,1018.35,1018.35,1018.35,0
2005-05-17 00:00:00,1011.37,1011.37,1011.37,1011.37,0
2005-05-18 00:00:00,1008.09,1008.09,1008.09,1008.09,0
2005-05-19 00:00:00,1011.41,1011.41,1011.41,1011.41,0
2005-05-20 00:00:00,1011.88,1011.88,1011.88,1011.88,0
2005-05-23 00:00:00,1019.2,1019.2,1019.2,1019.2,0
2005-05-24 00:00:00,1025.23,1025.23,1025.23,1025.23,0
2005-05-25 00:00:00,1027.16,1027.16,1027.16,1027.16,0
2005-05-26 00:00:00,1030.36,1030.36,1030.36,1030.36,0
2005-05-27 00:00:00,1027.8,1027.8,1027.8,1027.8,0
2005-05-30 00:00:00,1018.9,1018.9,1018.9,1018.9,0
2005-05-31 00:00:00,1025.59,1025.59,1025.59,1025.59,0
2005-06-01 00:00:00,1032.8,1032.8,1032.8,1032.8,0
2005-06-02 00:00:00,1024.95,1024.95,1024.95,1024.95,0
2005-06-03 00:00:00,1029.97,1029.97,1029.97,1029.97,0
2005-06-04 00:00:00,1032.36,1032.36,1032.36,1032.36,0
2005-06-06 00:00:00,1033.73,1033.73,1033.73,1033.73,0
2005-06-07 00:00:00,1035.44,1035.44,1035.44,1035.44,0
2005-06-08 00:00:00,1043.43,1043.43,1043.43,1043.43,0
2005-06-09 00:00:00,1045.08,1045.08,1045.08,1045.08,0
2005-06-10 00:00:00,1034.27,1034.27,1034.27,1034.27,0
2005-06-13 00:00:00,1032.85,1032.85,1032.85,1032.85,0
2005-06-14 00:00:00,1029.15,1029.15,1029.15,1029.15,0
2005-06-15 00:00:00,1033.93,1033.93,1033.93,1033.93,0
2005-06-16 00:00:00,1029.93,1029.93,1029.93,1029.93,0
2005-06-17 00:00:00,1024.18,1024.18,1024.18,1024.18,0
2005-06-20 00:00:00,1019.16,1019.16,1019.16,1019.16,0
2005-06-21 00:00:00,1022.08,1022.08,1022.08,1022.08,0
2005-06-22 00:00:00,1030.68,1030.68,1030.68,1030.68,0
2005-06-23 00:00:00,1036.6,1036.6,1036.6,1036.6,0
2005-06-24 00:00:00,1042.34,1042.34,1042.34,1042.34,0
2005-06-27 00:00:00,1047.24,1047.24,1047.24,1047.24,0
2005-06-28 00:00:00,1027.61,1027.61,1027.61,1027.61,0
2005-06-29 00:00:00,1031.36,1031.36,1031.36,1031.36,0
2005-06-30 00:00:00,1025.54,1025.54,1025.54,1025.54,0
2005-07-01 00:00:00,1038.9,1038.9,1038.9,1038.9,0
2005-07-04 00:00:00,1043.37,1043.37,1043.37,1043.37,0
2005-07-05 00:00:00,1047.36,1047.36,1047.36,1047.36,0
2005-07-06 00:00:00,1052.16,1052.16,1052.16,1052.16,0
2005-07-07 00:00:00,1038.79,1038.79,1038.79,1038.79,0
2005-07-08 00:00:00,1044.18,1044.18,1044.18,1044.18,0
2005-07-11 00:00:00,1053.68,1053.68,1053.68,1053.68,0
2005-07-12 00:00:00,1060.01,1060.01,1060.01,1060.01,0
2005-07-13 00:00:00,1056.55,1056.55,1056.55,1056.55,0
2005-07-14 00:00:00,1060.95,1060.95,1060.95,1060.95,0
2005-07-15 00:00:00,1076.24,1076.24,1076.24,1076.24,0
2005-07-18 00:00:00,1089.07,1089.07,1089.07,1089.07,0
2005-07-19 00:00:00,1101.63,1101.63,1101.63,1101.63,0
2005-07-20 00:00:00,1107.89,1107.89,1107.89,1107.89,0
2005-07-21 00:00:00,1095.93,1095.93,1095.93,1095.93,0
2005-07-22 00:00:00,1107.98,1107.98,1107.98,1107.98,0
2005-07-25 00:00:00,1117.92,1117.92,1117.92,1117.92,0
2005-07-26 00:00:00,1115.26,1115.26,1115.26,1115.26,0
2005-07-27 00:00:00,1120.53,1120.53,1120.53,1120.53,0
2005-07-29 00:00:00,1118.78,1118.78,1118.78,1118.78,0
2005-08-01 00:00:00,1135.49,1135.49,1135.49,1135.49,0
2005-08-02 00:00:00,1162.34,1162.34,1162.34,1162.34,0
2005-08-03 00:00:00,1156.29,1156.29,1156.29,1156.29,0
2005-08-04 00:00:00,1156.62,1156.62,1156.62,1156.62,0
2005-08-05 00:00:00,1156.67,1156.67,1156.67,1156.67,0
2005-08-08 00:00:00,1129.64,1129.64,1129.64,1129.64,0
2005-08-09 00:00:00,1127.27,1127.27,1127.27,1127.27,0
2005-08-10 00:00:00,1144.78,1144.78,1144.78,1144.78,0
2005-08-11 00:00:00,1155.79,1155.79,1155.79,1155.79,0
2005-08-12 00:00:00,1157.8,1157.8,1157.8,1157.8,0
2005-08-16 00:00:00,1157.86,1157.86,1157.86,1157.86,0
2005-08-17 00:00:00,1165.4,1165.4,1165.4,1165.4,0
2005-08-18 00:00:00,1162.32,1162.32,1162.32,1162.32,0
2005-08-19 00:00:00,1165.81,1165.81,1165.81,1165.81,0
2005-08-22 00:00:00,1151.42,1151.42,1151.42,1151.42,0
2005-08-23 00:00:00,1136.51,1136.51,1136.51,1136.51,0
2005-08-24 00:00:00,1129.37,1129.37,1129.37,1129.37,0
2005-08-25 00:00:00,1133.33,1133.33,1133.33,1133.33,0
2005-08-26 00:00:00,1147.75,1147.75,1147.75,1147.75,0
2005-08-29 00:00:00,1140.36,1140.36,1140.36,1140.36,0
2005-08-30 00:00:00,1153.58,1153.58,1153.58,1153.58,0
2005-08-31 00:00:00,1164.2,1164.2,1164.2,1164.2,0
2005-09-01 00:00:00,1175.25,1175.25,1175.25,1175.25,0
2005-09-02 00:00:00,1189.03,1189.03,1189.03,1189.03,0
2005-09-05 00:00:00,1192.31,1192.31,1192.31,1192.31,0
2005-09-06 00:00:00,1199.9,1199.9,1199.9,1199.9,0
2005-09-08 00:00:00,1214.69,1214.69,1214.69,1214.69,0
2005-09-09 00:00:00,1217.9,1217.9,1217.9,1217.9,0
2005-09-12 00:00:00,1235.47,1235.47,1235.47,1235.47,0
2005-09-13 00:00:00,1247.27,1247.27,1247.27,1247.27,0
2005-09-14 00:00:00,1247.02,1247.02,1247.02,1247.02,0
2005-09-15 00:00:00,1252.74,1252.74,1252.74,1252.74,0
2005-09-16 00:00:00,1255.97,1255.97,1255.97,1255.97,0
2005-09-19 00:00:00,1273.27,1273.27,1273.27,1273.27,0
2005-09-20 00:00:00,1265.39,1265.39,1265.39,1265.39,0
2005-09-21 00:00:00,1243.79,1243.79,1243.79,1243.79,0
2005-09-22 00:00:00,1199.42,1199.42,1199.42,1199.42,0
2005-09-23 00:00:00,1218.88,1218.88,1218.88,1218.88,0
2005-09-26 00:00:00,1250.56,1250.56,1250.56,1250.56,0
2005-09-27 00:00:00,1262.26,1262.26,1262.26,1262.26,0
2005-09-28 00:00:00,1264.78,1264.78,1264.78,1264.78,0
2005-09-29 00:00:00,1269.72,1269.72,1269.72,1269.72,0
2005-09-30 00:00:00,1264.35,1264.35,1264.35,1264.35,0
2005-10-03 00:00:00,1293.44,1293.44,1293.44,1293.44,0
2005-10-04 00:00:00,1314.77,1314.77,1314.77,1314.77,0
2005-10-05 00:00:00,1316.0,1316.0,1316.0,1316.0,0
2005-10-06 00:00:00,1303.49,1303.49,1303.49,1303.49,0
2005-10-07 00:00:00,1299.73,1299.73,1299.73,1299.73,0
2005-10-10 00:00:00,1291.66,1291.66,1291.66,1291.66,0
2005-10-11 00:00:00,1296.66,1296.66,1296.66,1296.66,0
2005-10-13 00:00:00,1276.64,1276.64,1276.64,1276.64,0
2005-10-14 00:00:00,1253.83,1253.83,1253.83,1253.83,0
2005-10-17 00:00:00,1242.48,1242.48,1242.48,1242.48,0
2005-10-18 00:00:00,1241.91,1241.91,1241.91,1241.91,0
2005-10-19 00:00:00,1214.8,1214.8,1214.8,1214.8,0
2005-10-20 00:00:00,1208.07,1208.07,1208.07,1208.07,0
2005-10-21 00:00:00,1230.21,1230.21,1230.21,1230.21,0
2005-10-24 00:00:00,1230.94,1230.94,1230.94,1230.94,0
2005-10-25 00:00:00,1235.52,1235.52,1235.52,1235.52,0
2005-10-26 00:00:00,1221.26,1221.26,1221.26,1221.26,0
2005-10-27 00:00:00,1195.23,1195.23,1195.23,1195.23,0
2005-10-28 00:00:00,1172.39,1172.39,1172.39,1172.39,0
2005-10-31 00:00:00,1191.39,1191.39,1191.39,1191.39,0
2005-11-01 00:00:00,1204.09,1204.09,1204.09,1204.09,0
2005-11-02 00:00:00,1209.1,1209.1,1209.1,1209.1,0
2005-11-07 00:00:00,1231.55,1231.55,1231.55,1231.55,0
2005-11-08 00:00:00,1250.98,1250.98,1250.98,1250.98,0
2005-11-09 00:00:00,1242.05,1242.05,1242.05,1242.05,0
2005-11-10 00:00:00,1245.31,1245.31,1245.31,1245.31,0
2005-11-11 00:00:00,1279.34,1279.34,1279.34,1279.34,0
2005-11-14 00:00:00,1283.11,1283.11,1283.11,1283.11,0
2005-11-16 00:00:00,1292.56,1292.56,1292.56,1292.56,0
2005-11-17 00:00:00,1302.52,1302.52,1302.52,1302.52,0
2005-11-18 00:00:00,1313.9,1313.9,1313.9,1313.9,0
2005-11-21 00:00:00,1315.28,1315.28,1315.28,1315.28,0
2005-11-22 00:00:00,1305.14,1305.14,1305.14,1305.14,0
2005-11-23 00:00:00,1324.18,1324.18,1324.18,1324.18,0
2005-11-24 00:00:00,1336.46,1336.46,1336.46,1336.46,0
2005-11-25 00:00:00,1356.58,1356.58,1356.58,1356.58,0
2005-11-26 00:00:00,1367.77,1367.77,1367.77,1367.77,0
2005-11-28 00:00:00,1386.38,1386.38,1386.38,1386.38,0
2005-11-29 00:00:00,1380.71,1380.71,1380.71,1380.71,0
2005-11-30 00:00:00,1360.35,1360.35,1360.35,1360.35,0
2005-12-01 00:00:00,1388.23,1388.23,1388.23,1388.23,0
2005-12-02 00:00:00,1384.07,1384.07,1384.07,1384.07,0
2005-12-05 00:00:00,1369.44,1369.44,1369.44,1369.44,0
2005-12-06 00:00:00,1364.11,1364.11,1364.11,1364.11,0
2005-12-07 00:00:00,1375.59,1375.59,1375.59,1375.59,0
2005-12-08 00:00:00,1385.18,1385.18,1385.18,1385.18,0
2005-12-09 00:00:00,1397.14,1397.14,1397.14,1397.14,0
2005-12-12 00:00:00,1411.56,1411.56,1411.56,1411.56,0
2005-12-13 00:00:00,1427.56,1427.56,1427.56,1427.56,0
2005-12-14 00:00:00,1424.7,1424.7,1424.7,1424.7,0
2005-12-15 00:00:00,1408.19,1408.19,1408.19,1408.19,0
2005-12-16 00:00:00,1419.18,1419.18,1419.18,1419.18,0
2005-12-19 00:00:00,1437.1,1437.1,1437.1,1437.1,0
2005-12-20 00:00:00,1437.06,1437.06,1437.06,1437.06,0
2005-12-21 00:00:00,1438.69,1438.69,1438.69,1438.69,0
2005-12-22 00:00:00,1441.21,1441.21,1441.21,1441.21,0
2005-12-23 00:00:00,1432.17,1432.17,1432.17,1432.17,0
2005-12-26 00:00:00,1406.96,1406.96,1406.96,1406.96,0
2005-12-27 00:00:00,1440.33,1440.33,1440.33,1440.33,0
2005-12-28 00:00:00,1437.3,1437.3,1437.3,1437.3,0
2005-12-29 00:00:00,1446.53,1446.53,1446.53,1446.53,0
2005-12-30 00:00:00,1456.23,1456.23,1456.23,1456.23,0
2006-01-02 00:00:00,1449.74,1449.74,1449.74,1449.74,0
2006-01-03 00:00:00,1464.8,1464.8,1464.8,1464.8,0
2006-01-04 00:00:00,1478.37,1478.37,1478.37,1478.37,0
2006-01-05 00:00:00,1479.9,1479.9,1479.9,1479.9,0
2006-01-06 00:00:00,1480.37,1480.37,1480.37,1480.37,0
2006-01-09 00:00:00,1483.27,1483.27,1483.27,1483.27,0
2006-01-10 00:00:00,1463.96,1463.96,1463.96,1463.96,0
2006-01-12 00:00:00,1454.32,1454.32,1454.32,1454.32,0
2006-01-13 00:00:00,1452.81,1452.81,1452.81,1452.81,0
2006-01-16 00:00:00,1445.61,1445.61,1445.61,1445.61,0
2006-01-17 00:00:00,1438.54,1438.54,1438.54,1438.54,0
2006-01-18 00:00:00,1426.8,1426.8,1426.8,1426.8,0
2006-01-19 00:00:00,1447.46,1447.46,1447.46,1447.46,0
2006-01-20 00:00:00,1465.55,1465.55,1465.55,1465.55,0
2006-01-23 00:00:00,1445.17,1445.17,1445.17,1445.17,0
2006-01-24 00:00:00,1450.74,1450.74,1450.74,1450.74,0
2006-01-25 00:00:00,1454.03,1454.03,1454.03,1454.03,0
2006-01-27 00:00:00,1475.33,1475.33,1475.33,1475.33,0
2006-01-30 00:00:00,1463.0,1463.0,1463.0,1463.0,0
2006-01-31 00:00:00,1477.32,1477.32,1477.32,1477.32,0
2006-02-01 00:00:00,1464.34,1464.34,1464.34,1464.34,0
2006-02-02 00:00:00,1473.76,1473.76,1473.76,1473.76,0
2006-02-03 00:00:00,1485.35,1485.35,1485.35,1485.35,0
2006-02-06 00:00:00,1500.0,1500.0,1500.0,1500.0,0
2006-02-07 00:00:00,1527.02,1527.02,1527.02,1527.02,0
2006-02-08 00:00:00,1518.64,1518.64,1518.64,1518.64,0
2006-02-10 00:00:00,1526.96,1526.96,1526.96,1526.96,0
