date,open,high,low,close,volume
2005-04-01 00:00:00,1000.0,1000.0,1000.0,1000.0,0
2005-04-04 00:00:00,1002.14,1002.14,1002.14,1002.14,0
2005-04-05 00:00:00,987.79,987.79,987.79,987.79,0
2005-04-06 00:00:00,997.86,997.86,997.86,997.86,0
2005-04-07 00:00:00,996.71,996.71,996.71,996.71,0
2005-04-08 00:00:00,983.87,983.87,983.87,983.87,0
2005-04-11 00:00:00,978.93,978.93,978.93,978.93,0
2005-04-12 00:00:00,989.64,989.64,989.64,989.64,0
2005-04-13 00:00:00,990.52,990.52,990.52,990.52,0
2005-04-15 00:00:00,961.51,961.51,961.51,961.51,0
2005-04-18 00:00:00,948.31,948.31,948.31,948.31,0
2005-04-19 00:00:00,941.71,941.71,941.71,941.71,0
2005-04-20 00:00:00,952.62,952.62,952.62,952.62,0
2005-04-21 00:00:00,967.81,967.81,967.81,967.81,0
2005-04-22 00:00:00,984.51,984.51,984.51,984.51,0
2005-04-25 00:00:00,985.57,985.57,985.57,985.57,0
2005-04-26 00:00:00,985.48,985.48,985.48,985.48,0
2005-04-27 00:00:00,978.1,978.1,978.1,978.1,0
2005-04-28 00:00:00,977.67,977.67,977.67,977.67,0
2005-04-29 00:00:00,960.24,960.24,960.24,960.24,0
2005-05-02 00:00:00,959.5,959.5,959.5,959.5,0
2005-05-03 00:00:00,963.38,963.38,963.38,963.38,0
2005-05-04 00:00:00,975.95,975.95,975.95,975.95,0
2005-05-05 00:00:00,984.31,984.31,984.31,984.31,0
2005-05-06 00:00:00,986.14,986.14,986.14,986.14,0
2005-05-09 00:00:00,999.23,999.23,999.23,999.23,0
2005-05-10 00:00:00,995.77,995.77,995.77,995.77,0
2005-05-11 00:00:00,992.99,992.99,992.99,992.99,0
2005-05-12 00:00:00,996.46,996.46,996.46,996.46,0
2005-05-13 00:00:00,1000.32,1000.32,1000.32,1000.32,0
2005-05-16 00:00:00,1010.64,1010.64,1010.64,1010.64,0
2005-05-17 00:00:00,1003.53,1003.53,1003.53,1003.53,0
2005-05-18 00:00:00,1002.87,1002.87,1002.87,1002.87,0
2005-05-19 00:00:00,1010.99,1010.99,1010.99,1010.99,0
2005-05-20 00:00:00,1006.42,1006.42,1006.42,1006.42,0
2005-05-23 00:00:00,1008.69,1008.69,1008.69,1008.69,0
2005-05-24 00:00:00,1016.03,1016.03,1016.03,1016.03,0
2005-05-25 00:00:00,1019.81,1019.81,1019.81,1019.81,0
2005-05-26 00:00:00,1024.46,1024.46,1024.46,1024.46,0
2005-05-27 00:00:00,1022.08,1022.08,1022.08,1022.08,0
2005-05-30 00:00:00,1015.29,1015.29,1015.29,1015.29,0
2005-05-31 00:00:00,1025.4,1025.4,1025.4,1025.4,0
2005-06-01 00:00:00,1024.06,1024.06,1024.06,1024.06,0
2005-06-02 00:00:00,1013.44,1013.44,1013.44,1013.44,0
2005-06-03 00:00:00,1018.61,1018.61,1018.61,1018.61,0
2005-06-04 00:00:00,1024.03,1024.03,1024.03,1024.03,0
2005-06-06 00:00:00,1021.33,1021.33,1021.33,1021.33,0
2005-06-07 00:00:00,1022.89,1022.89,1022.89,1022.89,0
2005-06-08 00:00:00,1023.31,1023.31,1023.31,1023.31,0
2005-06-09 00:00:00,1022.51,1022.51,1022.51,1022.51,0
2005-06-10 00:00:00,1017.59,1017.59,1017.59,1017.59,0
2005-06-13 00:00:00,1013.63,1013.63,1013.63,1013.63,0
2005-06-14 00:00:00,1021.13,1021.13,1021.13,1021.13,0
2005-06-15 00:00:00,1028.57,1028.57,1028.57,1028.57,0
2005-06-16 00:00:00,1019.62,1019.62,1019.62,1019.62,0
2005-06-17 00:00:00,1010.58,1010.58,1010.58,1010.58,0
2005-06-20 00:00:00,1007.53,1007.53,1007.53,1007.53,0
2005-06-21 00:00:00,1011.45,1011.45,1011.45,1011.45,0
2005-06-22 00:00:00,1010.82,1010.82,1010.82,1010.82,0
2005-06-23 00:00:00,1013.55,1013.55,1013.55,1013.55,0
2005-06-24 00:00:00,1018.13,1018.13,1018.13,1018.13,0
2005-06-27 00:00:00,1019.84,1019.84,1019.84,1019.84,0
2005-06-28 00:00:00,1004.5,1004.5,1004.5,1004.5,0
2005-06-29 00:00:00,1010.84,1010.84,1010.84,1010.84,0
2005-06-30 00:00:00,1014.1,1014.1,1014.1,1014.1,0
2005-07-01 00:00:00,1025.46,1025.46,1025.46,1025.46,0
2005-07-04 00:00:00,1040.09,1040.09,1040.09,1040.09,0
2005-07-05 00:00:00,1040.82,1040.82,1040.82,1040.82,0
2005-07-06 00:00:00,1057.31,1057.31,1057.31,1057.31,0
2005-07-07 00:00:00,1051.27,1051.27,1051.27,1051.27,0
2005-07-08 00:00:00,1070.77,1070.77,1070.77,1070.77,0
2005-07-11 00:00:00,1085.95,1085.95,1085.95,1085.95,0
2005-07-12 00:00:00,1081.24,1081.24,1081.24,1081.24,0
2005-07-13 00:00:00,1088.68,1088.68,1088.68,1088.68,0
2005-07-14 00:00:00,1083.43,1083.43,1083.43,1083.43,0
2005-07-15 00:00:00,1096.07,1096.07,1096.07,1096.07,0
2005-07-18 00:00:00,1111.5,1111.5,1111.5,1111.5,0
2005-07-19 00:00:00,1115.57,1115.57,1115.57,1115.57,0
2005-07-20 00:00:00,1123.01,1123.01,1123.01,1123.01,0
2005-07-21 00:00:00,1121.42,1121.42,1121.42,1121.42,0
2005-07-22 00:00:00,1131.75,1131.75,1131.75,1131.75,0
2005-07-25 00:00:00,1142.79,1142.79,1142.79,1142.79,0
2005-07-26 00:00:00,1144.46,1144.46,1144.46,1144.46,0
2005-07-27 00:00:00,1146.58,1146.58,1146.58,1146.58,0
2005-07-29 00:00:00,1136.31,1136.31,1136.31,1136.31,0
2005-08-01 00:00:00,1141.49,1141.49,1141.49,1141.49,0
2005-08-02 00:00:00,1161.35,1161.35,1161.35,1161.35,0
2005-08-03 00:00:00,1174.18,1174.18,1174.18,1174.18,0
2005-08-04 00:00:00,1185.56,1185.56,1185.56,1185.56,0
2005-08-05 00:00:00,1192.58,1192.58,1192.58,1192.58,0
2005-08-08 00:00:00,1180.52,1180.52,1180.52,1180.52,0
2005-08-09 00:00:00,1180.42,1180.42,1180.42,1180.42,0
2005-08-10 00:00:00,1208.3,1208.3,1208.3,1208.3,0
2005-08-11 00:00:00,1216.42,1216.42,1216.42,1216.42,0
2005-08-12 00:00:00,1219.45,1219.45,1219.45,1219.45,0
2005-08-16 00:00:00,1226.64,1226.64,1226.64,1226.64,0
2005-08-17 00:00:00,1235.93,1235.93,1235.93,1235.93,0
2005-08-18 00:00:00,1228.12,1228.12,1228.12,1228.12,0
2005-08-19 00:00:00,1227.13,1227.13,1227.13,1227.13,0
2005-08-22 00:00:00,1225.56,1225.56,1225.56,1225.56,0
2005-08-23 00:00:00,1195.89,1195.89,1195.89,1195.89,0
2005-08-24 00:00:00,1176.6,1176.6,1176.6,1176.6,0
