date,open,high,low,close,volume
2011-04-01 00:00:00,1000.0,1000.0,1000.0,1000.0,0
2011-04-04 00:00:00,1016.95,1016.95,1016.95,1016.95,0
2011-04-05 00:00:00,1017.71,1017.71,1017.71,1017.71,0
2011-04-06 00:00:00,1013.75,1013.75,1013.75,1013.75,0
2011-04-07 00:00:00,1014.67,1014.67,1014.67,1014.67,0
2011-04-08 00:00:00,1005.03,1005.03,1005.03,1005.03,0
2011-04-11 00:00:00,993.46,993.46,993.46,993.46,0
2011-04-13 00:00:00,1016.43,1016.43,1016.43,1016.43,0
2011-04-15 00:00:00,999.7,999.7,999.7,999.7,0
2011-04-18 00:00:00,980.51,980.51,980.51,980.51,0
2011-04-19 00:00:00,985.6,985.6,985.6,985.6,0
2011-04-20 00:00:00,1005.18,1005.18,1005.18,1005.18,0
2011-04-21 00:00:00,1008.14,1008.14,1008.14,1008.14,0
2011-04-25 00:00:00,1006.67,1006.67,1006.67,1006.67,0
2011-04-26 00:00:00,1004.02,1004.02,1004.02,1004.02,0
2011-04-27 00:00:00,996.82,996.82,996.82,996.82,0
2011-04-28 00:00:00,988.51,988.51,988.51,988.51,0
2011-04-29 00:00:00,981.7,981.7,981.7,981.7,0
2011-05-02 00:00:00,973.42,973.42,973.42,973.42,0
2011-05-03 00:00:00,948.1,948.1,948.1,948.1,0
2011-05-04 00:00:00,940.06,940.06,940.06,940.06,0
2011-05-05 00:00:00,928.26,928.26,928.26,928.26,0
2011-05-06 00:00:00,951.18,951.18,951.18,951.18,0
2011-05-09 00:00:00,948.38,948.38,948.38,948.38,0
2011-05-10 00:00:00,943.39,943.39,943.39,943.39,0
2011-05-11 00:00:00,946.43,946.43,946.43,946.43,0
2011-05-12 00:00:00,932.65,932.65,932.65,932.65,0
2011-05-13 00:00:00,942.99,942.99,942.99,942.99,0
2011-05-16 00:00:00,935.48,935.48,935.48,935.48,0
2011-05-17 00:00:00,928.09,928.09,928.09,928.09,0
2011-05-18 00:00:00,925.77,925.77,925.77,925.77,0
2011-05-19 00:00:00,930.49,930.49,930.49,930.49,0
2011-05-20 00:00:00,944.1,944.1,944.1,944.1,0
2011-05-23 00:00:00,927.12,927.12,927.12,927.12,0
2011-05-24 00:00:00,932.18,932.18,932.18,932.18,0
2011-05-25 00:00:00,922.68,922.68,922.68,922.68,0
2011-05-26 00:00:00,934.16,934.16,934.16,934.16,0
2011-05-27 00:00:00,943.12,943.12,943.12,943.12,0
2011-05-30 00:00:00,940.92,940.92,940.92,940.92,0
2011-05-31 00:00:00,954.32,954.32,954.32,954.32,0
2011-06-01 00:00:00,959.04,959.04,959.04,959.04,0
2011-06-02 00:00:00,949.42,949.42,949.42,949.42,0
2011-06-03 00:00:00,946.32,946.32,946.32,946.32,0
2011-06-06 00:00:00,949.63,949.63,949.63,949.63,0
2011-06-07 00:00:00,954.3,954.3,954.3,954.3,0
2011-06-08 00:00:00,949.59,949.59,949.59,949.59,0
2011-06-09 00:00:00,949.77,949.77,949.77,949.77,0
2011-06-10 00:00:00,943.67,943.67,943.67,943.67,0
2011-06-13 00:00:00,942.78,942.78,942.78,942.78,0
2011-06-14 00:00:00,944.53,944.53,944.53,944.53,0
2011-06-15 00:00:00,935.66,935.66,935.66,935.66,0
2011-06-16 00:00:00,922.36,922.36,922.36,922.36,0
2011-06-17 00:00:00,915.96,915.96,915.96,915.96,0
2011-06-20 00:00:00,898.14,898.14,898.14,898.14,0
2011-06-21 00:00:00,902.18,902.18,902.18,902.18,0
2011-06-22 00:00:00,902.8,902.8,902.8,902.8,0
2011-06-23 00:00:00,909.13,909.13,909.13,909.13,0
2011-06-24 00:00:00,935.2,935.2,935.2,935.2,0
2011-06-27 00:00:00,947.75,947.75,947.75,947.75,0
2011-06-28 00:00:00,949.96,949.96,949.96,949.96,0
2011-06-29 00:00:00,957.1,957.1,957.1,957.1,0
2011-06-30 00:00:00,964.44,964.44,964.44,964.44,0
2011-07-01 00:00:00,959.78,959.78,959.78,959.78,0
2011-07-04 00:00:00,963.86,963.86,963.86,963.86,0
2011-07-05 00:00:00,963.39,963.39,963.39,963.39,0
2011-07-06 00:00:00,963.89,963.89,963.89,963.89,0
2011-07-07 00:00:00,979.82,979.82,979.82,979.82,0
2011-07-08 00:00:00,966.57,966.57,966.57,966.57,0
2011-07-11 00:00:00,957.97,957.97,957.97,957.97,0
2011-07-12 00:00:00,939.51,939.51,939.51,939.51,0
2011-07-13 00:00:00,948.4,948.4,948.4,948.4,0
2011-07-14 00:00:00,951.05,951.05,951.05,951.05,0
2011-07-15 00:00:00,950.12,950.12,950.12,950.12,0
2011-07-18 00:00:00,945.68,945.68,945.68,945.68,0
2011-07-19 00:00:00,952.18,952.18,952.18,952.18,0
2011-07-20 00:00:00,943.57,943.57,943.57,943.57,0
2011-07-21 00:00:00,938.06,938.06,938.06,938.06,0
2011-07-22 00:00:00,954.82,954.82,954.82,954.82,0
2011-07-25 00:00:00,963.11,963.11,963.11,963.11,0
2011-07-26 00:00:00,946.88,946.88,946.88,946.88,0
2011-07-27 00:00:00,943.95,943.95,943.95,943.95,0
2011-07-28 00:00:00,931.44,931.44,931.44,931.44,0
2011-07-29 00:00:00,931.79,931.79,931.79,931.79,0
2011-08-01 00:00:00,939.26,939.26,939.26,939.26,0
2011-08-02 00:00:00,928.86,928.86,928.86,928.86,0
2011-08-03 00:00:00,916.19,916.19,916.19,916.19,0
2011-08-04 00:00:00,905.91,905.91,905.91,905.91,0
2011-08-05 00:00:00,885.04,885.04,885.04,885.04,0
2011-08-08 00:00:00,866.58,866.58,866.58,866.58,0
2011-08-09 00:00:00,853.79,853.79,853.79,853.79,0
2011-08-10 00:00:00,874.97,874.97,874.97,874.97,0
2011-08-11 00:00:00,870.32,870.32,870.32,870.32,0
2011-08-12 00:00:00,857.38,857.38,857.38,857.38,0
2011-08-16 00:00:00,852.04,852.04,852.04,852.04,0
