date,open,high,low,close,volume
2020-06-30,1000.0,1000.0,1000.0,1000.0,0
2020-07-01,1001.56,1001.56,1001.56,1001.56,0
2020-07-02,1004.48,1004.48,1004.48,1004.48,0
2020-07-03,1003.79,1003.79,1003.79,1003.79,0
2020-07-06,1005.04,1005.04,1005.04,1005.04,0
2020-07-07,1006.93,1006.93,1006.93,1006.93,0
2020-07-08,1012.12,1012.12,1012.12,1012.12,0
2020-07-09,1013.6,1013.6,1013.6,1013.6,0
2020-07-10,1020.7,1020.7,1020.7,1020.7,0
2020-07-13,1021.43,1021.43,1021.43,1021.43,0
2020-07-14,1019.29,1019.29,1019.29,1019.29,0
2020-07-15,1021.53,1021.53,1021.53,1021.53,0
2020-07-16,1020.68,1020.68,1020.68,1020.68,0
2020-07-17,1019.32,1019.32,1019.32,1019.32,0
2020-07-20,1019.55,1019.55,1019.55,1019.55,0
2020-07-21,1019.14,1019.14,1019.14,1019.14,0
2020-07-22,1017.51,1017.51,1017.51,1017.51,0
2020-07-23,1017.82,1017.82,1017.82,1017.82,0
2020-07-24,1018.76,1018.76,1018.76,1018.76,0
2020-07-27,1018.1,1018.1,1018.1,1018.1,0
2020-07-28,1015.62,1015.62,1015.62,1015.62,0
2020-07-29,1016.35,1016.35,1016.35,1016.35,0
2020-07-30,1020.25,1020.25,1020.25,1020.25,0
2020-07-31,1022.13,1022.13,1022.13,1022.13,0
2020-08-03,1023.18,1023.18,1023.18,1023.18,0
2020-08-04,1022.81,1022.81,1022.81,1022.81,0
2020-08-05,1023.5,1023.5,1023.5,1023.5,0
2020-08-06,1019.86,1019.86,1019.86,1019.86,0
2020-08-07,1017.28,1017.28,1017.28,1017.28,0
2020-08-10,1015.75,1015.75,1015.75,1015.75,0
2020-08-13,1014.87,1014.87,1014.87,1014.87,0
2020-08-14,1013.71,1013.71,1013.71,1013.71,0
2020-08-17,1014.18,1014.18,1014.18,1014.18,0
2020-08-18,1011.77,1011.77,1011.77,1011.77,0
2020-08-19,1007.97,1007.97,1007.97,1007.97,0
2020-08-20,1007.18,1007.18,1007.18,1007.18,0
2020-08-21,1000.5,1000.5,1000.5,1000.5,0
2020-08-24,995.72,995.72,995.72,995.72,0
2020-08-25,998.73,998.73,998.73,998.73,0
2020-08-26,998.23,998.23,998.23,998.23,0
2020-08-27,999.69,999.69,999.69,999.69,0
2020-08-28,998.37,998.37,998.37,998.37,0
2020-08-31,1007.94,1007.94,1007.94,1007.94,0
2020-09-01,1016.72,1016.72,1016.72,1016.72,0
2020-09-02,1018.68,1018.68,1018.68,1018.68,0
2020-09-03,1021.58,1021.58,1021.58,1021.58,0
2020-09-04,1021.95,1021.95,1021.95,1021.95,0
2020-09-07,1016.68,1016.68,1016.68,1016.68,0
2020-09-08,1013.98,1013.98,1013.98,1013.98,0
2020-09-09,1015.86,1015.86,1015.86,1015.86,0
2020-09-10,1016.34,1016.34,1016.34,1016.34,0
2020-09-11,1015.07,1015.07,1015.07,1015.07,0
2020-09-14,1014.38,1014.38,1014.38,1014.38,0
2020-09-15,1014.23,1014.23,1014.23,1014.23,0
2020-09-16,1015.11,1015.11,1015.11,1015.11,0
2020-09-17,1015.77,1015.77,1015.77,1015.77,0
2020-09-18,1014.51,1014.51,1014.51,1014.51,0
2020-09-21,1013.67,1013.67,1013.67,1013.67,0
2020-09-22,1013.36,1013.36,1013.36,1013.36,0
2020-09-23,1012.27,1012.27,1012.27,1012.27,0
2020-09-24,1011.18,1011.18,1011.18,1011.18,0
2020-09-25,1009.21,1009.21,1009.21,1009.21,0
2020-09-30,1008.83,1008.83,1008.83,1008.83,0
2020-10-01,1012.58,1012.58,1012.58,1012.58,0
2020-10-05,1011.39,1011.39,1011.39,1011.39,0
2020-10-06,1012.32,1012.32,1012.32,1012.32,0
2020-10-07,1011.53,1011.53,1011.53,1011.53,0
2020-10-08,1013.86,1013.86,1013.86,1013.86,0
2020-10-09,1026.36,1026.36,1026.36,1026.36,0
2020-10-12,1028.18,1028.18,1028.18,1028.18,0
2020-10-13,1025.01,1025.01,1025.01,1025.01,0
2020-10-14,1028.34,1028.34,1028.34,1028.34,0
2020-10-15,1028.44,1028.44,1028.44,1028.44,0
2020-10-16,1027.43,1027.43,1027.43,1027.43,0
2020-10-19,1030.75,1030.75,1030.75,1030.75,0
2020-10-20,1031.62,1031.62,1031.62,1031.62,0
2020-10-21,1031.8,1031.8,1031.8,1031.8,0
2020-10-22,1032.07,1032.07,1032.07,1032.07,0
2020-10-23,1035.1,1035.1,1035.1,1035.1,0
2020-10-26,1036.89,1036.89,1036.89,1036.89,0
2020-10-27,1036.45,1036.45,1036.45,1036.45,0
2020-10-28,1037.04,1037.04,1037.04,1037.04,0
2020-10-29,1036.98,1036.98,1036.98,1036.98,0
2020-10-30,1037.17,1037.17,1037.17,1037.17,0
2020-11-02,1036.65,1036.65,1036.65,1036.65,0
2020-11-03,1035.52,1035.52,1035.52,1035.52,0
2020-11-04,1036.89,1036.89,1036.89,1036.89,0
2020-11-05,1037.77,1037.77,1037.77,1037.77,0
2020-11-06,1038.74,1038.74,1038.74,1038.74,0
2020-11-09,1037.3,1037.3,1037.3,1037.3,0
2020-11-10,1035.89,1035.89,1035.89,1035.89,0
2020-11-11,1037.01,1037.01,1037.01,1037.01,0
2020-11-12,1038.29,1038.29,1038.29,1038.29,0
2020-11-13,1038.06,1038.06,1038.06,1038.06,0
2020-11-14,1038.24,1038.24,1038.24,1038.24,0
2020-11-17,1038.83,1038.83,1038.83,1038.83,0
2020-11-18,1038.74,1038.74,1038.74,1038.74,0
2020-11-19,1039.21,1039.21,1039.21,1039.21,0
2020-11-20,1039.93,1039.93,1039.93,1039.93,0
2020-11-23,1041.33,1041.33,1041.33,1041.33,0
2020-11-24,1040.28,1040.28,1040.28,1040.28,0
2020-11-25,1040.41,1040.41,1040.41,1040.41,0
2020-11-26,1041.65,1041.65,1041.65,1041.65,0
2020-11-27,1043.39,1043.39,1043.39,1043.39,0
2020-12-01,1041.31,1041.31,1041.31,1041.31,0
2020-12-02,1039.81,1039.81,1039.81,1039.81,0
2020-12-03,1040.22,1040.22,1040.22,1040.22,0
2020-12-04,1041.53,1041.53,1041.53,1041.53,0
2020-12-07,1040.96,1040.96,1040.96,1040.96,0
2020-12-08,1040.35,1040.35,1040.35,1040.35,0
2020-12-09,1040.42,1040.42,1040.42,1040.42,0
2020-12-10,1040.12,1040.12,1040.12,1040.12,0
2020-12-11,1039.88,1039.88,1039.88,1039.88,0
2020-12-14,1039.87,1039.87,1039.87,1039.87,0
2020-12-15,1040.8,1040.8,1040.8,1040.8,0
2020-12-16,1041.83,1041.83,1041.83,1041.83,0
2020-12-17,1042.14,1042.14,1042.14,1042.14,0
2020-12-18,1041.43,1041.43,1041.43,1041.43,0
2020-12-21,1039.47,1039.47,1039.47,1039.47,0
2020-12-22,1041.64,1041.64,1041.64,1041.64,0
2020-12-23,1042.49,1042.49,1042.49,1042.49,0
2020-12-24,1041.34,1041.34,1041.34,1041.34,0
2020-12-28,1044.23,1044.23,1044.23,1044.23,0
2020-12-29,1044.05,1044.05,1044.05,1044.05,0
2020-12-30,1044.05,1044.05,1044.05,1044.05,0
2020-12-31,1044.13,1044.13,1044.13,1044.13,0
2021-01-01,1045.59,1045.59,1045.59,1045.59,0
2021-01-04,1044.74,1044.74,1044.74,1044.74,0
2021-01-05,1047.87,1047.87,1047.87,1047.87,0
2021-01-06,1047.56,1047.56,1047.56,1047.56,0
2021-01-07,1047.02,1047.02,1047.02,1047.02,0
2021-01-08,1049.16,1049.16,1049.16,1049.16,0
2021-01-11,1046.31,1046.31,1046.31,1046.31,0
2021-01-12,1044.67,1044.67,1044.67,1044.67,0
2021-01-13,1048.23,1048.23,1048.23,1048.23,0
2021-01-14,1047.23,1047.23,1047.23,1047.23,0
2021-01-15,1047.31,1047.31,1047.31,1047.31,0
2021-01-18,1045.56,1045.56,1045.56,1045.56,0
2021-01-19,1046.36,1046.36,1046.36,1046.36,0
2021-01-20,1045.33,1045.33,1045.33,1045.33,0
2021-01-21,1046.51,1046.51,1046.51,1046.51,0
2021-01-22,1044.92,1044.92,1044.92,1044.92,0
2021-01-25,1045.47,1045.47,1045.47,1045.47,0
2021-01-27,1047.73,1047.73,1047.73,1047.73,0
2021-01-28,1047.57,1047.57,1047.57,1047.57,0
2021-01-29,1048.25,1048.25,1048.25,1048.25,0
2021-02-01,1038.81,1038.81,1038.81,1038.81,0
2021-02-02,1030.15,1030.15,1030.15,1030.15,0
2021-02-03,1032.16,1032.16,1032.16,1032.16,0
2021-02-04,1032.5,1032.5,1032.5,1032.5,0
2021-02-05,1025.55,1025.55,1025.55,1025.55,0
2021-02-08,1027.2,1027.2,1027.2,1027.2,0
2021-02-09,1024.28,1024.28,1024.28,1024.28,0
2021-02-10,1026.57,1026.57,1026.57,1026.57,0
2021-02-11,1028.93,1028.93,1028.93,1028.93,0
2021-02-12,1029.08,1029.08,1029.08,1029.08,0
2021-02-15,1027.45,1027.45,1027.45,1027.45,0
2021-02-16,1027.57,1027.57,1027.57,1027.57,0
2021-02-17,1026.92,1026.92,1026.92,1026.92,0
2021-02-18,1026.16,1026.16,1026.16,1026.16,0
2021-02-19,1026.35,1026.35,1026.35,1026.35,0
2021-02-22,1016.69,1016.69,1016.69,1016.69,0
2021-02-23,1018.33,1018.33,1018.33,1018.33,0
2021-02-24,1020.72,1020.72,1020.72,1020.72,0
2021-02-25,1021.18,1021.18,1021.18,1021.18,0
2021-02-26,1019.33,1019.33,1019.33,1019.33,0
2021-03-01,1019.62,1019.62,1019.62,1019.62,0
2021-03-02,1021.61,1021.61,1021.61,1021.61,0
2021-03-03,1021.81,1021.81,1021.81,1021.81,0
2021-03-04,1022.08,1022.08,1022.08,1022.08,0
2021-03-05,1022.75,1022.75,1022.75,1022.75,0
2021-03-08,1021.57,1021.57,1021.57,1021.57,0
2021-03-09,1021.95,1021.95,1021.95,1021.95,0
2021-03-10,1022.52,1022.52,1022.52,1022.52,0
2021-03-12,1022.25,1022.25,1022.25,1022.25,0
2021-03-15,1023.08,1023.08,1023.08,1023.08,0
2021-03-16,1023.88,1023.88,1023.88,1023.88,0
2021-03-17,1025.12,1025.12,1025.12,1025.12,0
2021-03-18,1025.97,1025.97,1025.97,1025.97,0
2021-03-19,1028.44,1028.44,1028.44,1028.44,0
2021-03-22,1033.29,1033.29,1033.29,1033.29,0
2021-03-23,1036.34,1036.34,1036.34,1036.34,0
2021-03-24,1041.4,1041.4,1041.4,1041.4,0
2021-03-25,1042.77,1042.77,1042.77,1042.77,0
2021-03-26,1046.11,1046.11,1046.11,1046.11,0
2021-03-30,1045.4,1045.4,1045.4,1045.4,0
2021-03-31,1045.96,1045.96,1045.96,1045.96,0
2021-04-01,1046.15,1046.15,1046.15,1046.15,0
2021-04-05,1047.26,1047.26,1047.26,1047.26,0
2021-04-06,1051.24,1051.24,1051.24,1051.24,0
2021-04-07,1050.09,1050.09,1050.09,1050.09,0
2021-04-08,1052.83,1052.83,1052.83,1052.83,0
2021-04-09,1054.92,1054.92,1054.92,1054.92,0
2021-04-12,1056.95,1056.95,1056.95,1056.95,0
2021-04-13,1057.14,1057.14,1057.14,1057.14,0
2021-04-15,1055.72,1055.72,1055.72,1055.72,0
2021-04-16,1047.24,1047.24,1047.24,1047.24,0
2021-04-19,1052.45,1052.45,1052.45,1052.45,0
2021-04-20,1052.26,1052.26,1052.26,1052.26,0
2021-04-22,1056.09,1056.09,1056.09,1056.09,0
2021-04-23,1056.09,1056.09,1056.09,1056.09,0
2021-04-26,1054.28,1054.28,1054.28,1054.28,0
2021-04-27,1054.54,1054.54,1054.54,1054.54,0
