date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1000.61,1000.61,1000.61,1000.61,0
2005-04-05,989.23,989.23,989.23,989.23,0
2005-04-06,991.37,991.37,991.37,991.37,0
2005-04-07,993.32,993.32,993.32,993.32,0
2005-04-08,986.38,986.38,986.38,986.38,0
2005-04-11,977.88,977.88,977.88,977.88,0
2005-04-12,986.03,986.03,986.03,986.03,0
2005-04-13,988.83,988.83,988.83,988.83,0
2005-04-15,973.96,973.96,973.96,973.96,0
2005-04-18,965.94,965.94,965.94,965.94,0
2005-04-19,958.96,958.96,958.96,958.96,0
2005-04-20,969.82,969.82,969.82,969.82,0
2005-04-21,986.8,986.8,986.8,986.8,0
2005-04-22,993.59,993.59,993.59,993.59,0
2005-04-25,996.16,996.16,996.16,996.16,0
2005-04-26,994.3,994.3,994.3,994.3,0
2005-04-27,983.91,983.91,983.91,983.91,0
2005-04-28,979.94,979.94,979.94,979.94,0
2005-04-29,962.49,962.49,962.49,962.49,0
2005-05-02,961.44,961.44,961.44,961.44,0
2005-05-03,966.9,966.9,966.9,966.9,0
2005-05-04,977.33,977.33,977.33,977.33,0
2005-05-05,985.79,985.79,985.79,985.79,0
2005-05-06,988.05,988.05,988.05,988.05,0
2005-05-09,1002.3,1002.3,1002.3,1002.3,0
2005-05-10,1002.56,1002.56,1002.56,1002.56,0
2005-05-11,996.92,996.92,996.92,996.92,0
2005-05-12,1002.25,1002.25,1002.25,1002.25,0
2005-05-13,1004.03,1004.03,1004.03,1004.03,0
2005-05-16,1012.89,1012.89,1012.89,1012.89,0
2005-05-17,1002.3,1002.3,1002.3,1002.3,0
2005-05-18,999.96,999.96,999.96,999.96,0
2005-05-19,1006.96,1006.96,1006.96,1006.96,0
2005-05-20,1006.55,1006.55,1006.55,1006.55,0
2005-05-23,1009.08,1009.08,1009.08,1009.08,0
2005-05-24,1015.0,1015.0,1015.0,1015.0,0
2005-05-25,1023.72,1023.72,1023.72,1023.72,0
2005-05-26,1028.15,1028.15,1028.15,1028.15,0
2005-05-27,1030.76,1030.76,1030.76,1030.76,0
2005-05-30,1026.64,1026.64,1026.64,1026.64,0
2005-05-31,1034.38,1034.38,1034.38,1034.38,0
2005-06-01,1040.39,1040.39,1040.39,1040.39,0
2005-06-02,1037.15,1037.15,1037.15,1037.15,0
2005-06-03,1047.04,1047.04,1047.04,1047.04,0
2005-06-04,1052.65,1052.65,1052.65,1052.65,0
2005-06-06,1050.91,1050.91,1050.91,1050.91,0
2005-06-07,1050.37,1050.37,1050.37,1050.37,0
2005-06-08,1055.76,1055.76,1055.76,1055.76,0
2005-06-09,1054.12,1054.12,1054.12,1054.12,0
2005-06-10,1047.52,1047.52,1047.52,1047.52,0
2005-06-13,1052.89,1052.89,1052.89,1052.89,0
2005-06-14,1054.32,1054.32,1054.32,1054.32,0
2005-06-15,1056.72,1056.72,1056.72,1056.72,0
2005-06-16,1051.42,1051.42,1051.42,1051.42,0
2005-06-17,1044.66,1044.66,1044.66,1044.66,0
2005-06-20,1041.03,1041.03,1041.03,1041.03,0
2005-06-21,1052.31,1052.31,1052.31,1052.31,0
2005-06-22,1056.14,1056.14,1056.14,1056.14,0
2005-06-23,1063.92,1063.92,1063.92,1063.92,0
2005-06-24,1073.04,1073.04,1073.04,1073.04,0
2005-06-27,1071.85,1071.85,1071.85,1071.85,0
2005-06-28,1054.26,1054.26,1054.26,1054.26,0
2005-06-29,1059.98,1059.98,1059.98,1059.98,0
2005-06-30,1062.47,1062.47,1062.47,1062.47,0
2005-07-01,1078.53,1078.53,1078.53,1078.53,0
2005-07-04,1089.71,1089.71,1089.71,1089.71,0
2005-07-05,1086.76,1086.76,1086.76,1086.76,0
2005-07-06,1101.0,1101.0,1101.0,1101.0,0
2005-07-07,1088.67,1088.67,1088.67,1088.67,0
2005-07-08,1106.72,1106.72,1106.72,1106.72,0
2005-07-11,1127.51,1127.51,1127.51,1127.51,0
2005-07-12,1131.09,1131.09,1131.09,1131.09,0
2005-07-13,1127.21,1127.21,1127.21,1127.21,0
2005-07-14,1116.86,1116.86,1116.86,1116.86,0
2005-07-15,1127.1,1127.1,1127.1,1127.1,0
2005-07-18,1147.66,1147.66,1147.66,1147.66,0
2005-07-19,1154.23,1154.23,1154.23,1154.23,0
2005-07-20,1161.0,1161.0,1161.0,1161.0,0
2005-07-21,1149.47,1149.47,1149.47,1149.47,0
