date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1009.19,1009.19,1009.19,1009.19,0
2005-04-05,1007.23,1007.23,1007.23,1007.23,0
2005-04-06,1015.72,1015.72,1015.72,1015.72,0
2005-04-07,1021.98,1021.98,1021.98,1021.98,0
2005-04-08,1010.25,1010.25,1010.25,1010.25,0
2005-04-11,1005.18,1005.18,1005.18,1005.18,0
2005-04-12,1015.88,1015.88,1015.88,1015.88,0
2005-04-13,1009.9,1009.9,1009.9,1009.9,0
2005-04-15,991.16,991.16,991.16,991.16,0
2005-04-18,998.72,998.72,998.72,998.72,0
2005-04-19,996.42,996.42,996.42,996.42,0
2005-04-20,1013.98,1013.98,1013.98,1013.98,0
2005-04-21,1042.16,1042.16,1042.16,1042.16,0
2005-04-22,1062.77,1062.77,1062.77,1062.77,0
2005-04-25,1072.74,1072.74,1072.74,1072.74,0
2005-04-26,1082.35,1082.35,1082.35,1082.35,0
2005-04-27,1072.84,1072.84,1072.84,1072.84,0
2005-04-28,1067.21,1067.21,1067.21,1067.21,0
2005-04-29,1052.62,1052.62,1052.62,1052.62,0
2005-05-02,1052.22,1052.22,1052.22,1052.22,0
2005-05-03,1060.77,1060.77,1060.77,1060.77,0
2005-05-04,1083.34,1083.34,1083.34,1083.34,0
2005-05-05,1081.85,1081.85,1081.85,1081.85,0
2005-05-06,1097.21,1097.21,1097.21,1097.21,0
2005-05-09,1118.29,1118.29,1118.29,1118.29,0
2005-05-10,1138.94,1138.94,1138.94,1138.94,0
2005-05-11,1146.05,1146.05,1146.05,1146.05,0
2005-05-12,1185.88,1185.88,1185.88,1185.88,0
2005-05-13,1208.32,1208.32,1208.32,1208.32,0
2005-05-16,1232.71,1232.71,1232.71,1232.71,0
2005-05-17,1201.64,1201.64,1201.64,1201.64,0
2005-05-18,1201.88,1201.88,1201.88,1201.88,0
2005-05-19,1217.62,1217.62,1217.62,1217.62,0
2005-05-20,1216.94,1216.94,1216.94,1216.94,0
2005-05-23,1240.61,1240.61,1240.61,1240.61,0
2005-05-24,1239.66,1239.66,1239.66,1239.66,0
2005-05-25,1252.94,1252.94,1252.94,1252.94,0
2005-05-26,1246.57,1246.57,1246.57,1246.57,0
2005-05-27,1240.34,1240.34,1240.34,1240.34,0
2005-05-30,1220.38,1220.38,1220.38,1220.38,0
2005-05-31,1224.2,1224.2,1224.2,1224.2,0
2005-06-01,1241.02,1241.02,1241.02,1241.02,0
2005-06-02,1246.08,1246.08,1246.08,1246.08,0
2005-06-03,1254.29,1254.29,1254.29,1254.29,0
2005-06-04,1260.25,1260.25,1260.25,1260.25,0
2005-06-06,1264.59,1264.59,1264.59,1264.59,0
2005-06-07,1257.49,1257.49,1257.49,1257.49,0
2005-06-08,1260.94,1260.94,1260.94,1260.94,0
2005-06-09,1272.98,1272.98,1272.98,1272.98,0
2005-06-10,1281.69,1281.69,1281.69,1281.69,0
2005-06-13,1298.82,1298.82,1298.82,1298.82,0
2005-06-14,1298.15,1298.15,1298.15,1298.15,0
2005-06-15,1306.95,1306.95,1306.95,1306.95,0
2005-06-16,1301.75,1301.75,1301.75,1301.75,0
