date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,994.0,994.0,994.0,994.0,0
2005-04-05,982.71,982.71,982.71,982.71,0
2005-04-06,993.03,993.03,993.03,993.03,0
2005-04-07,999.74,999.74,999.74,999.74,0
2005-04-08,993.17,993.17,993.17,993.17,0
2005-04-11,983.1,983.1,983.1,983.1,0
2005-04-12,988.03,988.03,988.03,988.03,0
2005-04-13,988.41,988.41,988.41,988.41,0
2005-04-15,952.61,952.61,952.61,952.61,0
2005-04-18,944.41,944.41,944.41,944.41,0
2005-04-19,929.99,929.99,929.99,929.99,0
2005-04-20,936.8,936.8,936.8,936.8,0
2005-04-21,946.99,946.99,946.99,946.99,0
2005-04-22,953.23,953.23,953.23,953.23,0
2005-04-25,953.65,953.65,953.65,953.65,0
2005-04-26,947.81,947.81,947.81,947.81,0
2005-04-27,942.53,942.53,942.53,942.53,0
2005-04-28,934.96,934.96,934.96,934.96,0
2005-04-29,921.41,921.41,921.41,921.41,0
2005-05-02,921.12,921.12,921.12,921.12,0
2005-05-03,924.56,924.56,924.56,924.56,0
2005-05-04,936.58,936.58,936.58,936.58,0
2005-05-05,943.45,943.45,943.45,943.45,0
2005-05-06,950.76,950.76,950.76,950.76,0
2005-05-09,964.45,964.45,964.45,964.45,0
2005-05-10,956.35,956.35,956.35,956.35,0
2005-05-11,952.85,952.85,952.85,952.85,0
2005-05-12,950.25,950.25,950.25,950.25,0
2005-05-13,952.41,952.41,952.41,952.41,0
2005-05-16,961.67,961.67,961.67,961.67,0
2005-05-17,948.72,948.72,948.72,948.72,0
2005-05-18,952.91,952.91,952.91,952.91,0
2005-05-19,954.97,954.97,954.97,954.97,0
2005-05-20,951.18,951.18,951.18,951.18,0
2005-05-23,958.99,958.99,958.99,958.99,0
2005-05-24,962.58,962.58,962.58,962.58,0
2005-05-25,965.77,965.77,965.77,965.77,0
2005-05-26,975.28,975.28,975.28,975.28,0
2005-05-27,973.98,973.98,973.98,973.98,0
2005-05-30,966.02,966.02,966.02,966.02,0
2005-05-31,974.38,974.38,974.38,974.38,0
2005-06-01,976.12,976.12,976.12,976.12,0
2005-06-02,960.61,960.61,960.61,960.61,0
2005-06-03,973.01,973.01,973.01,973.01,0
2005-06-04,974.15,974.15,974.15,974.15,0
2005-06-06,972.05,972.05,972.05,972.05,0
2005-06-07,970.17,970.17,970.17,970.17,0
2005-06-08,983.07,983.07,983.07,983.07,0
2005-06-09,990.56,990.56,990.56,990.56,0
2005-06-10,985.28,985.28,985.28,985.28,0
2005-06-13,990.41,990.41,990.41,990.41,0
2005-06-14,994.85,994.85,994.85,994.85,0
2005-06-15,1001.42,1001.42,1001.42,1001.42,0
2005-06-16,996.68,996.68,996.68,996.68,0
2005-06-17,993.46,993.46,993.46,993.46,0
2005-06-20,1017.06,1017.06,1017.06,1017.06,0
2005-06-21,1021.42,1021.42,1021.42,1021.42,0
2005-06-22,1040.96,1040.96,1040.96,1040.96,0
2005-06-23,1037.42,1037.42,1037.42,1037.42,0
2005-06-24,1044.17,1044.17,1044.17,1044.17,0
2005-06-27,1044.54,1044.54,1044.54,1044.54,0
2005-06-28,1026.28,1026.28,1026.28,1026.28,0
2005-06-29,1028.56,1028.56,1028.56,1028.56,0
2005-06-30,1029.39,1029.39,1029.39,1029.39,0
2005-07-01,1032.85,1032.85,1032.85,1032.85,0
2005-07-04,1047.4,1047.4,1047.4,1047.4,0
2005-07-05,1044.5,1044.5,1044.5,1044.5,0
2005-07-06,1057.23,1057.23,1057.23,1057.23,0
2005-07-07,1039.38,1039.38,1039.38,1039.38,0
2005-07-08,1048.15,1048.15,1048.15,1048.15,0
2005-07-11,1063.8,1063.8,1063.8,1063.8,0
2005-07-12,1060.57,1060.57,1060.57,1060.57,0
2005-07-13,1062.11,1062.11,1062.11,1062.11,0
2005-07-14,1057.3,1057.3,1057.3,1057.3,0
2005-07-15,1070.71,1070.71,1070.71,1070.71,0
2005-07-18,1088.35,1088.35,1088.35,1088.35,0
2005-07-19,1094.65,1094.65,1094.65,1094.65,0
2005-07-20,1100.76,1100.76,1100.76,1100.76,0
2005-07-21,1092.45,1092.45,1092.45,1092.45,0
2005-07-22,1111.06,1111.06,1111.06,1111.06,0
2005-07-25,1127.93,1127.93,1127.93,1127.93,0
