date,open,high,low,close,volume
2022-10-03,1000.0,1000.0,1000.0,1000.0,0
2022-10-04,1023.55,1023.55,1023.55,1023.55,0
2022-10-06,1029.52,1029.52,1029.52,1029.52,0
2022-10-07,1028.0,1028.0,1028.0,1028.0,0
2022-10-10,1023.28,1023.28,1023.28,1023.28,0
2022-10-11,1006.45,1006.45,1006.45,1006.45,0
2022-10-12,1013.47,1013.47,1013.47,1013.47,0
2022-10-13,1007.18,1007.18,1007.18,1007.18,0
2022-10-14,1011.85,1011.85,1011.85,1011.85,0
2022-10-17,1018.51,1018.51,1018.51,1018.51,0
2022-10-18,1029.04,1029.04,1029.04,1029.04,0
2022-10-19,1028.99,1028.99,1028.99,1028.99,0
2022-10-20,1034.28,1034.28,1034.28,1034.28,0
2022-10-21,1031.09,1031.09,1031.09,1031.09,0
2022-10-24,1038.28,1038.28,1038.28,1038.28,0
2022-10-25,1035.6,1035.6,1035.6,1035.6,0
2022-10-27,1042.28,1042.28,1042.28,1042.28,0
2022-10-28,1043.25,1043.25,1043.25,1043.25,0
2022-10-31,1056.78,1056.78,1056.78,1056.78,0
2022-11-01,1065.77,1065.77,1065.77,1065.77,0
2022-11-02,1062.01,1062.01,1062.01,1062.01,0
2022-11-03,1060.64,1060.64,1060.64,1060.64,0
2022-11-04,1064.69,1064.69,1064.69,1064.69,0
2022-11-07,1069.5,1069.5,1069.5,1069.5,0
2022-11-09,1065.25,1065.25,1065.25,1065.25,0
2022-11-10,1055.95,1055.95,1055.95,1055.95,0
2022-11-11,1072.34,1072.34,1072.34,1072.34,0
2022-11-14,1073.52,1073.52,1073.52,1073.52,0
2022-11-15,1076.99,1076.99,1076.99,1076.99,0
2022-11-16,1073.62,1073.62,1073.62,1073.62,0
2022-11-17,1068.77,1068.77,1068.77,1068.77,0
2022-11-18,1065.24,1065.24,1065.24,1065.24,0
2022-11-21,1056.66,1056.66,1056.66,1056.66,0
2022-11-22,1061.5,1061.5,1061.5,1061.5,0
2022-11-23,1062.94,1062.94,1062.94,1062.94,0
2022-11-24,1073.65,1073.65,1073.65,1073.65,0
2022-11-25,1077.34,1077.34,1077.34,1077.34,0
2022-11-28,1081.36,1081.36,1081.36,1081.36,0
2022-11-29,1084.1,1084.1,1084.1,1084.1,0
2022-11-30,1094.83,1094.83,1094.83,1094.83,0
2022-12-01,1099.61,1099.61,1099.61,1099.61,0
2022-12-02,1095.56,1095.56,1095.56,1095.56,0
2022-12-05,1094.88,1094.88,1094.88,1094.88,0
2022-12-06,1091.25,1091.25,1091.25,1091.25,0
2022-12-07,1085.61,1085.61,1085.61,1085.61,0
2022-12-08,1088.21,1088.21,1088.21,1088.21,0
2022-12-09,1078.8,1078.8,1078.8,1078.8,0
2022-12-12,1078.78,1078.78,1078.78,1078.78,0
2022-12-13,1084.47,1084.47,1084.47,1084.47,0
2022-12-14,1088.32,1088.32,1088.32,1088.32,0
2022-12-15,1075.61,1075.61,1075.61,1075.61,0
2022-12-16,1064.35,1064.35,1064.35,1064.35,0
2022-12-19,1072.9,1072.9,1072.9,1072.9,0
2022-12-20,1071.32,1071.32,1071.32,1071.32,0
2022-12-21,1059.41,1059.41,1059.41,1059.41,0
2022-12-22,1054.34,1054.34,1054.34,1054.34,0
2022-12-23,1028.79,1028.79,1028.79,1028.79,0
2022-12-26,1043.18,1043.18,1043.18,1043.18,0
2022-12-27,1052.38,1052.38,1052.38,1052.38,0
2022-12-28,1052.88,1052.88,1052.88,1052.88,0
