date,open,high,low,close,volume
2003-12-31,1000.0,1000.0,1000.0,1000.0,0
2004-01-01,1021.1,1021.1,1021.1,1021.1,0
2004-01-02,1037.8,1037.8,1037.8,1037.8,0
2004-01-05,1034.0,1034.0,1034.0,1034.0,0
2004-01-06,1005.6,1005.6,1005.6,1005.6,0
2004-01-07,993.8,993.8,993.8,993.8,0
2004-01-08,1041.7,1041.7,1041.7,1041.7,0
2004-01-09,1034.3,1034.3,1034.3,1034.3,0
2004-01-12,1012.4,1012.4,1012.4,1012.4,0
2004-01-13,1022.1,1022.1,1022.1,1022.1,0
2004-01-14,1036.1,1036.1,1036.1,1036.1,0
2004-01-15,1010.8,1010.8,1010.8,1010.8,0
2004-01-16,972.4,972.4,972.4,972.4,0
2004-01-19,986.5,986.5,986.5,986.5,0
2004-01-20,965.4,965.4,965.4,965.4,0
2004-01-21,888.1,888.1,888.1,888.1,0
2004-01-22,863.4,863.4,863.4,863.4,0
2004-01-23,919.9,919.9,919.9,919.9,0
2004-01-27,951.5,951.5,951.5,951.5,0
2004-01-28,929.1,929.1,929.1,929.1,0
2004-01-29,920.6,920.6,920.6,920.6,0
2004-01-30,887.8,887.8,887.8,887.8,0
2004-02-03,829.9,829.9,829.9,829.9,0
2004-02-04,858.5,858.5,858.5,858.5,0
2004-02-05,854.8,854.8,854.8,854.8,0
2004-02-06,859.8,859.8,859.8,859.8,0
2004-02-09,885.2,885.2,885.2,885.2,0
2004-02-10,882.6,882.6,882.6,882.6,0
2004-02-11,886.0,886.0,886.0,886.0,0
2004-02-12,885.2,885.2,885.2,885.2,0
2004-02-13,904.4,904.4,904.4,904.4,0
2004-02-16,911.5,911.5,911.5,911.5,0
2004-02-17,907.8,907.8,907.8,907.8,0
2004-02-18,905.4,905.4,905.4,905.4,0
2004-02-19,867.0,867.0,867.0,867.0,0
2004-02-20,860.0,860.0,860.0,860.0,0
2004-02-23,838.8,838.8,838.8,838.8,0
2004-02-24,838.5,838.5,838.5,838.5,0
2004-02-25,824.7,824.7,824.7,824.7,0
2004-02-26,814.3,814.3,814.3,814.3,0
2004-02-27,825.7,825.7,825.7,825.7,0
2004-03-01,843.2,843.2,843.2,843.2,0
2004-03-03,842.8,842.8,842.8,842.8,0
2004-03-04,834.1,834.1,834.1,834.1,0
2004-03-05,838.8,838.8,838.8,838.8,0
2004-03-08,848.9,848.9,848.9,848.9,0
