date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,995.58,995.58,995.58,995.58,0
2005-04-05,981.64,981.64,981.64,981.64,0
2005-04-06,989.16,989.16,989.16,989.16,0
2005-04-07,984.77,984.77,984.77,984.77,0
2005-04-08,974.05,974.05,974.05,974.05,0
2005-04-11,966.28,966.28,966.28,966.28,0
2005-04-12,976.9,976.9,976.9,976.9,0
2005-04-13,977.03,977.03,977.03,977.03,0
2005-04-15,951.02,951.02,951.02,951.02,0
2005-04-18,932.87,932.87,932.87,932.87,0
2005-04-19,931.37,931.37,931.37,931.37,0
2005-04-20,942.53,942.53,942.53,942.53,0
2005-04-21,957.75,957.75,957.75,957.75,0
2005-04-22,958.12,958.12,958.12,958.12,0
2005-04-25,961.85,961.85,961.85,961.85,0
2005-04-26,955.82,955.82,955.82,955.82,0
2005-04-27,942.7,942.7,942.7,942.7,0
2005-04-28,931.61,931.61,931.61,931.61,0
2005-04-29,915.98,915.98,915.98,915.98,0
2005-05-02,916.11,916.11,916.11,916.11,0
2005-05-03,917.93,917.93,917.93,917.93,0
2005-05-04,929.95,929.95,929.95,929.95,0
2005-05-05,941.23,941.23,941.23,941.23,0
2005-05-06,941.63,941.63,941.63,941.63,0
2005-05-09,950.91,950.91,950.91,950.91,0
2005-05-10,954.6,954.6,954.6,954.6,0
2005-05-11,948.32,948.32,948.32,948.32,0
2005-05-12,952.28,952.28,952.28,952.28,0
2005-05-13,953.65,953.65,953.65,953.65,0
2005-05-16,959.14,959.14,959.14,959.14,0
2005-05-17,946.63,946.63,946.63,946.63,0
2005-05-18,946.52,946.52,946.52,946.52,0
2005-05-19,950.52,950.52,950.52,950.52,0
2005-05-20,948.68,948.68,948.68,948.68,0
2005-05-23,945.89,945.89,945.89,945.89,0
2005-05-24,954.4,954.4,954.4,954.4,0
2005-05-25,959.85,959.85,959.85,959.85,0
2005-05-26,960.02,960.02,960.02,960.02,0
2005-05-27,964.16,964.16,964.16,964.16,0
2005-05-30,956.56,956.56,956.56,956.56,0
2005-05-31,964.21,964.21,964.21,964.21,0
2005-06-01,958.92,958.92,958.92,958.92,0
2005-06-02,950.82,950.82,950.82,950.82,0
2005-06-03,957.56,957.56,957.56,957.56,0
2005-06-04,959.9,959.9,959.9,959.9,0
2005-06-06,966.61,966.61,966.61,966.61,0
2005-06-07,973.81,973.81,973.81,973.81,0
2005-06-08,978.36,978.36,978.36,978.36,0
2005-06-09,980.51,980.51,980.51,980.51,0
2005-06-10,970.87,970.87,970.87,970.87,0
2005-06-13,973.38,973.38,973.38,973.38,0
2005-06-14,976.36,976.36,976.36,976.36,0
2005-06-15,982.01,982.01,982.01,982.01,0
2005-06-16,974.0,974.0,974.0,974.0,0
2005-06-17,968.84,968.84,968.84,968.84,0
2005-06-20,967.43,967.43,967.43,967.43,0
2005-06-21,977.7,977.7,977.7,977.7,0
2005-06-22,983.79,983.79,983.79,983.79,0
2005-06-23,987.79,987.79,987.79,987.79,0
2005-06-24,987.33,987.33,987.33,987.33,0
2005-06-27,983.11,983.11,983.11,983.11,0
2005-06-28,964.04,964.04,964.04,964.04,0
2005-06-29,970.3,970.3,970.3,970.3,0
2005-06-30,968.26,968.26,968.26,968.26,0
2005-07-01,983.53,983.53,983.53,983.53,0
2005-07-04,992.95,992.95,992.95,992.95,0
2005-07-05,988.45,988.45,988.45,988.45,0
2005-07-06,1007.38,1007.38,1007.38,1007.38,0
2005-07-07,998.12,998.12,998.12,998.12,0
2005-07-08,1016.07,1016.07,1016.07,1016.07,0
2005-07-11,1034.59,1034.59,1034.59,1034.59,0
2005-07-12,1037.12,1037.12,1037.12,1037.12,0
2005-07-13,1037.85,1037.85,1037.85,1037.85,0
2005-07-14,1032.91,1032.91,1032.91,1032.91,0
2005-07-15,1038.01,1038.01,1038.01,1038.01,0
2005-07-18,1049.18,1049.18,1049.18,1049.18,0
2005-07-19,1057.32,1057.32,1057.32,1057.32,0
2005-07-20,1067.94,1067.94,1067.94,1067.94,0
2005-07-21,1057.88,1057.88,1057.88,1057.88,0
2005-07-22,1071.08,1071.08,1071.08,1071.08,0
2005-07-25,1090.87,1090.87,1090.87,1090.87,0
2005-07-26,1096.75,1096.75,1096.75,1096.75,0
2005-07-27,1096.55,1096.55,1096.55,1096.55,0
2005-07-29,1083.11,1083.11,1083.11,1083.11,0
2005-08-01,1088.38,1088.38,1088.38,1088.38,0
2005-08-02,1099.4,1099.4,1099.4,1099.4,0
2005-08-03,1100.03,1100.03,1100.03,1100.03,0
2005-08-04,1117.52,1117.52,1117.52,1117.52,0
2005-08-05,1127.83,1127.83,1127.83,1127.83,0
2005-08-08,1114.48,1114.48,1114.48,1114.48,0
2005-08-09,1116.52,1116.52,1116.52,1116.52,0
2005-08-10,1136.93,1136.93,1136.93,1136.93,0
2005-08-11,1146.99,1146.99,1146.99,1146.99,0
2005-08-12,1140.94,1140.94,1140.94,1140.94,0
2005-08-16,1149.39,1149.39,1149.39,1149.39,0
2005-08-17,1155.12,1155.12,1155.12,1155.12,0
2005-08-18,1150.82,1150.82,1150.82,1150.82,0
2005-08-19,1145.38,1145.38,1145.38,1145.38,0
2005-08-22,1138.2,1138.2,1138.2,1138.2,0
2005-08-23,1115.83,1115.83,1115.83,1115.83,0
2005-08-24,1105.18,1105.18,1105.18,1105.18,0
2005-08-25,1124.64,1124.64,1124.64,1124.64,0
2005-08-26,1134.15,1134.15,1134.15,1134.15,0
2005-08-29,1127.11,1127.11,1127.11,1127.11,0
2005-08-30,1146.93,1146.93,1146.93,1146.93,0
2005-08-31,1146.85,1146.85,1146.85,1146.85,0
2005-09-01,1155.02,1155.02,1155.02,1155.02,0
2005-09-02,1159.19,1159.19,1159.19,1159.19,0
2005-09-05,1161.48,1161.48,1161.48,1161.48,0
2005-09-06,1160.77,1160.77,1160.77,1160.77,0
2005-09-08,1172.41,1172.41,1172.41,1172.41,0
2005-09-09,1176.86,1176.86,1176.86,1176.86,0
2005-09-12,1188.8,1188.8,1188.8,1188.8,0
2005-09-13,1194.79,1194.79,1194.79,1194.79,0
2005-09-14,1191.04,1191.04,1191.04,1191.04,0
2005-09-15,1205.4,1205.4,1205.4,1205.4,0
2005-09-16,1217.64,1217.64,1217.64,1217.64,0
2005-09-19,1227.81,1227.81,1227.81,1227.81,0
2005-09-20,1229.19,1229.19,1229.19,1229.19,0
2005-09-21,1218.44,1218.44,1218.44,1218.44,0
2005-09-22,1169.95,1169.95,1169.95,1169.95,0
2005-09-23,1173.9,1173.9,1173.9,1173.9,0
2005-09-26,1210.64,1210.64,1210.64,1210.64,0
2005-09-27,1217.94,1217.94,1217.94,1217.94,0
2005-09-28,1231.97,1231.97,1231.97,1231.97,0
2005-09-29,1234.27,1234.27,1234.27,1234.27,0
2005-09-30,1236.87,1236.87,1236.87,1236.87,0
2005-10-03,1246.75,1246.75,1246.75,1246.75,0
2005-10-04,1260.64,1260.64,1260.64,1260.64,0
2005-10-05,1250.31,1250.31,1250.31,1250.31,0
2005-10-06,1219.14,1219.14,1219.14,1219.14,0
2005-10-07,1210.31,1210.31,1210.31,1210.31,0
2005-10-10,1196.23,1196.23,1196.23,1196.23,0
2005-10-11,1198.77,1198.77,1198.77,1198.77,0
2005-10-13,1170.81,1170.81,1170.81,1170.81,0
2005-10-14,1147.37,1147.37,1147.37,1147.37,0
2005-10-17,1144.19,1144.19,1144.19,1144.19,0
2005-10-18,1133.3,1133.3,1133.3,1133.3,0
2005-10-19,1105.09,1105.09,1105.09,1105.09,0
2005-10-20,1085.24,1085.24,1085.24,1085.24,0
2005-10-21,1094.95,1094.95,1094.95,1094.95,0
2005-10-24,1082.5,1082.5,1082.5,1082.5,0
2005-10-25,1094.88,1094.88,1094.88,1094.88,0
2005-10-26,1086.21,1086.21,1086.21,1086.21,0
2005-10-27,1059.85,1059.85,1059.85,1059.85,0
2005-10-28,1044.87,1044.87,1044.87,1044.87,0
2005-10-31,1079.08,1079.08,1079.08,1079.08,0
2005-11-01,1086.71,1086.71,1086.71,1086.71,0
2005-11-02,1109.31,1109.31,1109.31,1109.31,0
2005-11-07,1123.61,1123.61,1123.61,1123.61,0
2005-11-08,1140.75,1140.75,1140.75,1140.75,0
2005-11-09,1136.14,1136.14,1136.14,1136.14,0
2005-11-10,1133.76,1133.76,1133.76,1133.76,0
2005-11-11,1157.17,1157.17,1157.17,1157.17,0
2005-11-14,1158.54,1158.54,1158.54,1158.54,0
2005-11-16,1168.12,1168.12,1168.12,1168.12,0
2005-11-17,1174.45,1174.45,1174.45,1174.45,0
2005-11-18,1177.61,1177.61,1177.61,1177.61,0
2005-11-21,1166.77,1166.77,1166.77,1166.77,0
2005-11-22,1158.87,1158.87,1158.87,1158.87,0
2005-11-23,1162.4,1162.4,1162.4,1162.4,0
2005-11-24,1171.12,1171.12,1171.12,1171.12,0
2005-11-25,1182.6,1182.6,1182.6,1182.6,0
2005-11-26,1195.35,1195.35,1195.35,1195.35,0
2005-11-28,1205.12,1205.12,1205.12,1205.12,0
2005-11-29,1199.41,1199.41,1199.41,1199.41,0
2005-11-30,1190.96,1190.96,1190.96,1190.96,0
2005-12-01,1210.07,1210.07,1210.07,1210.07,0
2005-12-02,1214.57,1214.57,1214.57,1214.57,0
2005-12-05,1197.15,1197.15,1197.15,1197.15,0
2005-12-06,1190.95,1190.95,1190.95,1190.95,0
2005-12-07,1195.68,1195.68,1195.68,1195.68,0
2005-12-08,1192.61,1192.61,1192.61,1192.61,0
2005-12-09,1207.02,1207.02,1207.02,1207.02,0
2005-12-12,1217.38,1217.38,1217.38,1217.38,0
2005-12-13,1235.84,1235.84,1235.84,1235.84,0
2005-12-14,1244.27,1244.27,1244.27,1244.27,0
2005-12-15,1222.43,1222.43,1222.43,1222.43,0
2005-12-16,1233.91,1233.91,1233.91,1233.91,0
2005-12-19,1248.46,1248.46,1248.46,1248.46,0
2005-12-20,1252.28,1252.28,1252.28,1252.28,0
2005-12-21,1248.8,1248.8,1248.8,1248.8,0
2005-12-22,1256.02,1256.02,1256.02,1256.02,0
2005-12-23,1231.23,1231.23,1231.23,1231.23,0
2005-12-26,1202.39,1202.39,1202.39,1202.39,0
2005-12-27,1226.97,1226.97,1226.97,1226.97,0
2005-12-28,1227.15,1227.15,1227.15,1227.15,0
2005-12-29,1236.48,1236.48,1236.48,1236.48,0
2005-12-30,1254.95,1254.95,1254.95,1254.95,0
2006-01-02,1250.67,1250.67,1250.67,1250.67,0
2006-01-03,1268.54,1268.54,1268.54,1268.54,0
2006-01-04,1286.1,1286.1,1286.1,1286.1,0
2006-01-05,1292.69,1292.69,1292.69,1292.69,0
2006-01-06,1297.28,1297.28,1297.28,1297.28,0
2006-01-09,1292.28,1292.28,1292.28,1292.28,0
2006-01-10,1279.88,1279.88,1279.88,1279.88,0
2006-01-12,1285.2,1285.2,1285.2,1285.2,0
2006-01-13,1282.08,1282.08,1282.08,1282.08,0
2006-01-16,1271.48,1271.48,1271.48,1271.48,0
2006-01-17,1257.44,1257.44,1257.44,1257.44,0
2006-01-18,1248.87,1248.87,1248.87,1248.87,0
2006-01-19,1277.29,1277.29,1277.29,1277.29,0
2006-01-20,1282.57,1282.57,1282.57,1282.57,0
2006-01-23,1273.25,1273.25,1273.25,1273.25,0
2006-01-24,1284.47,1284.47,1284.47,1284.47,0
2006-01-25,1290.47,1290.47,1290.47,1290.47,0
2006-01-27,1336.6,1336.6,1336.6,1336.6,0
2006-01-30,1327.84,1327.84,1327.84,1327.84,0
2006-01-31,1335.59,1335.59,1335.59,1335.59,0
2006-02-01,1326.56,1326.56,1326.56,1326.56,0
2006-02-02,1321.33,1321.33,1321.33,1321.33,0
2006-02-03,1318.86,1318.86,1318.86,1318.86,0
2006-02-06,1341.59,1341.59,1341.59,1341.59,0
2006-02-07,1359.17,1359.17,1359.17,1359.17,0
2006-02-08,1348.67,1348.67,1348.67,1348.67,0
