date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,993.47,993.47,993.47,993.47,0
2005-04-05,982.98,982.98,982.98,982.98,0
2005-04-06,990.19,990.19,990.19,990.19,0
2005-04-07,988.83,988.83,988.83,988.83,0
2005-04-08,983.1,983.1,983.1,983.1,0
2005-04-11,975.68,975.68,975.68,975.68,0
2005-04-12,982.85,982.85,982.85,982.85,0
2005-04-13,981.41,981.41,981.41,981.41,0
2005-04-15,957.95,957.95,957.95,957.95,0
2005-04-18,947.42,947.42,947.42,947.42,0
2005-04-19,941.47,941.47,941.47,941.47,0
2005-04-20,955.03,955.03,955.03,955.03,0
2005-04-21,968.36,968.36,968.36,968.36,0
2005-04-22,973.23,973.23,973.23,973.23,0
2005-04-25,976.38,976.38,976.38,976.38,0
2005-04-26,973.29,973.29,973.29,973.29,0
2005-04-27,964.13,964.13,964.13,964.13,0
2005-04-28,961.66,961.66,961.66,961.66,0
2005-04-29,943.8,943.8,943.8,943.8,0
2005-05-02,948.91,948.91,948.91,948.91,0
2005-05-03,954.47,954.47,954.47,954.47,0
2005-05-04,963.53,963.53,963.53,963.53,0
2005-05-05,972.01,972.01,972.01,972.01,0
2005-05-06,978.85,978.85,978.85,978.85,0
2005-05-09,991.18,991.18,991.18,991.18,0
2005-05-10,984.97,984.97,984.97,984.97,0
2005-05-11,982.0,982.0,982.0,982.0,0
2005-05-12,989.21,989.21,989.21,989.21,0
2005-05-13,990.2,990.2,990.2,990.2,0
2005-05-16,1001.83,1001.83,1001.83,1001.83,0
2005-05-17,991.24,991.24,991.24,991.24,0
2005-05-18,988.57,988.57,988.57,988.57,0
2005-05-19,990.36,990.36,990.36,990.36,0
2005-05-20,990.4,990.4,990.4,990.4,0
2005-05-23,997.92,997.92,997.92,997.92,0
2005-05-24,1006.9,1006.9,1006.9,1006.9,0
2005-05-25,1014.69,1014.69,1014.69,1014.69,0
2005-05-26,1021.11,1021.11,1021.11,1021.11,0
2005-05-27,1019.41,1019.41,1019.41,1019.41,0
2005-05-30,1015.33,1015.33,1015.33,1015.33,0
2005-05-31,1017.99,1017.99,1017.99,1017.99,0
2005-06-01,1018.79,1018.79,1018.79,1018.79,0
2005-06-02,1009.23,1009.23,1009.23,1009.23,0
2005-06-03,1017.39,1017.39,1017.39,1017.39,0
2005-06-04,1019.78,1019.78,1019.78,1019.78,0
2005-06-06,1019.28,1019.28,1019.28,1019.28,0
2005-06-07,1019.0,1019.0,1019.0,1019.0,0
2005-06-08,1023.53,1023.53,1023.53,1023.53,0
2005-06-09,1023.37,1023.37,1023.37,1023.37,0
2005-06-10,1017.55,1017.55,1017.55,1017.55,0
2005-06-13,1016.71,1016.71,1016.71,1016.71,0
2005-06-14,1015.17,1015.17,1015.17,1015.17,0
2005-06-15,1019.74,1019.74,1019.74,1019.74,0
2005-06-16,1015.28,1015.28,1015.28,1015.28,0
2005-06-17,1011.73,1011.73,1011.73,1011.73,0
2005-06-20,1014.29,1014.29,1014.29,1014.29,0
2005-06-21,1021.88,1021.88,1021.88,1021.88,0
2005-06-22,1025.53,1025.53,1025.53,1025.53,0
2005-06-23,1029.43,1029.43,1029.43,1029.43,0
2005-06-24,1035.56,1035.56,1035.56,1035.56,0
2005-06-27,1032.93,1032.93,1032.93,1032.93,0
2005-06-28,1015.16,1015.16,1015.16,1015.16,0
2005-06-29,1020.05,1020.05,1020.05,1020.05,0
2005-06-30,1017.7,1017.7,1017.7,1017.7,0
2005-07-01,1028.77,1028.77,1028.77,1028.77,0
2005-07-04,1040.46,1040.46,1040.46,1040.46,0
2005-07-05,1040.67,1040.67,1040.67,1040.67,0
2005-07-06,1054.16,1054.16,1054.16,1054.16,0
2005-07-07,1037.48,1037.48,1037.48,1037.48,0
2005-07-08,1046.68,1046.68,1046.68,1046.68,0
2005-07-11,1059.97,1059.97,1059.97,1059.97,0
2005-07-12,1063.57,1063.57,1063.57,1063.57,0
2005-07-13,1061.89,1061.89,1061.89,1061.89,0
2005-07-14,1062.24,1062.24,1062.24,1062.24,0
2005-07-15,1073.52,1073.52,1073.52,1073.52,0
2005-07-18,1091.5,1091.5,1091.5,1091.5,0
2005-07-19,1100.46,1100.46,1100.46,1100.46,0
2005-07-20,1105.55,1105.55,1105.55,1105.55,0
2005-07-21,1100.71,1100.71,1100.71,1100.71,0
2005-07-22,1112.03,1112.03,1112.03,1112.03,0
2005-07-25,1114.01,1114.01,1114.01,1114.01,0
2005-07-26,1112.41,1112.41,1112.41,1112.41,0
2005-07-27,1114.0,1114.0,1114.0,1114.0,0
2005-07-29,1101.03,1101.03,1101.03,1101.03,0
2005-08-01,1114.11,1114.11,1114.11,1114.11,0
2005-08-02,1133.81,1133.81,1133.81,1133.81,0
2005-08-03,1132.68,1132.68,1132.68,1132.68,0
2005-08-04,1145.14,1145.14,1145.14,1145.14,0
2005-08-05,1146.95,1146.95,1146.95,1146.95,0
2005-08-08,1127.76,1127.76,1127.76,1127.76,0
2005-08-09,1122.49,1122.49,1122.49,1122.49,0
2005-08-10,1145.73,1145.73,1145.73,1145.73,0
2005-08-11,1161.71,1161.71,1161.71,1161.71,0
2005-08-12,1164.4,1164.4,1164.4,1164.4,0
2005-08-16,1172.28,1172.28,1172.28,1172.28,0
2005-08-17,1177.41,1177.41,1177.41,1177.41,0
2005-08-18,1167.3,1167.3,1167.3,1167.3,0
2005-08-19,1166.35,1166.35,1166.35,1166.35,0
2005-08-22,1160.01,1160.01,1160.01,1160.01,0
2005-08-23,1135.83,1135.83,1135.83,1135.83,0
2005-08-24,1130.58,1130.58,1130.58,1130.58,0
2005-08-25,1141.05,1141.05,1141.05,1141.05,0
2005-08-26,1151.26,1151.26,1151.26,1151.26,0
2005-08-29,1142.07,1142.07,1142.07,1142.07,0
2005-08-30,1154.06,1154.06,1154.06,1154.06,0
2005-08-31,1162.08,1162.08,1162.08,1162.08,0
2005-09-01,1175.33,1175.33,1175.33,1175.33,0
2005-09-02,1185.39,1185.39,1185.39,1185.39,0
2005-09-05,1189.0,1189.0,1189.0,1189.0,0
2005-09-06,1192.36,1192.36,1192.36,1192.36,0
2005-09-08,1203.69,1203.69,1203.69,1203.69,0
2005-09-09,1200.0,1200.0,1200.0,1200.0,0
2005-09-12,1212.47,1212.47,1212.47,1212.47,0
2005-09-13,1221.76,1221.76,1221.76,1221.76,0
2005-09-14,1216.9,1216.9,1216.9,1216.9,0
2005-09-15,1230.64,1230.64,1230.64,1230.64,0
2005-09-16,1240.79,1240.79,1240.79,1240.79,0
2005-09-19,1260.86,1260.86,1260.86,1260.86,0
2005-09-20,1258.4,1258.4,1258.4,1258.4,0
2005-09-21,1238.41,1238.41,1238.41,1238.41,0
2005-09-22,1187.15,1187.15,1187.15,1187.15,0
2005-09-23,1194.67,1194.67,1194.67,1194.67,0
2005-09-26,1230.58,1230.58,1230.58,1230.58,0
2005-09-27,1239.83,1239.83,1239.83,1239.83,0
2005-09-28,1249.97,1249.97,1249.97,1249.97,0
2005-09-29,1247.9,1247.9,1247.9,1247.9,0
2005-09-30,1250.04,1250.04,1250.04,1250.04,0
2005-10-03,1270.31,1270.31,1270.31,1270.31,0
2005-10-04,1284.71,1284.71,1284.71,1284.71,0
2005-10-05,1283.0,1283.0,1283.0,1283.0,0
2005-10-06,1261.04,1261.04,1261.04,1261.04,0
2005-10-07,1251.44,1251.44,1251.44,1251.44,0
2005-10-10,1240.4,1240.4,1240.4,1240.4,0
2005-10-11,1239.33,1239.33,1239.33,1239.33,0
2005-10-13,1215.2,1215.2,1215.2,1215.2,0
2005-10-14,1193.16,1193.16,1193.16,1193.16,0
2005-10-17,1192.08,1192.08,1192.08,1192.08,0
2005-10-18,1187.82,1187.82,1187.82,1187.82,0
2005-10-19,1156.83,1156.83,1156.83,1156.83,0
2005-10-20,1137.0,1137.0,1137.0,1137.0,0
2005-10-21,1159.51,1159.51,1159.51,1159.51,0
2005-10-24,1143.69,1143.69,1143.69,1143.69,0
2005-10-25,1146.3,1146.3,1146.3,1146.3,0
2005-10-26,1140.91,1140.91,1140.91,1140.91,0
2005-10-27,1118.99,1118.99,1118.99,1118.99,0
2005-10-28,1097.05,1097.05,1097.05,1097.05,0
2005-10-31,1122.08,1122.08,1122.08,1122.08,0
2005-11-01,1131.68,1131.68,1131.68,1131.68,0
2005-11-02,1141.36,1141.36,1141.36,1141.36,0
2005-11-07,1170.42,1170.42,1170.42,1170.42,0
2005-11-08,1185.02,1185.02,1185.02,1185.02,0
2005-11-09,1182.8,1182.8,1182.8,1182.8,0
2005-11-10,1191.99,1191.99,1191.99,1191.99,0
2005-11-11,1213.73,1213.73,1213.73,1213.73,0
2005-11-14,1212.95,1212.95,1212.95,1212.95,0
2005-11-16,1221.42,1221.42,1221.42,1221.42,0
2005-11-17,1233.46,1233.46,1233.46,1233.46,0
2005-11-18,1242.88,1242.88,1242.88,1242.88,0
2005-11-21,1239.19,1239.19,1239.19,1239.19,0
2005-11-22,1226.56,1226.56,1226.56,1226.56,0
2005-11-23,1233.56,1233.56,1233.56,1233.56,0
2005-11-24,1241.6,1241.6,1241.6,1241.6,0
2005-11-25,1262.08,1262.08,1262.08,1262.08,0
2005-11-26,1280.1,1280.1,1280.1,1280.1,0
2005-11-28,1296.98,1296.98,1296.98,1296.98,0
2005-11-29,1287.83,1287.83,1287.83,1287.83,0
2005-11-30,1276.83,1276.83,1276.83,1276.83,0
2005-12-01,1299.38,1299.38,1299.38,1299.38,0
2005-12-02,1299.61,1299.61,1299.61,1299.61,0
2005-12-05,1288.13,1288.13,1288.13,1288.13,0
2005-12-06,1280.75,1280.75,1280.75,1280.75,0
2005-12-07,1284.54,1284.54,1284.54,1284.54,0
2005-12-08,1291.98,1291.98,1291.98,1291.98,0
2005-12-09,1310.79,1310.79,1310.79,1310.79,0
2005-12-12,1320.4,1320.4,1320.4,1320.4,0
2005-12-13,1332.61,1332.61,1332.61,1332.61,0
2005-12-14,1335.64,1335.64,1335.64,1335.64,0
2005-12-15,1319.47,1319.47,1319.47,1319.47,0
2005-12-16,1331.86,1331.86,1331.86,1331.86,0
2005-12-19,1341.51,1341.51,1341.51,1341.51,0
2005-12-20,1334.04,1334.04,1334.04,1334.04,0
2005-12-21,1336.92,1336.92,1336.92,1336.92,0
2005-12-22,1338.64,1338.64,1338.64,1338.64,0
2005-12-23,1324.13,1324.13,1324.13,1324.13,0
2005-12-26,1299.39,1299.39,1299.39,1299.39,0
2005-12-27,1327.94,1327.94,1327.94,1327.94,0
2005-12-28,1322.95,1322.95,1322.95,1322.95,0
2005-12-29,1333.57,1333.57,1333.57,1333.57,0
2005-12-30,1346.83,1346.83,1346.83,1346.83,0
2006-01-02,1353.31,1353.31,1353.31,1353.31,0
2006-01-03,1377.34,1377.34,1377.34,1377.34,0
2006-01-04,1386.27,1386.27,1386.27,1386.27,0
2006-01-05,1388.43,1388.43,1388.43,1388.43,0
2006-01-06,1398.37,1398.37,1398.37,1398.37,0
2006-01-09,1402.0,1402.0,1402.0,1402.0,0
2006-01-10,1388.36,1388.36,1388.36,1388.36,0
2006-01-12,1385.95,1385.95,1385.95,1385.95,0
2006-01-13,1383.9,1383.9,1383.9,1383.9,0
2006-01-16,1376.97,1376.97,1376.97,1376.97,0
2006-01-17,1367.84,1367.84,1367.84,1367.84,0
2006-01-18,1359.78,1359.78,1359.78,1359.78,0
2006-01-19,1388.61,1388.61,1388.61,1388.61,0
2006-01-20,1409.26,1409.26,1409.26,1409.26,0
2006-01-23,1404.94,1404.94,1404.94,1404.94,0
2006-01-24,1422.41,1422.41,1422.41,1422.41,0
2006-01-25,1426.37,1426.37,1426.37,1426.37,0
2006-01-27,1459.07,1459.07,1459.07,1459.07,0
2006-01-30,1449.83,1449.83,1449.83,1449.83,0
2006-01-31,1470.54,1470.54,1470.54,1470.54,0
2006-02-01,1460.1,1460.1,1460.1,1460.1,0
2006-02-02,1481.84,1481.84,1481.84,1481.84,0
2006-02-03,1484.38,1484.38,1484.38,1484.38,0
2006-02-06,1504.7,1504.7,1504.7,1504.7,0
2006-02-07,1522.4,1522.4,1522.4,1522.4,0
2006-02-08,1521.75,1521.75,1521.75,1521.75,0
2006-02-10,1534.76,1534.76,1534.76,1534.76,0
2006-02-13,1548.59,1548.59,1548.59,1548.59,0
2006-02-14,1529.13,1529.13,1529.13,1529.13,0
2006-02-15,1530.88,1530.88,1530.88,1530.88,0
2006-02-16,1536.77,1536.77,1536.77,1536.77,0
2006-02-17,1510.67,1510.67,1510.67,1510.67,0
2006-02-20,1510.25,1510.25,1510.25,1510.25,0
2006-02-21,1531.16,1531.16,1531.16,1531.16,0
2006-02-22,1541.36,1541.36,1541.36,1541.36,0
2006-02-23,1538.26,1538.26,1538.26,1538.26,0
2006-02-24,1539.09,1539.09,1539.09,1539.09,0
2006-02-27,1547.35,1547.35,1547.35,1547.35,0
2006-02-28,1558.99,1558.99,1558.99,1558.99,0
2006-03-01,1593.22,1593.22,1593.22,1593.22,0
2006-03-02,1606.46,1606.46,1606.46,1606.46,0
2006-03-03,1617.96,1617.96,1617.96,1617.96,0
2006-03-06,1651.84,1651.84,1651.84,1651.84,0
2006-03-07,1653.22,1653.22,1653.22,1653.22,0
2006-03-08,1620.18,1620.18,1620.18,1620.18,0
2006-03-09,1623.68,1623.68,1623.68,1623.68,0
2006-03-10,1646.23,1646.23,1646.23,1646.23,0
2006-03-13,1641.86,1641.86,1641.86,1641.86,0
2006-03-14,1628.57,1628.57,1628.57,1628.57,0
2006-03-16,1645.11,1645.11,1645.11,1645.11,0
2006-03-17,1643.87,1643.87,1643.87,1643.87,0
2006-03-20,1658.41,1658.41,1658.41,1658.41,0
2006-03-21,1661.22,1661.22,1661.22,1661.22,0
2006-03-22,1654.77,1654.77,1654.77,1654.77,0
2006-03-23,1665.47,1665.47,1665.47,1665.47,0
2006-03-24,1688.23,1688.23,1688.23,1688.23,0
2006-03-27,1702.13,1702.13,1702.13,1702.13,0
2006-03-28,1688.84,1688.84,1688.84,1688.84,0
2006-03-29,1697.39,1697.39,1697.39,1697.39,0
2006-03-30,1720.54,1720.54,1720.54,1720.54,0
2006-03-31,1741.86,1741.86,1741.86,1741.86,0
2006-04-03,1788.93,1788.93,1788.93,1788.93,0
2006-04-04,1801.55,1801.55,1801.55,1801.55,0
2006-04-05,1832.07,1832.07,1832.07,1832.07,0
2006-04-07,1807.89,1807.89,1807.89,1807.89,0
2006-04-10,1831.07,1831.07,1831.07,1831.07,0
2006-04-12,1793.13,1793.13,1793.13,1793.13,0
2006-04-13,1763.7,1763.7,1763.7,1763.7,0
2006-04-17,1803.17,1803.17,1803.17,1803.17,0
2006-04-18,1823.45,1823.45,1823.45,1823.45,0
2006-04-19,1837.61,1837.61,1837.61,1837.61,0
2006-04-20,1861.02,1861.02,1861.02,1861.02,0
2006-04-21,1863.8,1863.8,1863.8,1863.8,0
2006-04-24,1859.66,1859.66,1859.66,1859.66,0
2006-04-25,1813.37,1813.37,1813.37,1813.37,0
2006-04-26,1863.35,1863.35,1863.35,1863.35,0
2006-04-27,1856.02,1856.02,1856.02,1856.02,0
2006-04-28,1862.97,1862.97,1862.97,1862.97,0
2006-04-29,1895.9,1895.9,1895.9,1895.9,0
2006-05-02,1930.59,1930.59,1930.59,1930.59,0
2006-05-03,1937.96,1937.96,1937.96,1937.96,0
2006-05-04,1941.24,1941.24,1941.24,1941.24,0
2006-05-05,1956.76,1956.76,1956.76,1956.76,0
2006-05-08,1963.63,1963.63,1963.63,1963.63,0
2006-05-09,1971.36,1971.36,1971.36,1971.36,0
2006-05-10,1985.19,1985.19,1985.19,1985.19,0
2006-05-11,1958.29,1958.29,1958.29,1958.29,0
2006-05-12,1943.82,1943.82,1943.82,1943.82,0
2006-05-15,1835.97,1835.97,1835.97,1835.97,0
2006-05-16,1834.93,1834.93,1834.93,1834.93,0
2006-05-17,1892.51,1892.51,1892.51,1892.51,0
2006-05-18,1739.32,1739.32,1739.32,1739.32,0
2006-05-19,1650.0,1650.0,1650.0,1650.0,0
2006-05-22,1552.29,1552.29,1552.29,1552.29,0
2006-05-23,1639.95,1639.95,1639.95,1639.95,0
2006-05-24,1605.27,1605.27,1605.27,1605.27,0
2006-05-25,1617.16,1617.16,1617.16,1617.16,0
2006-05-26,1654.19,1654.19,1654.19,1654.19,0
2006-05-29,1671.5,1671.5,1671.5,1671.5,0
2006-05-30,1650.41,1650.41,1650.41,1650.41,0
2006-05-31,1600.96,1600.96,1600.96,1600.96,0
2006-06-01,1539.64,1539.64,1539.64,1539.64,0
2006-06-02,1595.0,1595.0,1595.0,1595.0,0
2006-06-05,1555.39,1555.39,1555.39,1555.39,0
2006-06-06,1505.37,1505.37,1505.37,1505.37,0
2006-06-07,1423.73,1423.73,1423.73,1423.73,0
2006-06-08,1345.34,1345.34,1345.34,1345.34,0
2006-06-09,1432.2,1432.2,1432.2,1432.2,0
2006-06-12,1388.29,1388.29,1388.29,1388.29,0
2006-06-13,1310.88,1310.88,1310.88,1310.88,0
2006-06-14,1290.57,1290.57,1290.57,1290.57,0
2006-06-15,1369.28,1369.28,1369.28,1369.28,0
2006-06-16,1429.29,1429.29,1429.29,1429.29,0
2006-06-19,1460.11,1460.11,1460.11,1460.11,0
2006-06-20,1444.34,1444.34,1444.34,1444.34,0
2006-06-21,1475.99,1475.99,1475.99,1475.99,0
2006-06-22,1514.54,1514.54,1514.54,1514.54,0
2006-06-23,1531.26,1531.26,1531.26,1531.26,0
2006-06-25,1544.81,1544.81,1544.81,1544.81,0
2006-06-26,1469.11,1469.11,1469.11,1469.11,0
2006-06-27,1481.92,1481.92,1481.92,1481.92,0
