date,open,high,low,close,volume
2021-10-01,1000.0,1000.0,1000.0,1000.0,0
2021-10-04,1012.33,1012.33,1012.33,1012.33,0
2021-10-05,1005.27,1005.27,1005.27,1005.27,0
2021-10-06,1000.5,1000.5,1000.5,1000.5,0
2021-10-07,1012.08,1012.08,1012.08,1012.08,0
2021-10-08,1040.69,1040.69,1040.69,1040.69,0
2021-10-11,1054.07,1054.07,1054.07,1054.07,0
2021-10-12,1051.92,1051.92,1051.92,1051.92,0
2021-10-13,1086.35,1086.35,1086.35,1086.35,0
2021-10-14,1090.38,1090.38,1090.38,1090.38,0
2021-10-18,1077.07,1077.07,1077.07,1077.07,0
2021-10-19,1050.55,1050.55,1050.55,1050.55,0
2021-10-20,1027.55,1027.55,1027.55,1027.55,0
2021-10-21,1012.75,1012.75,1012.75,1012.75,0
2021-10-22,975.69,975.69,975.69,975.69,0
2021-10-25,929.07,929.07,929.07,929.07,0
2021-10-26,945.01,945.01,945.01,945.01,0
2021-10-27,946.93,946.93,946.93,946.93,0
2021-10-28,920.84,920.84,920.84,920.84,0
2021-10-29,916.04,916.04,916.04,916.04,0
2021-11-01,924.95,924.95,924.95,924.95,0
2021-11-02,922.93,922.93,922.93,922.93,0
2021-11-03,916.48,916.48,916.48,916.48,0
2021-11-04,930.83,930.83,930.83,930.83,0
2021-11-08,929.38,929.38,929.38,929.38,0
2021-11-09,935.15,935.15,935.15,935.15,0
2021-11-10,939.09,939.09,939.09,939.09,0
2021-11-11,930.31,930.31,930.31,930.31,0
2021-11-12,947.05,947.05,947.05,947.05,0
2021-11-15,942.32,942.32,942.32,942.32,0
2021-11-16,952.69,952.69,952.69,952.69,0
2021-11-17,949.91,949.91,949.91,949.91,0
2021-11-18,936.56,936.56,936.56,936.56,0
2021-11-22,905.73,905.73,905.73,905.73,0
2021-11-23,906.34,906.34,906.34,906.34,0
2021-11-24,906.65,906.65,906.65,906.65,0
2021-11-25,909.94,909.94,909.94,909.94,0
2021-11-26,890.47,890.47,890.47,890.47,0
2021-11-29,875.87,875.87,875.87,875.87,0
2021-11-30,872.14,872.14,872.14,872.14,0
2021-12-01,886.0,886.0,886.0,886.0,0
2021-12-02,892.19,892.19,892.19,892.19,0
2021-12-03,892.25,892.25,892.25,892.25,0
2021-12-06,870.0,870.0,870.0,870.0,0
2021-12-07,885.54,885.54,885.54,885.54,0
2021-12-08,902.51,902.51,902.51,902.51,0
2021-12-09,914.95,914.95,914.95,914.95,0
2021-12-10,913.53,913.53,913.53,913.53,0
2021-12-13,914.32,914.32,914.32,914.32,0
2021-12-14,912.87,912.87,912.87,912.87,0
2021-12-15,913.33,913.33,913.33,913.33,0
2021-12-16,907.65,907.65,907.65,907.65,0
2021-12-17,887.61,887.61,887.61,887.61,0
2021-12-20,852.68,852.68,852.68,852.68,0
2021-12-21,858.41,858.41,858.41,858.41,0
2021-12-22,869.45,869.45,869.45,869.45,0
2021-12-23,872.0,872.0,872.0,872.0,0
2021-12-24,865.91,865.91,865.91,865.91,0
2021-12-27,868.63,868.63,868.63,868.63,0
2021-12-28,877.05,877.05,877.05,877.05,0
2021-12-29,874.08,874.08,874.08,874.08,0
2021-12-30,873.37,873.37,873.37,873.37,0
2021-12-31,887.01,887.01,887.01,887.01,0
2022-01-03,893.79,893.79,893.79,893.79,0
2022-01-04,895.43,895.43,895.43,895.43,0
2022-01-05,893.56,893.56,893.56,893.56,0
2022-01-06,890.82,890.82,890.82,890.82,0
2022-01-07,894.91,894.91,894.91,894.91,0
2022-01-10,896.79,896.79,896.79,896.79,0
2022-01-11,897.85,897.85,897.85,897.85,0
2022-01-12,909.5,909.5,909.5,909.5,0
2022-01-13,910.3,910.3,910.3,910.3,0
2022-01-14,923.68,923.68,923.68,923.68,0
2022-01-17,926.41,926.41,926.41,926.41,0
2022-01-18,903.95,903.95,903.95,903.95,0
2022-01-19,888.7,888.7,888.7,888.7,0
2022-01-20,905.67,905.67,905.67,905.67,0
2022-01-21,885.93,885.93,885.93,885.93,0
2022-01-24,830.19,830.19,830.19,830.19,0
2022-01-25,817.2,817.2,817.2,817.2,0
2022-01-27,792.69,792.69,792.69,792.69,0
2022-01-28,797.84,797.84,797.84,797.84,0
2022-01-31,820.23,820.23,820.23,820.23,0
2022-02-01,827.46,827.46,827.46,827.46,0
2022-02-02,846.38,846.38,846.38,846.38,0
2022-02-03,833.6,833.6,833.6,833.6,0
2022-02-04,824.59,824.59,824.59,824.59,0
2022-02-07,814.59,814.59,814.59,814.59,0
2022-02-08,811.04,811.04,811.04,811.04,0
2022-02-09,819.87,819.87,819.87,819.87,0
2022-02-10,820.68,820.68,820.68,820.68,0
2022-02-11,798.88,798.88,798.88,798.88,0
2022-02-14,775.96,775.96,775.96,775.96,0
2022-02-15,795.02,795.02,795.02,795.02,0
2022-02-16,796.23,796.23,796.23,796.23,0
2022-02-17,785.84,785.84,785.84,785.84,0
2022-02-18,774.77,774.77,774.77,774.77,0
2022-02-21,759.4,759.4,759.4,759.4,0
2022-02-22,747.88,747.88,747.88,747.88,0
2022-02-23,757.27,757.27,757.27,757.27,0
2022-02-24,722.84,722.84,722.84,722.84,0
2022-02-25,753.42,753.42,753.42,753.42,0
2022-02-28,755.65,755.65,755.65,755.65,0
2022-03-02,753.78,753.78,753.78,753.78,0
2022-03-03,743.59,743.59,743.59,743.59,0
2022-03-04,725.91,725.91,725.91,725.91,0
2022-03-07,701.31,701.31,701.31,701.31,0
2022-03-08,711.54,711.54,711.54,711.54,0
2022-03-09,732.08,732.08,732.08,732.08,0
2022-03-10,741.26,741.26,741.26,741.26,0
2022-03-11,740.75,740.75,740.75,740.75,0
2022-03-14,729.44,729.44,729.44,729.44,0
2022-03-15,728.51,728.51,728.51,728.51,0
2022-03-16,742.7,742.7,742.7,742.7,0
2022-03-17,776.39,776.39,776.39,776.39,0
2022-03-21,781.76,781.76,781.76,781.76,0
2022-03-22,786.62,786.62,786.62,786.62,0
2022-03-23,782.14,782.14,782.14,782.14,0
2022-03-24,774.29,774.29,774.29,774.29,0
2022-03-25,767.09,767.09,767.09,767.09,0
2022-03-28,752.79,752.79,752.79,752.79,0
2022-03-29,753.3,753.3,753.3,753.3,0
2022-03-30,759.91,759.91,759.91,759.91,0
2022-03-31,745.99,745.99,745.99,745.99,0
2022-04-01,766.27,766.27,766.27,766.27,0
2022-04-04,796.71,796.71,796.71,796.71,0
2022-04-05,812.14,812.14,812.14,812.14,0
2022-04-06,812.3,812.3,812.3,812.3,0
2022-04-07,805.61,805.61,805.61,805.61,0
2022-04-08,815.03,815.03,815.03,815.03,0
2022-04-11,827.55,827.55,827.55,827.55,0
2022-04-12,813.53,813.53,813.53,813.53,0
2022-04-13,817.79,817.79,817.79,817.79,0
2022-04-18,807.08,807.08,807.08,807.08,0
2022-04-19,801.69,801.69,801.69,801.69,0
2022-04-20,795.78,795.78,795.78,795.78,0
2022-04-21,807.07,807.07,807.07,807.07,0
2022-04-22,804.81,804.81,804.81,804.81,0
2022-04-25,775.93,775.93,775.93,775.93,0
2022-04-26,783.25,783.25,783.25,783.25,0
2022-04-27,766.94,766.94,766.94,766.94,0
2022-04-28,775.02,775.02,775.02,775.02,0
2022-04-29,771.22,771.22,771.22,771.22,0
2022-05-02,756.43,756.43,756.43,756.43,0
2022-05-04,722.77,722.77,722.77,722.77,0
2022-05-05,705.46,705.46,705.46,705.46,0
2022-05-06,679.01,679.01,679.01,679.01,0
2022-05-09,657.77,657.77,657.77,657.77,0
2022-05-10,636.1,636.1,636.1,636.1,0
2022-05-11,628.72,628.72,628.72,628.72,0
2022-05-12,609.05,609.05,609.05,609.05,0
2022-05-13,630.16,630.16,630.16,630.16,0
2022-05-16,648.57,648.57,648.57,648.57,0
2022-05-17,666.48,666.48,666.48,666.48,0
2022-05-18,667.37,667.37,667.37,667.37,0
2022-05-19,639.88,639.88,639.88,639.88,0
2022-05-20,658.98,658.98,658.98,658.98,0
2022-05-23,661.43,661.43,661.43,661.43,0
2022-05-24,667.61,667.61,667.61,667.61,0
2022-05-25,639.91,639.91,639.91,639.91,0
2022-05-26,641.7,641.7,641.7,641.7,0
2022-05-27,656.25,656.25,656.25,656.25,0
2022-05-30,682.4,682.4,682.4,682.4,0
2022-05-31,704.83,704.83,704.83,704.83,0
2022-06-01,700.59,700.59,700.59,700.59,0
2022-06-02,691.29,691.29,691.29,691.29,0
2022-06-03,686.57,686.57,686.57,686.57,0
2022-06-06,672.78,672.78,672.78,672.78,0
2022-06-07,656.39,656.39,656.39,656.39,0
2022-06-08,662.47,662.47,662.47,662.47,0
2022-06-09,670.55,670.55,670.55,670.55,0
2022-06-10,662.26,662.26,662.26,662.26,0
2022-06-13,644.97,644.97,644.97,644.97,0
2022-06-14,649.38,649.38,649.38,649.38,0
2022-06-15,652.34,652.34,652.34,652.34,0
2022-06-16,637.07,637.07,637.07,637.07,0
2022-06-17,634.31,634.31,634.31,634.31,0
2022-06-20,622.04,622.04,622.04,622.04,0
2022-06-21,637.04,637.04,637.04,637.04,0
2022-06-22,630.4,630.4,630.4,630.4,0
2022-06-23,642.17,642.17,642.17,642.17,0
2022-06-24,658.06,658.06,658.06,658.06,0
2022-06-27,662.1,662.1,662.1,662.1,0
2022-06-28,649.84,649.84,649.84,649.84,0
2022-06-29,637.32,637.32,637.32,637.32,0
2022-06-30,625.98,625.98,625.98,625.98,0
2022-07-01,626.79,626.79,626.79,626.79,0
2022-07-04,628.28,628.28,628.28,628.28,0
2022-07-05,628.24,628.24,628.24,628.24,0
2022-07-06,631.26,631.26,631.26,631.26,0
2022-07-07,641.16,641.16,641.16,641.16,0
2022-07-08,640.14,640.14,640.14,640.14,0
2022-07-11,641.02,641.02,641.02,641.02,0
2022-07-12,640.87,640.87,640.87,640.87,0
2022-07-13,645.02,645.02,645.02,645.02,0
2022-07-14,636.61,636.61,636.61,636.61,0
2022-07-15,628.77,628.77,628.77,628.77,0
2022-07-18,641.1,641.1,641.1,641.1,0
2022-07-19,647.77,647.77,647.77,647.77,0
2022-07-20,651.55,651.55,651.55,651.55,0
2022-07-21,657.13,657.13,657.13,657.13,0
2022-07-22,657.95,657.95,657.95,657.95,0
2022-07-25,641.48,641.48,641.48,641.48,0
2022-07-26,617.77,617.77,617.77,617.77,0
2022-07-27,622.14,622.14,622.14,622.14,0
2022-07-28,630.75,630.75,630.75,630.75,0
2022-07-29,643.09,643.09,643.09,643.09,0
2022-08-01,654.66,654.66,654.66,654.66,0
2022-08-02,678.54,678.54,678.54,678.54,0
2022-08-03,673.81,673.81,673.81,673.81,0
2022-08-04,678.27,678.27,678.27,678.27,0
2022-08-05,675.68,675.68,675.68,675.68,0
2022-08-08,676.72,676.72,676.72,676.72,0
2022-08-10,670.92,670.92,670.92,670.92,0
2022-08-11,683.17,683.17,683.17,683.17,0
2022-08-12,682.14,682.14,682.14,682.14,0
2022-08-16,688.74,688.74,688.74,688.74,0
2022-08-17,696.3,696.3,696.3,696.3,0
2022-08-18,697.09,697.09,697.09,697.09,0
2022-08-19,683.0,683.0,683.0,683.0,0
2022-08-22,666.99,666.99,666.99,666.99,0
2022-08-23,669.01,669.01,669.01,669.01,0
2022-08-24,669.28,669.28,669.28,669.28,0
2022-08-25,676.34,676.34,676.34,676.34,0
2022-08-26,676.7,676.7,676.7,676.7,0
2022-08-29,656.45,656.45,656.45,656.45,0
2022-08-30,667.21,667.21,667.21,667.21,0
2022-09-01,670.7,670.7,670.7,670.7,0
2022-09-02,669.25,669.25,669.25,669.25,0
2022-09-05,668.83,668.83,668.83,668.83,0
2022-09-06,668.52,668.52,668.52,668.52,0
2022-09-07,673.94,673.94,673.94,673.94,0
2022-09-08,682.8,682.8,682.8,682.8,0
2022-09-09,692.05,692.05,692.05,692.05,0
2022-09-12,694.46,694.46,694.46,694.46,0
2022-09-13,708.18,708.18,708.18,708.18,0
2022-09-14,695.35,695.35,695.35,695.35,0
2022-09-15,693.97,693.97,693.97,693.97,0
2022-09-16,683.38,683.38,683.38,683.38,0
2022-09-19,678.74,678.74,678.74,678.74,0
2022-09-20,677.8,677.8,677.8,677.8,0
2022-09-21,673.69,673.69,673.69,673.69,0
