date,open,high,low,close,volume
2003-12-31,1000.0,1000.0,1000.0,1000.0,0
2004-01-01,1015.5,1015.5,1015.5,1015.5,0
2004-01-02,1035.1,1035.1,1035.1,1035.1,0
2004-01-05,1035.7,1035.7,1035.7,1035.7,0
2004-01-06,1023.3,1023.3,1023.3,1023.3,0
2004-01-07,1017.9,1017.9,1017.9,1017.9,0
2004-01-08,1039.9,1039.9,1039.9,1039.9,0
2004-01-09,1047.1,1047.1,1047.1,1047.1,0
2004-01-12,1033.0,1033.0,1033.0,1033.0,0
2004-01-13,1039.7,1039.7,1039.7,1039.7,0
2004-01-14,1053.3,1053.3,1053.3,1053.3,0
2004-01-15,1039.6,1039.6,1039.6,1039.6,0
2004-01-16,1015.8,1015.8,1015.8,1015.8,0
2004-01-19,1025.6,1025.6,1025.6,1025.6,0
2004-01-20,1010.5,1010.5,1010.5,1010.5,0
2004-01-21,972.3,972.3,972.3,972.3,0
2004-01-22,945.9,945.9,945.9,945.9,0
2004-01-23,979.2,979.2,979.2,979.2,0
2004-01-27,1008.3,1008.3,1008.3,1008.3,0
2004-01-28,989.9,989.9,989.9,989.9,0
2004-01-29,988.1,988.1,988.1,988.1,0
2004-01-30,972.1,972.1,972.1,972.1,0
2004-02-03,952.9,952.9,952.9,952.9,0
2004-02-04,971.2,971.2,971.2,971.2,0
2004-02-05,968.6,968.6,968.6,968.6,0
2004-02-06,977.8,977.8,977.8,977.8,0
2004-02-09,995.8,995.8,995.8,995.8,0
2004-02-10,993.6,993.6,993.6,993.6,0
2004-02-11,1002.3,1002.3,1002.3,1002.3,0
2004-02-12,1003.4,1003.4,1003.4,1003.4,0
2004-02-13,1014.6,1014.6,1014.6,1014.6,0
2004-02-16,1018.9,1018.9,1018.9,1018.9,0
2004-02-17,1023.7,1023.7,1023.7,1023.7,0
2004-02-18,1024.4,1024.4,1024.4,1024.4,0
2004-02-19,1003.8,1003.8,1003.8,1003.8,0
2004-02-20,998.7,998.7,998.7,998.7,0
2004-02-23,982.9,982.9,982.9,982.9,0
2004-02-24,987.8,987.8,987.8,987.8,0
2004-02-25,971.8,971.8,971.8,971.8,0
2004-02-26,964.7,964.7,964.7,964.7,0
2004-02-27,971.3,971.3,971.3,971.3,0
2004-03-01,986.9,986.9,986.9,986.9,0
2004-03-03,996.2,996.2,996.2,996.2,0
2004-03-04,990.1,990.1,990.1,990.1,0
2004-03-05,1001.9,1001.9,1001.9,1001.9,0
2004-03-08,1010.5,1010.5,1010.5,1010.5,0
2004-03-09,1004.0,1004.0,1004.0,1004.0,0
2004-03-10,997.2,997.2,997.2,997.2,0
2004-03-11,980.5,980.5,980.5,980.5,0
2004-03-12,979.8,979.8,979.8,979.8,0
2004-03-15,957.4,957.4,957.4,957.4,0
2004-03-16,944.3,944.3,944.3,944.3,0
2004-03-17,942.2,942.2,942.2,942.2,0
2004-03-18,931.5,931.5,931.5,931.5,0
2004-03-19,935.7,935.7,935.7,935.7,0
2004-03-22,917.7,917.7,917.7,917.7,0
2004-03-23,919.3,919.3,919.3,919.3,0
2004-03-24,920.5,920.5,920.5,920.5,0
2004-03-25,921.2,921.2,921.2,921.2,0
2004-03-26,941.1,941.1,941.1,941.1,0
2004-03-29,948.4,948.4,948.4,948.4,0
2004-03-30,947.5,947.5,947.5,947.5,0
2004-03-31,963.7,963.7,963.7,963.7,0
2004-04-01,981.4,981.4,981.4,981.4,0
2004-04-02,989.8,989.8,989.8,989.8,0
2004-04-05,993.7,993.7,993.7,993.7,0
2004-04-06,989.4,989.4,989.4,989.4,0
2004-04-07,985.1,985.1,985.1,985.1,0
2004-04-08,988.7,988.7,988.7,988.7,0
2004-04-12,986.8,986.8,986.8,986.8,0
2004-04-13,999.3,999.3,999.3,999.3,0
2004-04-15,1000.9,1000.9,1000.9,1000.9,0
2004-04-16,1003.8,1003.8,1003.8,1003.8,0
2004-04-17,1005.8,1005.8,1005.8,1005.8,0
2004-04-19,998.1,998.1,998.1,998.1,0
2004-04-20,996.4,996.4,996.4,996.4,0
2004-04-21,1010.3,1010.3,1010.3,1010.3,0
2004-04-22,1024.3,1024.3,1024.3,1024.3,0
2004-04-23,1028.5,1028.5,1028.5,1028.5,0
2004-04-27,998.1,998.1,998.1,998.1,0
2004-04-28,996.9,996.9,996.9,996.9,0
2004-04-29,999.5,999.5,999.5,999.5,0
2004-04-30,995.1,995.1,995.1,995.1,0
2004-05-03,978.5,978.5,978.5,978.5,0
2004-05-04,993.2,993.2,993.2,993.2,0
2004-05-05,998.8,998.8,998.8,998.8,0
2004-05-06,1010.4,1010.4,1010.4,1010.4,0
2004-05-07,998.4,998.4,998.4,998.4,0
2004-05-10,985.6,985.6,985.6,985.6,0
2004-05-11,952.0,952.0,952.0,952.0,0
2004-05-12,959.9,959.9,959.9,959.9,0
2004-05-13,959.3,959.3,959.3,959.3,0
2004-05-14,904.1,904.1,904.1,904.1,0
2004-05-17,816.0,816.0,816.0,816.0,0
2004-05-18,864.8,864.8,864.8,864.8,0
2004-05-19,892.0,892.0,892.0,892.0,0
2004-05-20,887.4,887.4,887.4,887.4,0
2004-05-21,888.7,888.7,888.7,888.7,0
2004-05-24,907.4,907.4,907.4,907.4,0
2004-05-25,904.6,904.6,904.6,904.6,0
2004-05-26,905.4,905.4,905.4,905.4,0
2004-05-27,900.9,900.9,900.9,900.9,0
2004-05-28,871.99,871.99,871.99,871.99,0
2004-05-31,855.29,855.29,855.29,855.29,0
2004-06-01,865.43,865.43,865.43,865.43,0
2004-06-02,872.8,872.8,872.8,872.8,0
2004-06-03,860.28,860.28,860.28,860.28,0
2004-06-04,869.44,869.44,869.44,869.44,0
2004-06-07,874.67,874.67,874.67,874.67,0
2004-06-08,876.62,876.62,876.62,876.62,0
2004-06-09,878.61,878.61,878.61,878.61,0
2004-06-10,877.14,877.14,877.14,877.14,0
2004-06-11,869.34,869.34,869.34,869.34,0
2004-06-14,855.26,855.26,855.26,855.26,0
2004-06-15,861.99,861.99,861.99,861.99,0
2004-06-16,858.69,858.69,858.69,858.69,0
2004-06-17,860.9,860.9,860.9,860.9,0
2004-06-18,854.69,854.69,854.69,854.69,0
2004-06-21,848.76,848.76,848.76,848.76,0
2004-06-22,847.15,847.15,847.15,847.15,0
2004-06-23,834.44,834.44,834.44,834.44,0
2004-06-24,840.76,840.76,840.76,840.76,0
2004-06-25,853.84,853.84,853.84,853.84,0
2004-06-28,866.65,866.65,866.65,866.65,0
2004-06-29,869.97,869.97,869.97,869.97,0
2004-06-30,872.57,872.57,872.57,872.57,0
2004-07-01,880.01,880.01,880.01,880.01,0
2004-07-02,882.27,882.27,882.27,882.27,0
2004-07-05,879.87,879.87,879.87,879.87,0
2004-07-06,890.59,890.59,890.59,890.59,0
2004-07-07,898.13,898.13,898.13,898.13,0
2004-07-08,880.36,880.36,880.36,880.36,0
2004-07-09,891.74,891.74,891.74,891.74,0
2004-07-12,895.02,895.02,895.02,895.02,0
2004-07-13,887.39,887.39,887.39,887.39,0
2004-07-14,877.31,877.31,877.31,877.31,0
2004-07-15,885.25,885.25,885.25,885.25,0
2004-07-16,892.08,892.08,892.08,892.08,0
2004-07-19,896.57,896.57,896.57,896.57,0
2004-07-20,896.2,896.2,896.2,896.2,0
2004-07-21,897.35,897.35,897.35,897.35,0
2004-07-22,900.46,900.46,900.46,900.46,0
2004-07-23,902.31,902.31,902.31,902.31,0
2004-07-26,907.95,907.95,907.95,907.95,0
2004-07-27,900.39,900.39,900.39,900.39,0
2004-07-28,893.92,893.92,893.92,893.92,0
2004-07-29,902.97,902.97,902.97,902.97,0
2004-07-30,906.64,906.64,906.64,906.64,0
2004-08-02,912.13,912.13,912.13,912.13,0
2004-08-03,911.8,911.8,911.8,911.8,0
2004-08-04,909.56,909.56,909.56,909.56,0
2004-08-05,917.81,917.81,917.81,917.81,0
2004-08-06,913.46,913.46,913.46,913.46,0
2004-08-09,917.01,917.01,917.01,917.01,0
2004-08-10,922.36,922.36,922.36,922.36,0
2004-08-11,915.08,915.08,915.08,915.08,0
2004-08-12,910.58,910.58,910.58,910.58,0
2004-08-13,909.7,909.7,909.7,909.7,0
2004-08-16,908.67,908.67,908.67,908.67,0
2004-08-17,910.13,910.13,910.13,910.13,0
2004-08-18,903.72,903.72,903.72,903.72,0
2004-08-19,913.01,913.01,913.01,913.01,0
2004-08-20,904.01,904.01,904.01,904.01,0
2004-08-23,899.3,899.3,899.3,899.3,0
2004-08-24,907.02,907.02,907.02,907.02,0
2004-08-25,909.1,909.1,909.1,909.1,0
2004-08-26,919.56,919.56,919.56,919.56,0
2004-08-27,919.85,919.85,919.85,919.85,0
2004-08-30,933.53,933.53,933.53,933.53,0
2004-08-31,935.39,935.39,935.39,935.39,0
2004-09-01,940.36,940.36,940.36,940.36,0
2004-09-02,939.06,939.06,939.06,939.06,0
2004-09-03,939.73,939.73,939.73,939.73,0
2004-09-06,945.19,945.19,945.19,945.19,0
2004-09-07,947.78,947.78,947.78,947.78,0
2004-09-08,956.21,956.21,956.21,956.21,0
2004-09-09,952.08,952.08,952.08,952.08,0
2004-09-10,962.8,962.8,962.8,962.8,0
2004-09-13,967.21,967.21,967.21,967.21,0
2004-09-14,970.48,970.48,970.48,970.48,0
2004-09-15,971.57,971.57,971.57,971.57,0
2004-09-16,978.82,978.82,978.82,978.82,0
2004-09-17,986.83,986.83,986.83,986.83,0
2004-09-20,986.59,986.59,986.59,986.59,0
2004-09-21,995.25,995.25,995.25,995.25,0
2004-09-22,1000.62,1000.62,1000.62,1000.62,0
2004-09-23,993.06,993.06,993.06,993.06,0
2004-09-24,995.3,995.3,995.3,995.3,0
2004-09-27,995.23,995.23,995.23,995.23,0
2004-09-28,986.78,986.78,986.78,986.78,0
2004-09-29,995.01,995.01,995.01,995.01,0
2004-09-30,999.83,999.83,999.83,999.83,0
2004-10-01,1007.93,1007.93,1007.93,1007.93,0
2004-10-04,1016.17,1016.17,1016.17,1016.17,0
2004-10-05,1016.55,1016.55,1016.55,1016.55,0
2004-10-06,1008.6,1008.6,1008.6,1008.6,0
2004-10-07,1010.9,1010.9,1010.9,1010.9,0
2004-10-08,1011.79,1011.79,1011.79,1011.79,0
2004-10-09,1013.51,1013.51,1013.51,1013.51,0
2004-10-11,1002.82,1002.82,1002.82,1002.82,0
2004-10-12,992.09,992.09,992.09,992.09,0
2004-10-14,990.9,990.9,990.9,990.9,0
2004-10-15,989.53,989.53,989.53,989.53,0
2004-10-18,989.22,989.22,989.22,989.22,0
2004-10-19,996.46,996.46,996.46,996.46,0
2004-10-20,991.53,991.53,991.53,991.53,0
2004-10-21,988.62,988.62,988.62,988.62,0
2004-10-25,976.44,976.44,976.44,976.44,0
2004-10-26,981.43,981.43,981.43,981.43,0
2004-10-27,991.03,991.03,991.03,991.03,0
2004-10-28,998.25,998.25,998.25,998.25,0
2004-10-29,994.96,994.96,994.96,994.96,0
2004-11-01,1005.61,1005.61,1005.61,1005.61,0
2004-11-02,1017.06,1017.06,1017.06,1017.06,0
