date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1012.17,1012.17,1012.17,1012.17,0
2005-04-05,1007.65,1007.65,1007.65,1007.65,0
2005-04-06,1011.31,1011.31,1011.31,1011.31,0
2005-04-07,1007.72,1007.72,1007.72,1007.72,0
2005-04-08,1002.9,1002.9,1002.9,1002.9,0
2005-04-11,997.47,997.47,997.47,997.47,0
2005-04-12,999.45,999.45,999.45,999.45,0
2005-04-13,1000.83,1000.83,1000.83,1000.83,0
2005-04-15,980.03,980.03,980.03,980.03,0
2005-04-18,972.84,972.84,972.84,972.84,0
2005-04-19,967.54,967.54,967.54,967.54,0
2005-04-20,972.54,972.54,972.54,972.54,0
2005-04-21,985.12,985.12,985.12,985.12,0
2005-04-22,995.53,995.53,995.53,995.53,0
2005-04-25,999.5,999.5,999.5,999.5,0
2005-04-26,998.92,998.92,998.92,998.92,0
2005-04-27,992.22,992.22,992.22,992.22,0
2005-04-28,990.74,990.74,990.74,990.74,0
2005-04-29,979.23,979.23,979.23,979.23,0
2005-05-02,975.13,975.13,975.13,975.13,0
2005-05-03,978.44,978.44,978.44,978.44,0
2005-05-04,983.16,983.16,983.16,983.16,0
2005-05-05,991.93,991.93,991.93,991.93,0
2005-05-06,999.57,999.57,999.57,999.57,0
2005-05-09,1016.49,1016.49,1016.49,1016.49,0
2005-05-10,1016.9,1016.9,1016.9,1016.9,0
2005-05-11,1023.03,1023.03,1023.03,1023.03,0
2005-05-12,1034.42,1034.42,1034.42,1034.42,0
2005-05-13,1038.39,1038.39,1038.39,1038.39,0
2005-05-16,1049.7,1049.7,1049.7,1049.7,0
2005-05-17,1038.54,1038.54,1038.54,1038.54,0
2005-05-18,1040.06,1040.06,1040.06,1040.06,0
2005-05-19,1050.51,1050.51,1050.51,1050.51,0
2005-05-20,1051.53,1051.53,1051.53,1051.53,0
2005-05-23,1053.38,1053.38,1053.38,1053.38,0
2005-05-24,1055.42,1055.42,1055.42,1055.42,0
2005-05-25,1062.33,1062.33,1062.33,1062.33,0
2005-05-26,1062.51,1062.51,1062.51,1062.51,0
2005-05-27,1057.64,1057.64,1057.64,1057.64,0
2005-05-30,1055.11,1055.11,1055.11,1055.11,0
2005-05-31,1063.27,1063.27,1063.27,1063.27,0
2005-06-01,1070.07,1070.07,1070.07,1070.07,0
2005-06-02,1066.21,1066.21,1066.21,1066.21,0
2005-06-03,1070.49,1070.49,1070.49,1070.49,0
2005-06-04,1072.3,1072.3,1072.3,1072.3,0
2005-06-06,1073.75,1073.75,1073.75,1073.75,0
2005-06-07,1074.16,1074.16,1074.16,1074.16,0
2005-06-08,1072.49,1072.49,1072.49,1072.49,0
2005-06-09,1079.7,1079.7,1079.7,1079.7,0
2005-06-10,1079.23,1079.23,1079.23,1079.23,0
2005-06-13,1080.86,1080.86,1080.86,1080.86,0
2005-06-14,1084.96,1084.96,1084.96,1084.96,0
2005-06-15,1090.63,1090.63,1090.63,1090.63,0
2005-06-16,1078.27,1078.27,1078.27,1078.27,0
2005-06-17,1064.32,1064.32,1064.32,1064.32,0
2005-06-20,1058.47,1058.47,1058.47,1058.47,0
2005-06-21,1063.02,1063.02,1063.02,1063.02,0
2005-06-22,1059.24,1059.24,1059.24,1059.24,0
2005-06-23,1065.25,1065.25,1065.25,1065.25,0
2005-06-24,1071.55,1071.55,1071.55,1071.55,0
2005-06-27,1075.74,1075.74,1075.74,1075.74,0
2005-06-28,1063.83,1063.83,1063.83,1063.83,0
2005-06-29,1067.47,1067.47,1067.47,1067.47,0
2005-06-30,1063.7,1063.7,1063.7,1063.7,0
2005-07-01,1073.83,1073.83,1073.83,1073.83,0
2005-07-04,1092.11,1092.11,1092.11,1092.11,0
2005-07-05,1092.44,1092.44,1092.44,1092.44,0
2005-07-06,1102.66,1102.66,1102.66,1102.66,0
2005-07-07,1095.92,1095.92,1095.92,1095.92,0
2005-07-08,1110.16,1110.16,1110.16,1110.16,0
2005-07-11,1128.61,1128.61,1128.61,1128.61,0
2005-07-12,1131.16,1131.16,1131.16,1131.16,0
2005-07-13,1131.49,1131.49,1131.49,1131.49,0
2005-07-14,1133.66,1133.66,1133.66,1133.66,0
2005-07-15,1145.0,1145.0,1145.0,1145.0,0
2005-07-18,1160.61,1160.61,1160.61,1160.61,0
2005-07-19,1165.94,1165.94,1165.94,1165.94,0
2005-07-20,1164.48,1164.48,1164.48,1164.48,0
2005-07-21,1164.16,1164.16,1164.16,1164.16,0
2005-07-22,1172.58,1172.58,1172.58,1172.58,0
2005-07-25,1174.14,1174.14,1174.14,1174.14,0
2005-07-26,1172.93,1172.93,1172.93,1172.93,0
2005-07-27,1175.31,1175.31,1175.31,1175.31,0
2005-07-29,1162.79,1162.79,1162.79,1162.79,0
2005-08-01,1167.59,1167.59,1167.59,1167.59,0
2005-08-02,1187.65,1187.65,1187.65,1187.65,0
2005-08-03,1187.01,1187.01,1187.01,1187.01,0
2005-08-04,1191.0,1191.0,1191.0,1191.0,0
2005-08-05,1197.26,1197.26,1197.26,1197.26,0
2005-08-08,1192.89,1192.89,1192.89,1192.89,0
2005-08-09,1190.09,1190.09,1190.09,1190.09,0
2005-08-10,1210.1,1210.1,1210.1,1210.1,0
2005-08-11,1224.5,1224.5,1224.5,1224.5,0
2005-08-12,1239.04,1239.04,1239.04,1239.04,0
2005-08-16,1247.16,1247.16,1247.16,1247.16,0
2005-08-17,1255.28,1255.28,1255.28,1255.28,0
2005-08-18,1244.07,1244.07,1244.07,1244.07,0
2005-08-19,1250.05,1250.05,1250.05,1250.05,0
2005-08-22,1246.08,1246.08,1246.08,1246.08,0
2005-08-23,1222.35,1222.35,1222.35,1222.35,0
2005-08-24,1212.09,1212.09,1212.09,1212.09,0
2005-08-25,1218.5,1218.5,1218.5,1218.5,0
2005-08-26,1235.95,1235.95,1235.95,1235.95,0
2005-08-29,1238.13,1238.13,1238.13,1238.13,0
2005-08-30,1249.51,1249.51,1249.51,1249.51,0
