date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,995.05,995.05,995.05,995.05,0
2005-04-05,981.21,981.21,981.21,981.21,0
2005-04-06,989.2,989.2,989.2,989.2,0
2005-04-07,991.92,991.92,991.92,991.92,0
2005-04-08,989.07,989.07,989.07,989.07,0
2005-04-11,980.34,980.34,980.34,980.34,0
2005-04-12,990.18,990.18,990.18,990.18,0
2005-04-13,986.06,986.06,986.06,986.06,0
2005-04-15,963.41,963.41,963.41,963.41,0
2005-04-18,964.93,964.93,964.93,964.93,0
2005-04-19,955.06,955.06,955.06,955.06,0
2005-04-20,971.87,971.87,971.87,971.87,0
2005-04-21,981.4,981.4,981.4,981.4,0
2005-04-22,986.23,986.23,986.23,986.23,0
2005-04-25,993.66,993.66,993.66,993.66,0
2005-04-26,991.71,991.71,991.71,991.71,0
2005-04-27,982.36,982.36,982.36,982.36,0
2005-04-28,978.98,978.98,978.98,978.98,0
2005-04-29,967.61,967.61,967.61,967.61,0
2005-05-02,973.78,973.78,973.78,973.78,0
2005-05-03,974.64,974.64,974.64,974.64,0
2005-05-04,979.37,979.37,979.37,979.37,0
2005-05-05,986.78,986.78,986.78,986.78,0
2005-05-06,995.61,995.61,995.61,995.61,0
2005-05-09,1007.92,1007.92,1007.92,1007.92,0
2005-05-10,1002.1,1002.1,1002.1,1002.1,0
2005-05-11,1000.68,1000.68,1000.68,1000.68,0
2005-05-12,1006.88,1006.88,1006.88,1006.88,0
2005-05-13,1006.76,1006.76,1006.76,1006.76,0
2005-05-16,1018.35,1018.35,1018.35,1018.35,0
2005-05-17,1011.37,1011.37,1011.37,1011.37,0
2005-05-18,1008.09,1008.09,1008.09,1008.09,0
2005-05-19,1011.41,1011.41,1011.41,1011.41,0
2005-05-20,1011.88,1011.88,1011.88,1011.88,0
2005-05-23,1019.2,1019.2,1019.2,1019.2,0
2005-05-24,1025.23,1025.23,1025.23,1025.23,0
2005-05-25,1027.16,1027.16,1027.16,1027.16,0
