date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1018.12,1018.12,1018.12,1018.12,0
2005-04-05,1006.81,1006.81,1006.81,1006.81,0
2005-04-06,1013.61,1013.61,1013.61,1013.61,0
2005-04-07,1007.72,1007.72,1007.72,1007.72,0
2005-04-08,997.46,997.46,997.46,997.46,0
2005-04-11,982.72,982.72,982.72,982.72,0
2005-04-12,998.97,998.97,998.97,998.97,0
2005-04-13,1000.59,1000.59,1000.59,1000.59,0
2005-04-15,966.63,966.63,966.63,966.63,0
2005-04-18,958.71,958.71,958.71,958.71,0
2005-04-19,937.05,937.05,937.05,937.05,0
2005-04-20,932.43,932.43,932.43,932.43,0
2005-04-21,937.31,937.31,937.31,937.31,0
2005-04-22,952.37,952.37,952.37,952.37,0
2005-04-25,954.4,954.4,954.4,954.4,0
2005-04-26,953.73,953.73,953.73,953.73,0
2005-04-27,936.8,936.8,936.8,936.8,0
2005-04-28,919.27,919.27,919.27,919.27,0
2005-04-29,905.69,905.69,905.69,905.69,0
2005-05-02,906.58,906.58,906.58,906.58,0
2005-05-03,913.38,913.38,913.38,913.38,0
2005-05-04,919.96,919.96,919.96,919.96,0
2005-05-05,935.38,935.38,935.38,935.38,0
2005-05-06,943.27,943.27,943.27,943.27,0
2005-05-09,951.68,951.68,951.68,951.68,0
2005-05-10,954.68,954.68,954.68,954.68,0
2005-05-11,955.82,955.82,955.82,955.82,0
2005-05-12,960.52,960.52,960.52,960.52,0
2005-05-13,969.39,969.39,969.39,969.39,0
2005-05-16,983.87,983.87,983.87,983.87,0
2005-05-17,974.1,974.1,974.1,974.1,0
2005-05-18,976.98,976.98,976.98,976.98,0
2005-05-19,985.25,985.25,985.25,985.25,0
2005-05-20,983.02,983.02,983.02,983.02,0
2005-05-23,990.26,990.26,990.26,990.26,0
2005-05-24,985.53,985.53,985.53,985.53,0
2005-05-25,985.84,985.84,985.84,985.84,0
2005-05-26,981.32,981.32,981.32,981.32,0
2005-05-27,977.35,977.35,977.35,977.35,0
2005-05-30,969.72,969.72,969.72,969.72,0
2005-05-31,978.49,978.49,978.49,978.49,0
2005-06-01,982.13,982.13,982.13,982.13,0
2005-06-02,974.37,974.37,974.37,974.37,0
2005-06-03,985.19,985.19,985.19,985.19,0
2005-06-04,1003.95,1003.95,1003.95,1003.95,0
2005-06-06,1002.02,1002.02,1002.02,1002.02,0
2005-06-07,1005.47,1005.47,1005.47,1005.47,0
2005-06-08,1019.71,1019.71,1019.71,1019.71,0
2005-06-09,1030.38,1030.38,1030.38,1030.38,0
2005-06-10,1027.76,1027.76,1027.76,1027.76,0
2005-06-13,1042.47,1042.47,1042.47,1042.47,0
2005-06-14,1044.89,1044.89,1044.89,1044.89,0
2005-06-15,1042.6,1042.6,1042.6,1042.6,0
2005-06-16,1026.74,1026.74,1026.74,1026.74,0
2005-06-17,1015.61,1015.61,1015.61,1015.61,0
2005-06-20,1017.01,1017.01,1017.01,1017.01,0
2005-06-21,1027.01,1027.01,1027.01,1027.01,0
2005-06-22,1033.93,1033.93,1033.93,1033.93,0
2005-06-23,1035.45,1035.45,1035.45,1035.45,0
2005-06-24,1040.1,1040.1,1040.1,1040.1,0
2005-06-27,1039.75,1039.75,1039.75,1039.75,0
2005-06-28,1012.03,1012.03,1012.03,1012.03,0
2005-06-29,1019.14,1019.14,1019.14,1019.14,0
2005-06-30,1016.96,1016.96,1016.96,1016.96,0
2005-07-01,1034.98,1034.98,1034.98,1034.98,0
2005-07-04,1042.64,1042.64,1042.64,1042.64,0
2005-07-05,1030.6,1030.6,1030.6,1030.6,0
2005-07-06,1038.82,1038.82,1038.82,1038.82,0
2005-07-07,1031.99,1031.99,1031.99,1031.99,0
2005-07-08,1046.26,1046.26,1046.26,1046.26,0
2005-07-11,1050.4,1050.4,1050.4,1050.4,0
2005-07-12,1045.34,1045.34,1045.34,1045.34,0
2005-07-13,1049.36,1049.36,1049.36,1049.36,0
2005-07-14,1028.98,1028.98,1028.98,1028.98,0
2005-07-15,1030.8,1030.8,1030.8,1030.8,0
2005-07-18,1043.44,1043.44,1043.44,1043.44,0
2005-07-19,1042.53,1042.53,1042.53,1042.53,0
2005-07-20,1047.16,1047.16,1047.16,1047.16,0
2005-07-21,1046.57,1046.57,1046.57,1046.57,0
2005-07-22,1043.79,1043.79,1043.79,1043.79,0
2005-07-25,1029.49,1029.49,1029.49,1029.49,0
2005-07-26,1033.85,1033.85,1033.85,1033.85,0
2005-07-27,1027.76,1027.76,1027.76,1027.76,0
2005-07-29,1005.14,1005.14,1005.14,1005.14,0
2005-08-01,1002.58,1002.58,1002.58,1002.58,0
2005-08-02,1017.88,1017.88,1017.88,1017.88,0
2005-08-03,1025.14,1025.14,1025.14,1025.14,0
2005-08-04,1030.77,1030.77,1030.77,1030.77,0
2005-08-05,1032.61,1032.61,1032.61,1032.61,0
2005-08-08,1023.17,1023.17,1023.17,1023.17,0
2005-08-09,1030.71,1030.71,1030.71,1030.71,0
2005-08-10,1057.45,1057.45,1057.45,1057.45,0
2005-08-11,1079.37,1079.37,1079.37,1079.37,0
2005-08-12,1073.67,1073.67,1073.67,1073.67,0
2005-08-16,1083.98,1083.98,1083.98,1083.98,0
2005-08-17,1090.09,1090.09,1090.09,1090.09,0
2005-08-18,1086.94,1086.94,1086.94,1086.94,0
2005-08-19,1101.33,1101.33,1101.33,1101.33,0
2005-08-22,1092.47,1092.47,1092.47,1092.47,0
2005-08-23,1063.95,1063.95,1063.95,1063.95,0
2005-08-24,1051.36,1051.36,1051.36,1051.36,0
2005-08-25,1071.58,1071.58,1071.58,1071.58,0
2005-08-26,1089.94,1089.94,1089.94,1089.94,0
2005-08-29,1116.2,1116.2,1116.2,1116.2,0
2005-08-30,1131.13,1131.13,1131.13,1131.13,0
2005-08-31,1160.8,1160.8,1160.8,1160.8,0
2005-09-01,1176.2,1176.2,1176.2,1176.2,0
2005-09-02,1170.28,1170.28,1170.28,1170.28,0
2005-09-05,1159.27,1159.27,1159.27,1159.27,0
2005-09-06,1157.32,1157.32,1157.32,1157.32,0
2005-09-08,1177.44,1177.44,1177.44,1177.44,0
2005-09-09,1165.61,1165.61,1165.61,1165.61,0
2005-09-12,1182.36,1182.36,1182.36,1182.36,0
2005-09-13,1191.52,1191.52,1191.52,1191.52,0
2005-09-14,1180.43,1180.43,1180.43,1180.43,0
2005-09-15,1213.37,1213.37,1213.37,1213.37,0
2005-09-16,1223.22,1223.22,1223.22,1223.22,0
2005-09-19,1214.97,1214.97,1214.97,1214.97,0
2005-09-20,1214.13,1214.13,1214.13,1214.13,0
2005-09-21,1170.37,1170.37,1170.37,1170.37,0
2005-09-22,1071.2,1071.2,1071.2,1071.2,0
2005-09-23,1087.5,1087.5,1087.5,1087.5,0
2005-09-26,1126.21,1126.21,1126.21,1126.21,0
2005-09-27,1136.21,1136.21,1136.21,1136.21,0
2005-09-28,1139.96,1139.96,1139.96,1139.96,0
2005-09-29,1122.1,1122.1,1122.1,1122.1,0
2005-09-30,1117.1,1117.1,1117.1,1117.1,0
2005-10-03,1142.93,1142.93,1142.93,1142.93,0
2005-10-04,1163.35,1163.35,1163.35,1163.35,0
2005-10-05,1157.39,1157.39,1157.39,1157.39,0
2005-10-06,1135.0,1135.0,1135.0,1135.0,0
2005-10-07,1139.46,1139.46,1139.46,1139.46,0
2005-10-10,1144.19,1144.19,1144.19,1144.19,0
2005-10-11,1134.45,1134.45,1134.45,1134.45,0
2005-10-13,1114.21,1114.21,1114.21,1114.21,0
2005-10-14,1078.42,1078.42,1078.42,1078.42,0
2005-10-17,1068.03,1068.03,1068.03,1068.03,0
2005-10-18,1061.29,1061.29,1061.29,1061.29,0
2005-10-19,1026.23,1026.23,1026.23,1026.23,0
2005-10-20,1012.45,1012.45,1012.45,1012.45,0
2005-10-21,1023.29,1023.29,1023.29,1023.29,0
2005-10-24,1008.91,1008.91,1008.91,1008.91,0
2005-10-25,1006.27,1006.27,1006.27,1006.27,0
2005-10-26,1005.32,1005.32,1005.32,1005.32,0
2005-10-27,985.95,985.95,985.95,985.95,0
2005-10-28,964.19,964.19,964.19,964.19,0
2005-10-31,986.83,986.83,986.83,986.83,0
2005-11-01,998.76,998.76,998.76,998.76,0
2005-11-02,1014.36,1014.36,1014.36,1014.36,0
2005-11-07,1032.91,1032.91,1032.91,1032.91,0
2005-11-08,1041.94,1041.94,1041.94,1041.94,0
2005-11-09,1055.81,1055.81,1055.81,1055.81,0
2005-11-10,1066.65,1066.65,1066.65,1066.65,0
2005-11-11,1087.89,1087.89,1087.89,1087.89,0
2005-11-14,1092.44,1092.44,1092.44,1092.44,0
2005-11-16,1096.2,1096.2,1096.2,1096.2,0
2005-11-17,1087.52,1087.52,1087.52,1087.52,0
2005-11-18,1088.79,1088.79,1088.79,1088.79,0
2005-11-21,1070.89,1070.89,1070.89,1070.89,0
2005-11-22,1061.07,1061.07,1061.07,1061.07,0
2005-11-23,1065.93,1065.93,1065.93,1065.93,0
2005-11-24,1077.37,1077.37,1077.37,1077.37,0
2005-11-25,1095.05,1095.05,1095.05,1095.05,0
2005-11-26,1097.58,1097.58,1097.58,1097.58,0
2005-11-28,1097.69,1097.69,1097.69,1097.69,0
2005-11-29,1100.28,1100.28,1100.28,1100.28,0
2005-11-30,1086.78,1086.78,1086.78,1086.78,0
2005-12-01,1094.62,1094.62,1094.62,1094.62,0
2005-12-02,1101.14,1101.14,1101.14,1101.14,0
2005-12-05,1101.55,1101.55,1101.55,1101.55,0
2005-12-06,1108.61,1108.61,1108.61,1108.61,0
2005-12-07,1113.68,1113.68,1113.68,1113.68,0
2005-12-08,1128.63,1128.63,1128.63,1128.63,0
2005-12-09,1156.1,1156.1,1156.1,1156.1,0
2005-12-12,1153.72,1153.72,1153.72,1153.72,0
2005-12-13,1146.61,1146.61,1146.61,1146.61,0
2005-12-14,1135.47,1135.47,1135.47,1135.47,0
2005-12-15,1130.23,1130.23,1130.23,1130.23,0
2005-12-16,1150.58,1150.58,1150.58,1150.58,0
2005-12-19,1159.84,1159.84,1159.84,1159.84,0
2005-12-20,1150.78,1150.78,1150.78,1150.78,0
2005-12-21,1146.05,1146.05,1146.05,1146.05,0
2005-12-22,1148.78,1148.78,1148.78,1148.78,0
2005-12-23,1133.64,1133.64,1133.64,1133.64,0
2005-12-26,1095.7,1095.7,1095.7,1095.7,0
2005-12-27,1119.36,1119.36,1119.36,1119.36,0
2005-12-28,1118.23,1118.23,1118.23,1118.23,0
2005-12-29,1127.5,1127.5,1127.5,1127.5,0
2005-12-30,1145.08,1145.08,1145.08,1145.08,0
2006-01-02,1150.79,1150.79,1150.79,1150.79,0
2006-01-03,1157.62,1157.62,1157.62,1157.62,0
2006-01-04,1179.54,1179.54,1179.54,1179.54,0
2006-01-05,1183.38,1183.38,1183.38,1183.38,0
2006-01-06,1188.5,1188.5,1188.5,1188.5,0
2006-01-09,1183.24,1183.24,1183.24,1183.24,0
2006-01-10,1171.72,1171.72,1171.72,1171.72,0
2006-01-12,1165.1,1165.1,1165.1,1165.1,0
2006-01-13,1167.37,1167.37,1167.37,1167.37,0
2006-01-16,1151.15,1151.15,1151.15,1151.15,0
2006-01-17,1137.08,1137.08,1137.08,1137.08,0
2006-01-18,1128.96,1128.96,1128.96,1128.96,0
2006-01-19,1159.6,1159.6,1159.6,1159.6,0
2006-01-20,1178.67,1178.67,1178.67,1178.67,0
2006-01-23,1167.28,1167.28,1167.28,1167.28,0
2006-01-24,1180.54,1180.54,1180.54,1180.54,0
2006-01-25,1168.66,1168.66,1168.66,1168.66,0
2006-01-27,1165.64,1165.64,1165.64,1165.64,0
2006-01-30,1152.58,1152.58,1152.58,1152.58,0
2006-01-31,1145.0,1145.0,1145.0,1145.0,0
2006-02-01,1130.52,1130.52,1130.52,1130.52,0
2006-02-02,1132.72,1132.72,1132.72,1132.72,0
2006-02-03,1143.12,1143.12,1143.12,1143.12,0
2006-02-06,1154.46,1154.46,1154.46,1154.46,0
2006-02-07,1149.84,1149.84,1149.84,1149.84,0
2006-02-08,1151.85,1151.85,1151.85,1151.85,0
2006-02-10,1160.17,1160.17,1160.17,1160.17,0
2006-02-13,1167.78,1167.78,1167.78,1167.78,0
2006-02-14,1156.67,1156.67,1156.67,1156.67,0
2006-02-15,1151.04,1151.04,1151.04,1151.04,0
2006-02-16,1154.11,1154.11,1154.11,1154.11,0
2006-02-17,1135.02,1135.02,1135.02,1135.02,0
2006-02-20,1128.61,1128.61,1128.61,1128.61,0
2006-02-21,1140.77,1140.77,1140.77,1140.77,0
2006-02-22,1141.04,1141.04,1141.04,1141.04,0
2006-02-23,1137.93,1137.93,1137.93,1137.93,0
2006-02-24,1143.64,1143.64,1143.64,1143.64,0
2006-02-27,1145.6,1145.6,1145.6,1145.6,0
2006-02-28,1147.06,1147.06,1147.06,1147.06,0
2006-03-01,1168.06,1168.06,1168.06,1168.06,0
2006-03-02,1162.36,1162.36,1162.36,1162.36,0
2006-03-03,1167.08,1167.08,1167.08,1167.08,0
2006-03-06,1179.42,1179.42,1179.42,1179.42,0
2006-03-07,1172.62,1172.62,1172.62,1172.62,0
2006-03-08,1165.72,1165.72,1165.72,1165.72,0
2006-03-09,1162.73,1162.73,1162.73,1162.73,0
2006-03-10,1176.94,1176.94,1176.94,1176.94,0
2006-03-13,1191.87,1191.87,1191.87,1191.87,0
2006-03-14,1185.95,1185.95,1185.95,1185.95,0
2006-03-16,1200.0,1200.0,1200.0,1200.0,0
2006-03-17,1201.23,1201.23,1201.23,1201.23,0
2006-03-20,1213.0,1213.0,1213.0,1213.0,0
