date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1010.84,1010.84,1010.84,1010.84,0
2005-04-05,1005.53,1005.53,1005.53,1005.53,0
2005-04-06,1016.49,1016.49,1016.49,1016.49,0
2005-04-07,1012.78,1012.78,1012.78,1012.78,0
2005-04-08,1005.5,1005.5,1005.5,1005.5,0
2005-04-11,996.37,996.37,996.37,996.37,0
2005-04-12,1005.11,1005.11,1005.11,1005.11,0
2005-04-13,1004.38,1004.38,1004.38,1004.38,0
2005-04-15,981.33,981.33,981.33,981.33,0
2005-04-18,971.78,971.78,971.78,971.78,0
2005-04-19,973.61,973.61,973.61,973.61,0
2005-04-20,988.67,988.67,988.67,988.67,0
2005-04-21,1004.22,1004.22,1004.22,1004.22,0
2005-04-22,1013.04,1013.04,1013.04,1013.04,0
2005-04-25,1020.72,1020.72,1020.72,1020.72,0
2005-04-26,1021.46,1021.46,1021.46,1021.46,0
2005-04-27,1011.38,1011.38,1011.38,1011.38,0
2005-04-28,1012.65,1012.65,1012.65,1012.65,0
2005-04-29,993.26,993.26,993.26,993.26,0
2005-05-02,997.57,997.57,997.57,997.57,0
2005-05-03,1001.69,1001.69,1001.69,1001.69,0
2005-05-04,1014.22,1014.22,1014.22,1014.22,0
2005-05-05,1022.96,1022.96,1022.96,1022.96,0
2005-05-06,1032.08,1032.08,1032.08,1032.08,0
2005-05-09,1045.11,1045.11,1045.11,1045.11,0
2005-05-10,1043.01,1043.01,1043.01,1043.01,0
2005-05-11,1042.46,1042.46,1042.46,1042.46,0
2005-05-12,1053.7,1053.7,1053.7,1053.7,0
2005-05-13,1058.49,1058.49,1058.49,1058.49,0
2005-05-16,1069.25,1069.25,1069.25,1069.25,0
2005-05-17,1057.24,1057.24,1057.24,1057.24,0
2005-05-18,1056.64,1056.64,1056.64,1056.64,0
2005-05-19,1058.1,1058.1,1058.1,1058.1,0
2005-05-20,1056.18,1056.18,1056.18,1056.18,0
2005-05-23,1064.54,1064.54,1064.54,1064.54,0
2005-05-24,1067.92,1067.92,1067.92,1067.92,0
2005-05-25,1072.14,1072.14,1072.14,1072.14,0
2005-05-26,1077.62,1077.62,1077.62,1077.62,0
2005-05-27,1073.37,1073.37,1073.37,1073.37,0
2005-05-30,1067.13,1067.13,1067.13,1067.13,0
2005-05-31,1071.29,1071.29,1071.29,1071.29,0
2005-06-01,1077.44,1077.44,1077.44,1077.44,0
2005-06-02,1067.62,1067.62,1067.62,1067.62,0
2005-06-03,1076.91,1076.91,1076.91,1076.91,0
2005-06-04,1077.77,1077.77,1077.77,1077.77,0
2005-06-06,1079.38,1079.38,1079.38,1079.38,0
2005-06-07,1083.09,1083.09,1083.09,1083.09,0
2005-06-08,1088.73,1088.73,1088.73,1088.73,0
2005-06-09,1089.83,1089.83,1089.83,1089.83,0
2005-06-10,1084.61,1084.61,1084.61,1084.61,0
2005-06-13,1085.1,1085.1,1085.1,1085.1,0
2005-06-14,1089.08,1089.08,1089.08,1089.08,0
2005-06-15,1096.73,1096.73,1096.73,1096.73,0
2005-06-16,1089.08,1089.08,1089.08,1089.08,0
2005-06-17,1082.34,1082.34,1082.34,1082.34,0
2005-06-20,1082.61,1082.61,1082.61,1082.61,0
2005-06-21,1090.35,1090.35,1090.35,1090.35,0
2005-06-22,1092.21,1092.21,1092.21,1092.21,0
2005-06-23,1094.31,1094.31,1094.31,1094.31,0
2005-06-24,1098.78,1098.78,1098.78,1098.78,0
2005-06-27,1097.97,1097.97,1097.97,1097.97,0
2005-06-28,1079.78,1079.78,1079.78,1079.78,0
2005-06-29,1087.26,1087.26,1087.26,1087.26,0
2005-06-30,1096.18,1096.18,1096.18,1096.18,0
2005-07-01,1099.27,1099.27,1099.27,1099.27,0
2005-07-04,1111.7,1111.7,1111.7,1111.7,0
2005-07-05,1106.48,1106.48,1106.48,1106.48,0
2005-07-06,1120.28,1120.28,1120.28,1120.28,0
2005-07-07,1098.0,1098.0,1098.0,1098.0,0
2005-07-08,1107.94,1107.94,1107.94,1107.94,0
2005-07-11,1124.49,1124.49,1124.49,1124.49,0
2005-07-12,1133.22,1133.22,1133.22,1133.22,0
2005-07-13,1135.06,1135.06,1135.06,1135.06,0
2005-07-14,1135.18,1135.18,1135.18,1135.18,0
2005-07-15,1151.63,1151.63,1151.63,1151.63,0
2005-07-18,1169.42,1169.42,1169.42,1169.42,0
2005-07-19,1180.75,1180.75,1180.75,1180.75,0
2005-07-20,1188.86,1188.86,1188.86,1188.86,0
2005-07-21,1183.39,1183.39,1183.39,1183.39,0
2005-07-22,1200.83,1200.83,1200.83,1200.83,0
2005-07-25,1209.3,1209.3,1209.3,1209.3,0
2005-07-26,1205.69,1205.69,1205.69,1205.69,0
2005-07-27,1207.04,1207.04,1207.04,1207.04,0
2005-07-29,1195.75,1195.75,1195.75,1195.75,0
2005-08-01,1201.85,1201.85,1201.85,1201.85,0
2005-08-02,1232.43,1232.43,1232.43,1232.43,0
2005-08-03,1228.09,1228.09,1228.09,1228.09,0
2005-08-04,1239.68,1239.68,1239.68,1239.68,0
2005-08-05,1246.23,1246.23,1246.23,1246.23,0
2005-08-08,1228.32,1228.32,1228.32,1228.32,0
2005-08-09,1228.45,1228.45,1228.45,1228.45,0
2005-08-10,1253.44,1253.44,1253.44,1253.44,0
2005-08-11,1268.07,1268.07,1268.07,1268.07,0
2005-08-12,1267.2,1267.2,1267.2,1267.2,0
2005-08-16,1276.0,1276.0,1276.0,1276.0,0
2005-08-17,1291.97,1291.97,1291.97,1291.97,0
2005-08-18,1283.46,1283.46,1283.46,1283.46,0
2005-08-19,1288.53,1288.53,1288.53,1288.53,0
2005-08-22,1283.61,1283.61,1283.61,1283.61,0
2005-08-23,1258.01,1258.01,1258.01,1258.01,0
2005-08-24,1251.06,1251.06,1251.06,1251.06,0
2005-08-25,1265.38,1265.38,1265.38,1265.38,0
2005-08-26,1274.66,1274.66,1274.66,1274.66,0
2005-08-29,1272.75,1272.75,1272.75,1272.75,0
2005-08-30,1280.13,1280.13,1280.13,1280.13,0
2005-08-31,1293.31,1293.31,1293.31,1293.31,0
2005-09-01,1308.28,1308.28,1308.28,1308.28,0
2005-09-02,1310.8,1310.8,1310.8,1310.8,0
2005-09-05,1317.61,1317.61,1317.61,1317.61,0
2005-09-06,1319.56,1319.56,1319.56,1319.56,0
2005-09-08,1330.02,1330.02,1330.02,1330.02,0
2005-09-09,1324.57,1324.57,1324.57,1324.57,0
2005-09-12,1341.96,1341.96,1341.96,1341.96,0
2005-09-13,1354.24,1354.24,1354.24,1354.24,0
2005-09-14,1343.31,1343.31,1343.31,1343.31,0
2005-09-15,1356.75,1356.75,1356.75,1356.75,0
2005-09-16,1366.66,1366.66,1366.66,1366.66,0
2005-09-19,1383.02,1383.02,1383.02,1383.02,0
2005-09-20,1384.44,1384.44,1384.44,1384.44,0
2005-09-21,1359.84,1359.84,1359.84,1359.84,0
2005-09-22,1299.54,1299.54,1299.54,1299.54,0
2005-09-23,1310.5,1310.5,1310.5,1310.5,0
2005-09-26,1352.53,1352.53,1352.53,1352.53,0
2005-09-27,1364.89,1364.89,1364.89,1364.89,0
2005-09-28,1383.98,1383.98,1383.98,1383.98,0
2005-09-29,1388.44,1388.44,1388.44,1388.44,0
2005-09-30,1381.59,1381.59,1381.59,1381.59,0
2005-10-03,1400.06,1400.06,1400.06,1400.06,0
2005-10-04,1416.85,1416.85,1416.85,1416.85,0
2005-10-05,1413.14,1413.14,1413.14,1413.14,0
2005-10-06,1387.73,1387.73,1387.73,1387.73,0
2005-10-07,1386.12,1386.12,1386.12,1386.12,0
2005-10-10,1380.31,1380.31,1380.31,1380.31,0
2005-10-11,1379.93,1379.93,1379.93,1379.93,0
2005-10-13,1359.11,1359.11,1359.11,1359.11,0
2005-10-14,1322.13,1322.13,1322.13,1322.13,0
2005-10-17,1311.15,1311.15,1311.15,1311.15,0
2005-10-18,1306.33,1306.33,1306.33,1306.33,0
2005-10-19,1270.23,1270.23,1270.23,1270.23,0
2005-10-20,1254.95,1254.95,1254.95,1254.95,0
2005-10-21,1282.64,1282.64,1282.64,1282.64,0
2005-10-24,1268.05,1268.05,1268.05,1268.05,0
2005-10-25,1275.38,1275.38,1275.38,1275.38,0
2005-10-26,1274.08,1274.08,1274.08,1274.08,0
2005-10-27,1245.07,1245.07,1245.07,1245.07,0
2005-10-28,1234.0,1234.0,1234.0,1234.0,0
2005-10-31,1252.24,1252.24,1252.24,1252.24,0
2005-11-01,1263.87,1263.87,1263.87,1263.87,0
2005-11-02,1275.68,1275.68,1275.68,1275.68,0
2005-11-07,1304.08,1304.08,1304.08,1304.08,0
2005-11-08,1321.17,1321.17,1321.17,1321.17,0
2005-11-09,1320.56,1320.56,1320.56,1320.56,0
2005-11-10,1326.4,1326.4,1326.4,1326.4,0
2005-11-11,1351.28,1351.28,1351.28,1351.28,0
2005-11-14,1357.31,1357.31,1357.31,1357.31,0
2005-11-16,1369.63,1369.63,1369.63,1369.63,0
2005-11-17,1374.56,1374.56,1374.56,1374.56,0
2005-11-18,1384.93,1384.93,1384.93,1384.93,0
2005-11-21,1382.48,1382.48,1382.48,1382.48,0
2005-11-22,1368.4,1368.4,1368.4,1368.4,0
2005-11-23,1377.57,1377.57,1377.57,1377.57,0
2005-11-24,1390.07,1390.07,1390.07,1390.07,0
2005-11-25,1400.4,1400.4,1400.4,1400.4,0
2005-11-26,1420.38,1420.38,1420.38,1420.38,0
2005-11-28,1431.65,1431.65,1431.65,1431.65,0
2005-11-29,1421.44,1421.44,1421.44,1421.44,0
2005-11-30,1409.27,1409.27,1409.27,1409.27,0
2005-12-01,1430.38,1430.38,1430.38,1430.38,0
2005-12-02,1431.59,1431.59,1431.59,1431.59,0
2005-12-05,1419.1,1419.1,1419.1,1419.1,0
2005-12-06,1419.21,1419.21,1419.21,1419.21,0
2005-12-07,1430.72,1430.72,1430.72,1430.72,0
2005-12-08,1439.36,1439.36,1439.36,1439.36,0
2005-12-09,1463.41,1463.41,1463.41,1463.41,0
2005-12-12,1465.81,1465.81,1465.81,1465.81,0
2005-12-13,1476.98,1476.98,1476.98,1476.98,0
2005-12-14,1460.73,1460.73,1460.73,1460.73,0
2005-12-15,1446.94,1446.94,1446.94,1446.94,0
2005-12-16,1453.01,1453.01,1453.01,1453.01,0
2005-12-19,1466.59,1466.59,1466.59,1466.59,0
2005-12-20,1463.42,1463.42,1463.42,1463.42,0
2005-12-21,1464.27,1464.27,1464.27,1464.27,0
2005-12-22,1466.54,1466.54,1466.54,1466.54,0
2005-12-23,1450.25,1450.25,1450.25,1450.25,0
2005-12-26,1418.08,1418.08,1418.08,1418.08,0
2005-12-27,1450.36,1450.36,1450.36,1450.36,0
2005-12-28,1451.13,1451.13,1451.13,1451.13,0
2005-12-29,1468.79,1468.79,1468.79,1468.79,0
2005-12-30,1476.08,1476.08,1476.08,1476.08,0
2006-01-02,1488.78,1488.78,1488.78,1488.78,0
2006-01-03,1514.65,1514.65,1514.65,1514.65,0
2006-01-04,1519.16,1519.16,1519.16,1519.16,0
2006-01-05,1522.88,1522.88,1522.88,1522.88,0
2006-01-06,1535.45,1535.45,1535.45,1535.45,0
2006-01-09,1547.63,1547.63,1547.63,1547.63,0
2006-01-10,1534.06,1534.06,1534.06,1534.06,0
2006-01-12,1531.41,1531.41,1531.41,1531.41,0
2006-01-13,1538.9,1538.9,1538.9,1538.9,0
2006-01-16,1533.34,1533.34,1533.34,1533.34,0
2006-01-17,1527.86,1527.86,1527.86,1527.86,0
2006-01-18,1512.7,1512.7,1512.7,1512.7,0
2006-01-19,1544.14,1544.14,1544.14,1544.14,0
2006-01-20,1566.69,1566.69,1566.69,1566.69,0
2006-01-23,1569.19,1569.19,1569.19,1569.19,0
2006-01-24,1573.97,1573.97,1573.97,1573.97,0
2006-01-25,1581.35,1581.35,1581.35,1581.35,0
2006-01-27,1597.45,1597.45,1597.45,1597.45,0
2006-01-30,1584.4,1584.4,1584.4,1584.4,0
2006-01-31,1591.88,1591.88,1591.88,1591.88,0
2006-02-01,1575.18,1575.18,1575.18,1575.18,0
2006-02-02,1576.99,1576.99,1576.99,1576.99,0
2006-02-03,1572.24,1572.24,1572.24,1572.24,0
2006-02-06,1593.54,1593.54,1593.54,1593.54,0
2006-02-07,1592.79,1592.79,1592.79,1592.79,0
2006-02-08,1592.75,1592.75,1592.75,1592.75,0
2006-02-10,1605.87,1605.87,1605.87,1605.87,0
2006-02-13,1620.95,1620.95,1620.95,1620.95,0
2006-02-14,1615.2,1615.2,1615.2,1615.2,0
2006-02-15,1606.84,1606.84,1606.84,1606.84,0
2006-02-16,1609.52,1609.52,1609.52,1609.52,0
2006-02-17,1584.92,1584.92,1584.92,1584.92,0
2006-02-20,1579.06,1579.06,1579.06,1579.06,0
2006-02-21,1595.22,1595.22,1595.22,1595.22,0
2006-02-22,1601.72,1601.72,1601.72,1601.72,0
2006-02-23,1596.78,1596.78,1596.78,1596.78,0
2006-02-24,1597.57,1597.57,1597.57,1597.57,0
2006-02-27,1607.42,1607.42,1607.42,1607.42,0
2006-02-28,1608.81,1608.81,1608.81,1608.81,0
2006-03-01,1641.04,1641.04,1641.04,1641.04,0
2006-03-02,1662.66,1662.66,1662.66,1662.66,0
