date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,995.56,995.56,995.56,995.56,0
2005-04-05,983.82,983.82,983.82,983.82,0
2005-04-06,994.62,994.62,994.62,994.62,0
2005-04-07,993.04,993.04,993.04,993.04,0
2005-04-08,989.47,989.47,989.47,989.47,0
2005-04-11,982.78,982.78,982.78,982.78,0
2005-04-12,988.96,988.96,988.96,988.96,0
2005-04-13,985.75,985.75,985.75,985.75,0
2005-04-15,957.49,957.49,957.49,957.49,0
2005-04-18,944.52,944.52,944.52,944.52,0
2005-04-19,939.9,939.9,939.9,939.9,0
2005-04-20,952.82,952.82,952.82,952.82,0
2005-04-21,965.8,965.8,965.8,965.8,0
2005-04-22,972.73,972.73,972.73,972.73,0
2005-04-25,975.88,975.88,975.88,975.88,0
2005-04-26,972.59,972.59,972.59,972.59,0
2005-04-27,962.46,962.46,962.46,962.46,0
2005-04-28,961.21,961.21,961.21,961.21,0
2005-04-29,945.23,945.23,945.23,945.23,0
2005-05-02,944.31,944.31,944.31,944.31,0
2005-05-03,948.49,948.49,948.49,948.49,0
2005-05-04,958.41,958.41,958.41,958.41,0
2005-05-05,969.73,969.73,969.73,969.73,0
2005-05-06,972.87,972.87,972.87,972.87,0
2005-05-09,987.18,987.18,987.18,987.18,0
2005-05-10,982.56,982.56,982.56,982.56,0
2005-05-11,980.58,980.58,980.58,980.58,0
2005-05-12,988.33,988.33,988.33,988.33,0
2005-05-13,992.26,992.26,992.26,992.26,0
2005-05-16,1003.45,1003.45,1003.45,1003.45,0
2005-05-17,991.83,991.83,991.83,991.83,0
2005-05-18,990.91,990.91,990.91,990.91,0
2005-05-19,994.43,994.43,994.43,994.43,0
2005-05-20,994.29,994.29,994.29,994.29,0
2005-05-23,999.19,999.19,999.19,999.19,0
2005-05-24,1009.63,1009.63,1009.63,1009.63,0
2005-05-25,1016.86,1016.86,1016.86,1016.86,0
2005-05-26,1022.33,1022.33,1022.33,1022.33,0
2005-05-27,1019.05,1019.05,1019.05,1019.05,0
2005-05-30,1014.12,1014.12,1014.12,1014.12,0
2005-05-31,1017.68,1017.68,1017.68,1017.68,0
2005-06-01,1016.11,1016.11,1016.11,1016.11,0
2005-06-02,1004.68,1004.68,1004.68,1004.68,0
2005-06-03,1012.76,1012.76,1012.76,1012.76,0
2005-06-04,1016.45,1016.45,1016.45,1016.45,0
2005-06-06,1017.55,1017.55,1017.55,1017.55,0
2005-06-07,1019.2,1019.2,1019.2,1019.2,0
2005-06-08,1021.2,1021.2,1021.2,1021.2,0
2005-06-09,1022.32,1022.32,1022.32,1022.32,0
2005-06-10,1014.92,1014.92,1014.92,1014.92,0
2005-06-13,1013.39,1013.39,1013.39,1013.39,0
2005-06-14,1014.42,1014.42,1014.42,1014.42,0
2005-06-15,1021.47,1021.47,1021.47,1021.47,0
2005-06-16,1012.06,1012.06,1012.06,1012.06,0
2005-06-17,1005.15,1005.15,1005.15,1005.15,0
2005-06-20,1004.55,1004.55,1004.55,1004.55,0
2005-06-21,1009.43,1009.43,1009.43,1009.43,0
2005-06-22,1009.63,1009.63,1009.63,1009.63,0
2005-06-23,1013.02,1013.02,1013.02,1013.02,0
2005-06-24,1018.34,1018.34,1018.34,1018.34,0
2005-06-27,1010.8,1010.8,1010.8,1010.8,0
2005-06-28,992.47,992.47,992.47,992.47,0
2005-06-29,998.54,998.54,998.54,998.54,0
2005-06-30,997.03,997.03,997.03,997.03,0
2005-07-01,1007.6,1007.6,1007.6,1007.6,0
2005-07-04,1020.0,1020.0,1020.0,1020.0,0
2005-07-05,1019.6,1019.6,1019.6,1019.6,0
2005-07-06,1033.75,1033.75,1033.75,1033.75,0
2005-07-07,1023.28,1023.28,1023.28,1023.28,0
2005-07-08,1034.15,1034.15,1034.15,1034.15,0
2005-07-11,1048.16,1048.16,1048.16,1048.16,0
2005-07-12,1055.13,1055.13,1055.13,1055.13,0
2005-07-13,1059.5,1059.5,1059.5,1059.5,0
2005-07-14,1060.24,1060.24,1060.24,1060.24,0
2005-07-15,1072.86,1072.86,1072.86,1072.86,0
2005-07-18,1098.98,1098.98,1098.98,1098.98,0
2005-07-19,1112.86,1112.86,1112.86,1112.86,0
2005-07-20,1116.66,1116.66,1116.66,1116.66,0
2005-07-21,1112.46,1112.46,1112.46,1112.46,0
