date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1002.14,1002.14,1002.14,1002.14,0
2005-04-05,987.79,987.79,987.79,987.79,0
2005-04-06,997.86,997.86,997.86,997.86,0
2005-04-07,996.71,996.71,996.71,996.71,0
2005-04-08,983.87,983.87,983.87,983.87,0
2005-04-11,978.93,978.93,978.93,978.93,0
2005-04-12,989.64,989.64,989.64,989.64,0
2005-04-13,990.52,990.52,990.52,990.52,0
2005-04-15,961.51,961.51,961.51,961.51,0
2005-04-18,948.31,948.31,948.31,948.31,0
2005-04-19,941.71,941.71,941.71,941.71,0
2005-04-20,952.62,952.62,952.62,952.62,0
2005-04-21,967.81,967.81,967.81,967.81,0
2005-04-22,984.51,984.51,984.51,984.51,0
2005-04-25,985.57,985.57,985.57,985.57,0
2005-04-26,985.48,985.48,985.48,985.48,0
2005-04-27,978.1,978.1,978.1,978.1,0
2005-04-28,977.67,977.67,977.67,977.67,0
2005-04-29,960.24,960.24,960.24,960.24,0
2005-05-02,959.5,959.5,959.5,959.5,0
2005-05-03,963.38,963.38,963.38,963.38,0
2005-05-04,975.95,975.95,975.95,975.95,0
2005-05-05,984.31,984.31,984.31,984.31,0
2005-05-06,986.14,986.14,986.14,986.14,0
2005-05-09,999.23,999.23,999.23,999.23,0
2005-05-10,995.77,995.77,995.77,995.77,0
2005-05-11,992.99,992.99,992.99,992.99,0
2005-05-12,996.46,996.46,996.46,996.46,0
2005-05-13,1000.32,1000.32,1000.32,1000.32,0
2005-05-16,1010.64,1010.64,1010.64,1010.64,0
2005-05-17,1003.53,1003.53,1003.53,1003.53,0
2005-05-18,1002.87,1002.87,1002.87,1002.87,0
2005-05-19,1010.99,1010.99,1010.99,1010.99,0
2005-05-20,1006.42,1006.42,1006.42,1006.42,0
2005-05-23,1008.69,1008.69,1008.69,1008.69,0
2005-05-24,1016.03,1016.03,1016.03,1016.03,0
2005-05-25,1019.81,1019.81,1019.81,1019.81,0
2005-05-26,1024.46,1024.46,1024.46,1024.46,0
2005-05-27,1022.08,1022.08,1022.08,1022.08,0
2005-05-30,1015.29,1015.29,1015.29,1015.29,0
2005-05-31,1025.4,1025.4,1025.4,1025.4,0
2005-06-01,1024.06,1024.06,1024.06,1024.06,0
2005-06-02,1013.44,1013.44,1013.44,1013.44,0
2005-06-03,1018.61,1018.61,1018.61,1018.61,0
2005-06-04,1024.03,1024.03,1024.03,1024.03,0
2005-06-06,1021.33,1021.33,1021.33,1021.33,0
2005-06-07,1022.89,1022.89,1022.89,1022.89,0
2005-06-08,1023.31,1023.31,1023.31,1023.31,0
2005-06-09,1022.51,1022.51,1022.51,1022.51,0
2005-06-10,1017.59,1017.59,1017.59,1017.59,0
2005-06-13,1013.63,1013.63,1013.63,1013.63,0
2005-06-14,1021.13,1021.13,1021.13,1021.13,0
