date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,997.71,997.71,997.71,997.71,0
2005-04-05,989.75,989.75,989.75,989.75,0
2005-04-06,1002.34,1002.34,1002.34,1002.34,0
2005-04-07,1005.63,1005.63,1005.63,1005.63,0
2005-04-08,995.98,995.98,995.98,995.98,0
2005-04-11,983.83,983.83,983.83,983.83,0
2005-04-12,988.39,988.39,988.39,988.39,0
2005-04-13,986.84,986.84,986.84,986.84,0
2005-04-15,963.0,963.0,963.0,963.0,0
2005-04-18,963.48,963.48,963.48,963.48,0
2005-04-19,961.81,961.81,961.81,961.81,0
2005-04-20,974.53,974.53,974.53,974.53,0
2005-04-21,987.7,987.7,987.7,987.7,0
2005-04-22,997.02,997.02,997.02,997.02,0
2005-04-25,1008.18,1008.18,1008.18,1008.18,0
2005-04-26,1007.49,1007.49,1007.49,1007.49,0
2005-04-27,999.96,999.96,999.96,999.96,0
2005-04-28,995.2,995.2,995.2,995.2,0
2005-04-29,979.4,979.4,979.4,979.4,0
2005-05-02,987.65,987.65,987.65,987.65,0
2005-05-03,995.03,995.03,995.03,995.03,0
2005-05-04,1006.63,1006.63,1006.63,1006.63,0
2005-05-05,1009.31,1009.31,1009.31,1009.31,0
2005-05-06,1025.49,1025.49,1025.49,1025.49,0
2005-05-09,1040.48,1040.48,1040.48,1040.48,0
2005-05-10,1041.5,1041.5,1041.5,1041.5,0
2005-05-11,1044.02,1044.02,1044.02,1044.02,0
2005-05-12,1058.55,1058.55,1058.55,1058.55,0
2005-05-13,1063.24,1063.24,1063.24,1063.24,0
2005-05-16,1079.99,1079.99,1079.99,1079.99,0
2005-05-17,1064.82,1064.82,1064.82,1064.82,0
2005-05-18,1065.89,1065.89,1065.89,1065.89,0
2005-05-19,1078.55,1078.55,1078.55,1078.55,0
2005-05-20,1073.31,1073.31,1073.31,1073.31,0
2005-05-23,1083.09,1083.09,1083.09,1083.09,0
2005-05-24,1087.4,1087.4,1087.4,1087.4,0
