date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,997.89,997.89,997.89,997.89,0
2005-04-05,984.82,984.82,984.82,984.82,0
2005-04-06,990.55,990.55,990.55,990.55,0
2005-04-07,992.03,992.03,992.03,992.03,0
2005-04-08,988.9,988.9,988.9,988.9,0
2005-04-11,979.7,979.7,979.7,979.7,0
2005-04-12,984.54,984.54,984.54,984.54,0
2005-04-13,987.21,987.21,987.21,987.21,0
2005-04-15,964.46,964.46,964.46,964.46,0
2005-04-18,960.41,960.41,960.41,960.41,0
2005-04-19,960.7,960.7,960.7,960.7,0
2005-04-20,970.26,970.26,970.26,970.26,0
2005-04-21,979.86,979.86,979.86,979.86,0
2005-04-22,982.34,982.34,982.34,982.34,0
2005-04-25,986.32,986.32,986.32,986.32,0
2005-04-26,980.67,980.67,980.67,980.67,0
2005-04-27,972.85,972.85,972.85,972.85,0
2005-04-28,974.41,974.41,974.41,974.41,0
2005-04-29,958.81,958.81,958.81,958.81,0
2005-05-02,960.18,960.18,960.18,960.18,0
2005-05-03,967.97,967.97,967.97,967.97,0
2005-05-04,979.7,979.7,979.7,979.7,0
2005-05-05,986.28,986.28,986.28,986.28,0
2005-05-06,992.96,992.96,992.96,992.96,0
2005-05-09,1006.02,1006.02,1006.02,1006.02,0
2005-05-10,1003.91,1003.91,1003.91,1003.91,0
2005-05-11,1001.66,1001.66,1001.66,1001.66,0
2005-05-12,1007.11,1007.11,1007.11,1007.11,0
2005-05-13,1007.13,1007.13,1007.13,1007.13,0
2005-05-16,1020.3,1020.3,1020.3,1020.3,0
2005-05-17,1010.53,1010.53,1010.53,1010.53,0
2005-05-18,1008.59,1008.59,1008.59,1008.59,0
2005-05-19,1013.46,1013.46,1013.46,1013.46,0
2005-05-20,1012.13,1012.13,1012.13,1012.13,0
2005-05-23,1016.87,1016.87,1016.87,1016.87,0
2005-05-24,1023.48,1023.48,1023.48,1023.48,0
2005-05-25,1029.06,1029.06,1029.06,1029.06,0
2005-05-26,1038.92,1038.92,1038.92,1038.92,0
2005-05-27,1037.52,1037.52,1037.52,1037.52,0
2005-05-30,1029.35,1029.35,1029.35,1029.35,0
2005-05-31,1039.93,1039.93,1039.93,1039.93,0
2005-06-01,1040.08,1040.08,1040.08,1040.08,0
2005-06-02,1030.25,1030.25,1030.25,1030.25,0
2005-06-03,1040.43,1040.43,1040.43,1040.43,0
2005-06-04,1043.08,1043.08,1043.08,1043.08,0
2005-06-06,1049.74,1049.74,1049.74,1049.74,0
2005-06-07,1057.38,1057.38,1057.38,1057.38,0
2005-06-08,1066.16,1066.16,1066.16,1066.16,0
2005-06-09,1067.08,1067.08,1067.08,1067.08,0
2005-06-10,1059.63,1059.63,1059.63,1059.63,0
2005-06-13,1061.45,1061.45,1061.45,1061.45,0
2005-06-14,1063.14,1063.14,1063.14,1063.14,0
2005-06-15,1071.56,1071.56,1071.56,1071.56,0
2005-06-16,1061.33,1061.33,1061.33,1061.33,0
2005-06-17,1054.75,1054.75,1054.75,1054.75,0
2005-06-20,1052.96,1052.96,1052.96,1052.96,0
2005-06-21,1061.05,1061.05,1061.05,1061.05,0
2005-06-22,1069.56,1069.56,1069.56,1069.56,0
2005-06-23,1076.52,1076.52,1076.52,1076.52,0
2005-06-24,1082.4,1082.4,1082.4,1082.4,0
2005-06-27,1084.2,1084.2,1084.2,1084.2,0
2005-06-28,1069.18,1069.18,1069.18,1069.18,0
2005-06-29,1076.49,1076.49,1076.49,1076.49,0
2005-06-30,1085.42,1085.42,1085.42,1085.42,0
2005-07-01,1100.38,1100.38,1100.38,1100.38,0
2005-07-04,1116.07,1116.07,1116.07,1116.07,0
2005-07-05,1108.48,1108.48,1108.48,1108.48,0
2005-07-06,1123.86,1123.86,1123.86,1123.86,0
2005-07-07,1109.03,1109.03,1109.03,1109.03,0
2005-07-08,1125.73,1125.73,1125.73,1125.73,0
2005-07-11,1139.85,1139.85,1139.85,1139.85,0
2005-07-12,1151.99,1151.99,1151.99,1151.99,0
2005-07-13,1156.36,1156.36,1156.36,1156.36,0
2005-07-14,1146.56,1146.56,1146.56,1146.56,0
2005-07-15,1159.62,1159.62,1159.62,1159.62,0
2005-07-18,1171.74,1171.74,1171.74,1171.74,0
2005-07-19,1175.07,1175.07,1175.07,1175.07,0
2005-07-20,1172.12,1172.12,1172.12,1172.12,0
2005-07-21,1162.25,1162.25,1162.25,1162.25,0
2005-07-22,1183.23,1183.23,1183.23,1183.23,0
2005-07-25,1197.14,1197.14,1197.14,1197.14,0
2005-07-26,1206.58,1206.58,1206.58,1206.58,0
2005-07-27,1212.9,1212.9,1212.9,1212.9,0
2005-07-29,1217.08,1217.08,1217.08,1217.08,0
2005-08-01,1224.73,1224.73,1224.73,1224.73,0
2005-08-02,1239.01,1239.01,1239.01,1239.01,0
2005-08-03,1234.73,1234.73,1234.73,1234.73,0
2005-08-04,1241.49,1241.49,1241.49,1241.49,0
2005-08-05,1249.82,1249.82,1249.82,1249.82,0
2005-08-08,1227.31,1227.31,1227.31,1227.31,0
2005-08-09,1220.26,1220.26,1220.26,1220.26,0
2005-08-10,1247.83,1247.83,1247.83,1247.83,0
2005-08-11,1267.41,1267.41,1267.41,1267.41,0
2005-08-12,1263.52,1263.52,1263.52,1263.52,0
2005-08-16,1263.4,1263.4,1263.4,1263.4,0
2005-08-17,1271.58,1271.58,1271.58,1271.58,0
2005-08-18,1268.69,1268.69,1268.69,1268.69,0
2005-08-19,1261.96,1261.96,1261.96,1261.96,0
2005-08-22,1250.84,1250.84,1250.84,1250.84,0
2005-08-23,1230.91,1230.91,1230.91,1230.91,0
2005-08-24,1222.51,1222.51,1222.51,1222.51,0
2005-08-25,1233.01,1233.01,1233.01,1233.01,0
2005-08-26,1242.96,1242.96,1242.96,1242.96,0
2005-08-29,1236.09,1236.09,1236.09,1236.09,0
