date,open,high,low,close,volume
2009-01-01,1000.0,1000.0,1000.0,1000.0,0
2009-01-02,997.73,997.73,997.73,997.73,0
2009-01-05,1021.93,1021.93,1021.93,1021.93,0
2009-01-06,1019.42,1019.42,1019.42,1019.42,0
2009-01-07,953.06,953.06,953.06,953.06,0
2009-01-09,936.96,936.96,936.96,936.96,0
2009-01-12,906.54,906.54,906.54,906.54,0
2009-01-13,904.62,904.62,904.62,904.62,0
2009-01-14,934.53,934.53,934.53,934.53,0
2009-01-15,908.7,908.7,908.7,908.7,0
2009-01-16,937.01,937.01,937.01,937.01,0
2009-01-19,942.2,942.2,942.2,942.2,0
2009-01-20,923.43,923.43,923.43,923.43,0
2009-01-21,895.63,895.63,895.63,895.63,0
2009-01-22,896.52,896.52,896.52,896.52,0
2009-01-23,883.89,883.89,883.89,883.89,0
2009-01-27,915.72,915.72,915.72,915.72,0
2009-01-28,937.48,937.48,937.48,937.48,0
2009-01-29,930.18,930.18,930.18,930.18,0
2009-01-30,946.33,946.33,946.33,946.33,0
2009-02-02,920.35,920.35,920.35,920.35,0
2009-02-03,929.07,929.07,929.07,929.07,0
2009-02-04,935.05,935.05,935.05,935.05,0
2009-02-05,921.75,921.75,921.75,921.75,0
2009-02-06,941.5,941.5,941.5,941.5,0
2009-02-09,967.25,967.25,967.25,967.25,0
2009-02-10,975.61,975.61,975.61,975.61,0
2009-02-11,970.71,970.71,970.71,970.71,0
2009-02-12,956.45,956.45,956.45,956.45,0
2009-02-13,970.89,970.89,970.89,970.89,0
2009-02-16,939.87,939.87,939.87,939.87,0
2009-02-17,917.62,917.62,917.62,917.62,0
2009-02-18,921.08,921.08,921.08,921.08,0
2009-02-19,925.36,925.36,925.36,925.36,0
2009-02-20,908.11,908.11,908.11,908.11,0
2009-02-24,909.32,909.32,909.32,909.32,0
2009-02-25,918.74,918.74,918.74,918.74,0
2009-02-26,931.14,931.14,931.14,931.14,0
2009-02-27,919.4,919.4,919.4,919.4,0
2009-03-02,891.82,891.82,891.82,891.82,0
2009-03-03,875.56,875.56,875.56,875.56,0
2009-03-04,884.93,884.93,884.93,884.93,0
2009-03-05,864.35,864.35,864.35,864.35,0
