date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,980.67,980.67,980.67,980.67,0
2005-04-05,962.6,962.6,962.6,962.6,0
2005-04-06,978.34,978.34,978.34,978.34,0
2005-04-07,974.95,974.95,974.95,974.95,0
2005-04-08,962.25,962.25,962.25,962.25,0
2005-04-11,953.53,953.53,953.53,953.53,0
2005-04-12,965.43,965.43,965.43,965.43,0
2005-04-13,964.84,964.84,964.84,964.84,0
2005-04-15,928.38,928.38,928.38,928.38,0
2005-04-18,921.68,921.68,921.68,921.68,0
2005-04-19,898.94,898.94,898.94,898.94,0
2005-04-20,901.15,901.15,901.15,901.15,0
2005-04-21,915.76,915.76,915.76,915.76,0
2005-04-22,917.69,917.69,917.69,917.69,0
2005-04-25,922.12,922.12,922.12,922.12,0
2005-04-26,910.42,910.42,910.42,910.42,0
2005-04-27,897.38,897.38,897.38,897.38,0
2005-04-28,894.41,894.41,894.41,894.41,0
2005-04-29,886.24,886.24,886.24,886.24,0
2005-05-02,891.02,891.02,891.02,891.02,0
2005-05-03,890.25,890.25,890.25,890.25,0
2005-05-04,901.29,901.29,901.29,901.29,0
2005-05-05,905.73,905.73,905.73,905.73,0
2005-05-06,913.93,913.93,913.93,913.93,0
2005-05-09,929.44,929.44,929.44,929.44,0
2005-05-10,920.21,920.21,920.21,920.21,0
2005-05-11,915.58,915.58,915.58,915.58,0
2005-05-12,916.98,916.98,916.98,916.98,0
2005-05-13,917.19,917.19,917.19,917.19,0
2005-05-16,929.62,929.62,929.62,929.62,0
2005-05-17,917.87,917.87,917.87,917.87,0
2005-05-18,915.0,915.0,915.0,915.0,0
2005-05-19,919.32,919.32,919.32,919.32,0
2005-05-20,918.8,918.8,918.8,918.8,0
2005-05-23,928.99,928.99,928.99,928.99,0
2005-05-24,943.02,943.02,943.02,943.02,0
2005-05-25,946.4,946.4,946.4,946.4,0
2005-05-26,961.85,961.85,961.85,961.85,0
2005-05-27,957.3,957.3,957.3,957.3,0
2005-05-30,962.96,962.96,962.96,962.96,0
2005-05-31,968.21,968.21,968.21,968.21,0
2005-06-01,959.85,959.85,959.85,959.85,0
2005-06-02,946.85,946.85,946.85,946.85,0
2005-06-03,956.41,956.41,956.41,956.41,0
2005-06-04,957.27,957.27,957.27,957.27,0
2005-06-06,955.2,955.2,955.2,955.2,0
2005-06-07,954.23,954.23,954.23,954.23,0
2005-06-08,956.52,956.52,956.52,956.52,0
2005-06-09,950.55,950.55,950.55,950.55,0
2005-06-10,941.53,941.53,941.53,941.53,0
2005-06-13,941.85,941.85,941.85,941.85,0
2005-06-14,939.62,939.62,939.62,939.62,0
2005-06-15,947.59,947.59,947.59,947.59,0
2005-06-16,945.18,945.18,945.18,945.18,0
2005-06-17,937.99,937.99,937.99,937.99,0
2005-06-20,944.04,944.04,944.04,944.04,0
2005-06-21,955.62,955.62,955.62,955.62,0
2005-06-22,970.2,970.2,970.2,970.2,0
2005-06-23,968.07,968.07,968.07,968.07,0
2005-06-24,973.01,973.01,973.01,973.01,0
2005-06-27,969.22,969.22,969.22,969.22,0
2005-06-28,949.66,949.66,949.66,949.66,0
2005-06-29,959.07,959.07,959.07,959.07,0
2005-06-30,962.82,962.82,962.82,962.82,0
2005-07-01,973.66,973.66,973.66,973.66,0
2005-07-04,992.0,992.0,992.0,992.0,0
2005-07-05,983.32,983.32,983.32,983.32,0
2005-07-06,989.89,989.89,989.89,989.89,0
2005-07-07,983.6,983.6,983.6,983.6,0
2005-07-08,993.43,993.43,993.43,993.43,0
2005-07-11,1006.64,1006.64,1006.64,1006.64,0
2005-07-12,1021.9,1021.9,1021.9,1021.9,0
2005-07-13,1020.81,1020.81,1020.81,1020.81,0
2005-07-14,999.25,999.25,999.25,999.25,0
2005-07-15,1017.25,1017.25,1017.25,1017.25,0
2005-07-18,1041.99,1041.99,1041.99,1041.99,0
2005-07-19,1053.69,1053.69,1053.69,1053.69,0
2005-07-20,1056.64,1056.64,1056.64,1056.64,0
2005-07-21,1045.18,1045.18,1045.18,1045.18,0
2005-07-22,1062.21,1062.21,1062.21,1062.21,0
2005-07-25,1070.08,1070.08,1070.08,1070.08,0
2005-07-26,1070.42,1070.42,1070.42,1070.42,0
2005-07-27,1072.39,1072.39,1072.39,1072.39,0
2005-07-29,1060.43,1060.43,1060.43,1060.43,0
2005-08-01,1066.89,1066.89,1066.89,1066.89,0
2005-08-02,1092.4,1092.4,1092.4,1092.4,0
2005-08-03,1082.86,1082.86,1082.86,1082.86,0
2005-08-04,1095.15,1095.15,1095.15,1095.15,0
2005-08-05,1104.13,1104.13,1104.13,1104.13,0
2005-08-08,1083.82,1083.82,1083.82,1083.82,0
2005-08-09,1078.01,1078.01,1078.01,1078.01,0
2005-08-10,1105.48,1105.48,1105.48,1105.48,0
2005-08-11,1119.16,1119.16,1119.16,1119.16,0
2005-08-12,1107.09,1107.09,1107.09,1107.09,0
2005-08-16,1104.98,1104.98,1104.98,1104.98,0
2005-08-17,1118.53,1118.53,1118.53,1118.53,0
2005-08-18,1121.8,1121.8,1121.8,1121.8,0
2005-08-19,1115.73,1115.73,1115.73,1115.73,0
2005-08-22,1097.8,1097.8,1097.8,1097.8,0
2005-08-23,1081.5,1081.5,1081.5,1081.5,0
2005-08-24,1064.99,1064.99,1064.99,1064.99,0
2005-08-25,1083.55,1083.55,1083.55,1083.55,0
2005-08-26,1098.25,1098.25,1098.25,1098.25,0
2005-08-29,1087.36,1087.36,1087.36,1087.36,0
2005-08-30,1102.29,1102.29,1102.29,1102.29,0
2005-08-31,1109.21,1109.21,1109.21,1109.21,0
2005-09-01,1118.11,1118.11,1118.11,1118.11,0
2005-09-02,1139.76,1139.76,1139.76,1139.76,0
