date,open,high,low,close,volume
2006-03-02,1000.0,1000.0,1000.0,1000.0,0
2006-03-03,996.91,996.91,996.91,996.91,0
2006-03-06,1005.98,1005.98,1005.98,1005.98,0
2006-03-07,1003.66,1003.66,1003.66,1003.66,0
2006-03-08,983.48,983.48,983.48,983.48,0
2006-03-09,989.11,989.11,989.11,989.11,0
2006-03-10,1007.24,1007.24,1007.24,1007.24,0
2006-03-13,1015.61,1015.61,1015.61,1015.61,0
2006-03-14,1018.95,1018.95,1018.95,1018.95,0
2006-03-16,1025.77,1025.77,1025.77,1025.77,0
2006-03-17,1026.73,1026.73,1026.73,1026.73,0
2006-03-20,1037.95,1037.95,1037.95,1037.95,0
2006-03-21,1037.18,1037.18,1037.18,1037.18,0
2006-03-22,1027.99,1027.99,1027.99,1027.99,0
2006-03-23,1028.39,1028.39,1028.39,1028.39,0
2006-03-24,1038.27,1038.27,1038.27,1038.27,0
2006-03-27,1053.58,1053.58,1053.58,1053.58,0
2006-03-28,1056.63,1056.63,1056.63,1056.63,0
2006-03-29,1066.01,1066.01,1066.01,1066.01,0
2006-03-30,1087.49,1087.49,1087.49,1087.49,0
2006-03-31,1074.62,1074.62,1074.62,1074.62,0
2006-04-03,1098.93,1098.93,1098.93,1098.93,0
2006-04-04,1103.78,1103.78,1103.78,1103.78,0
2006-04-05,1109.06,1109.06,1109.06,1109.06,0
2006-04-07,1087.17,1087.17,1087.17,1087.17,0
2006-04-10,1085.33,1085.33,1085.33,1085.33,0
2006-04-12,1054.38,1054.38,1054.38,1054.38,0
2006-04-13,1046.03,1046.03,1046.03,1046.03,0
2006-04-17,1071.45,1071.45,1071.45,1071.45,0
2006-04-18,1107.53,1107.53,1107.53,1107.53,0
2006-04-19,1110.46,1110.46,1110.46,1110.46,0
2006-04-20,1120.53,1120.53,1120.53,1120.53,0
2006-04-21,1119.48,1119.48,1119.48,1119.48,0
2006-04-24,1110.7,1110.7,1110.7,1110.7,0
2006-04-25,1086.52,1086.52,1086.52,1086.52,0
2006-04-26,1115.38,1115.38,1115.38,1115.38,0
2006-04-27,1102.75,1102.75,1102.75,1102.75,0
2006-04-28,1105.48,1105.48,1105.48,1105.48,0
2006-04-29,1117.81,1117.81,1117.81,1117.81,0
2006-05-02,1133.12,1133.12,1133.12,1133.12,0
2006-05-03,1148.2,1148.2,1148.2,1148.2,0
2006-05-04,1157.91,1157.91,1157.91,1157.91,0
2006-05-05,1152.51,1152.51,1152.51,1152.51,0
2006-05-08,1161.61,1161.61,1161.61,1161.61,0
2006-05-09,1166.25,1166.25,1166.25,1166.25,0
2006-05-10,1179.92,1179.92,1179.92,1179.92,0
2006-05-11,1164.86,1164.86,1164.86,1164.86,0
2006-05-12,1144.41,1144.41,1144.41,1144.41,0
2006-05-15,1106.19,1106.19,1106.19,1106.19,0
2006-05-16,1114.89,1114.89,1114.89,1114.89,0
2006-05-17,1153.37,1153.37,1153.37,1153.37,0
2006-05-18,1082.68,1082.68,1082.68,1082.68,0
2006-05-19,1040.38,1040.38,1040.38,1040.38,0
2006-05-22,990.6,990.6,990.6,990.6,0
