date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,999.39,999.39,999.39,999.39,0
2005-04-05,993.28,993.28,993.28,993.28,0
2005-04-06,1001.23,1001.23,1001.23,1001.23,0
2005-04-07,996.58,996.58,996.58,996.58,0
2005-04-08,988.18,988.18,988.18,988.18,0
2005-04-11,977.7,977.7,977.7,977.7,0
2005-04-12,985.39,985.39,985.39,985.39,0
2005-04-13,986.02,986.02,986.02,986.02,0
2005-04-15,956.88,956.88,956.88,956.88,0
2005-04-18,945.74,945.74,945.74,945.74,0
2005-04-19,938.6,938.6,938.6,938.6,0
2005-04-20,945.98,945.98,945.98,945.98,0
2005-04-21,957.27,957.27,957.27,957.27,0
2005-04-22,965.66,965.66,965.66,965.66,0
2005-04-25,969.2,969.2,969.2,969.2,0
2005-04-26,965.08,965.08,965.08,965.08,0
2005-04-27,955.43,955.43,955.43,955.43,0
2005-04-28,952.76,952.76,952.76,952.76,0
2005-04-29,936.36,936.36,936.36,936.36,0
2005-05-02,939.8,939.8,939.8,939.8,0
2005-05-03,941.53,941.53,941.53,941.53,0
2005-05-04,952.3,952.3,952.3,952.3,0
2005-05-05,963.36,963.36,963.36,963.36,0
2005-05-06,969.42,969.42,969.42,969.42,0
2005-05-09,981.22,981.22,981.22,981.22,0
2005-05-10,979.25,979.25,979.25,979.25,0
2005-05-11,976.32,976.32,976.32,976.32,0
2005-05-12,981.37,981.37,981.37,981.37,0
2005-05-13,981.32,981.32,981.32,981.32,0
2005-05-16,991.31,991.31,991.31,991.31,0
2005-05-17,980.4,980.4,980.4,980.4,0
2005-05-18,977.92,977.92,977.92,977.92,0
2005-05-19,983.23,983.23,983.23,983.23,0
2005-05-20,983.75,983.75,983.75,983.75,0
2005-05-23,993.35,993.35,993.35,993.35,0
2005-05-24,998.6,998.6,998.6,998.6,0
2005-05-25,1004.39,1004.39,1004.39,1004.39,0
2005-05-26,1011.73,1011.73,1011.73,1011.73,0
2005-05-27,1012.96,1012.96,1012.96,1012.96,0
2005-05-30,1009.73,1009.73,1009.73,1009.73,0
2005-05-31,1018.46,1018.46,1018.46,1018.46,0
2005-06-01,1020.54,1020.54,1020.54,1020.54,0
2005-06-02,1011.2,1011.2,1011.2,1011.2,0
2005-06-03,1023.3,1023.3,1023.3,1023.3,0
2005-06-04,1024.56,1024.56,1024.56,1024.56,0
2005-06-06,1027.01,1027.01,1027.01,1027.01,0
2005-06-07,1031.04,1031.04,1031.04,1031.04,0
2005-06-08,1036.96,1036.96,1036.96,1036.96,0
2005-06-09,1034.09,1034.09,1034.09,1034.09,0
2005-06-10,1027.96,1027.96,1027.96,1027.96,0
2005-06-13,1031.96,1031.96,1031.96,1031.96,0
2005-06-14,1034.77,1034.77,1034.77,1034.77,0
2005-06-15,1041.16,1041.16,1041.16,1041.16,0
2005-06-16,1034.26,1034.26,1034.26,1034.26,0
2005-06-17,1029.48,1029.48,1029.48,1029.48,0
2005-06-20,1033.04,1033.04,1033.04,1033.04,0
2005-06-21,1041.84,1041.84,1041.84,1041.84,0
2005-06-22,1048.1,1048.1,1048.1,1048.1,0
2005-06-23,1049.2,1049.2,1049.2,1049.2,0
2005-06-24,1055.35,1055.35,1055.35,1055.35,0
2005-06-27,1056.33,1056.33,1056.33,1056.33,0
2005-06-28,1040.96,1040.96,1040.96,1040.96,0
2005-06-29,1050.45,1050.45,1050.45,1050.45,0
2005-06-30,1057.81,1057.81,1057.81,1057.81,0
2005-07-01,1061.35,1061.35,1061.35,1061.35,0
2005-07-04,1073.05,1073.05,1073.05,1073.05,0
2005-07-05,1064.48,1064.48,1064.48,1064.48,0
2005-07-06,1076.41,1076.41,1076.41,1076.41,0
2005-07-07,1056.46,1056.46,1056.46,1056.46,0
2005-07-08,1068.44,1068.44,1068.44,1068.44,0
2005-07-11,1080.0,1080.0,1080.0,1080.0,0
2005-07-12,1081.94,1081.94,1081.94,1081.94,0
2005-07-13,1079.02,1079.02,1079.02,1079.02,0
2005-07-14,1074.11,1074.11,1074.11,1074.11,0
2005-07-15,1086.2,1086.2,1086.2,1086.2,0
2005-07-18,1098.44,1098.44,1098.44,1098.44,0
2005-07-19,1101.6,1101.6,1101.6,1101.6,0
2005-07-20,1105.77,1105.77,1105.77,1105.77,0
2005-07-21,1100.18,1100.18,1100.18,1100.18,0
2005-07-22,1115.79,1115.79,1115.79,1115.79,0
2005-07-25,1127.02,1127.02,1127.02,1127.02,0
2005-07-26,1127.23,1127.23,1127.23,1127.23,0
2005-07-27,1132.38,1132.38,1132.38,1132.38,0
2005-07-29,1126.2,1126.2,1126.2,1126.2,0
2005-08-01,1132.9,1132.9,1132.9,1132.9,0
2005-08-02,1151.69,1151.69,1151.69,1151.69,0
2005-08-03,1151.51,1151.51,1151.51,1151.51,0
2005-08-04,1157.33,1157.33,1157.33,1157.33,0
2005-08-05,1159.01,1159.01,1159.01,1159.01,0
2005-08-08,1142.17,1142.17,1142.17,1142.17,0
2005-08-09,1139.9,1139.9,1139.9,1139.9,0
2005-08-10,1159.88,1159.88,1159.88,1159.88,0
2005-08-11,1169.42,1169.42,1169.42,1169.42,0
2005-08-12,1164.1,1164.1,1164.1,1164.1,0
2005-08-16,1170.19,1170.19,1170.19,1170.19,0
2005-08-17,1184.8,1184.8,1184.8,1184.8,0
2005-08-18,1179.03,1179.03,1179.03,1179.03,0
2005-08-19,1177.92,1177.92,1177.92,1177.92,0
2005-08-22,1171.33,1171.33,1171.33,1171.33,0
2005-08-23,1149.91,1149.91,1149.91,1149.91,0
2005-08-24,1144.26,1144.26,1144.26,1144.26,0
2005-08-25,1157.86,1157.86,1157.86,1157.86,0
2005-08-26,1165.82,1165.82,1165.82,1165.82,0
2005-08-29,1160.0,1160.0,1160.0,1160.0,0
2005-08-30,1175.34,1175.34,1175.34,1175.34,0
2005-08-31,1184.51,1184.51,1184.51,1184.51,0
2005-09-01,1194.23,1194.23,1194.23,1194.23,0
2005-09-02,1198.22,1198.22,1198.22,1198.22,0
2005-09-05,1202.05,1202.05,1202.05,1202.05,0
2005-09-06,1204.18,1204.18,1204.18,1204.18,0
2005-09-08,1214.13,1214.13,1214.13,1214.13,0
2005-09-09,1213.7,1213.7,1213.7,1213.7,0
2005-09-12,1228.42,1228.42,1228.42,1228.42,0
2005-09-13,1236.89,1236.89,1236.89,1236.89,0
2005-09-14,1231.67,1231.67,1231.67,1231.67,0
2005-09-15,1245.89,1245.89,1245.89,1245.89,0
2005-09-16,1257.91,1257.91,1257.91,1257.91,0
2005-09-19,1267.3,1267.3,1267.3,1267.3,0
2005-09-20,1268.73,1268.73,1268.73,1268.73,0
2005-09-21,1257.98,1257.98,1257.98,1257.98,0
2005-09-22,1205.42,1205.42,1205.42,1205.42,0
2005-09-23,1209.39,1209.39,1209.39,1209.39,0
2005-09-26,1248.98,1248.98,1248.98,1248.98,0
2005-09-27,1256.73,1256.73,1256.73,1256.73,0
2005-09-28,1268.23,1268.23,1268.23,1268.23,0
2005-09-29,1268.51,1268.51,1268.51,1268.51,0
2005-09-30,1263.81,1263.81,1263.81,1263.81,0
2005-10-03,1278.11,1278.11,1278.11,1278.11,0
2005-10-04,1293.89,1293.89,1293.89,1293.89,0
2005-10-05,1285.84,1285.84,1285.84,1285.84,0
2005-10-06,1261.9,1261.9,1261.9,1261.9,0
2005-10-07,1258.53,1258.53,1258.53,1258.53,0
2005-10-10,1252.58,1252.58,1252.58,1252.58,0
2005-10-11,1258.03,1258.03,1258.03,1258.03,0
