date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,998.72,998.72,998.72,998.72,0
2005-04-05,985.22,985.22,985.22,985.22,0
2005-04-06,989.07,989.07,989.07,989.07,0
2005-04-07,991.66,991.66,991.66,991.66,0
2005-04-08,988.01,988.01,988.01,988.01,0
2005-04-11,979.62,979.62,979.62,979.62,0
2005-04-12,989.69,989.69,989.69,989.69,0
2005-04-13,984.82,984.82,984.82,984.82,0
2005-04-15,965.45,965.45,965.45,965.45,0
2005-04-18,963.77,963.77,963.77,963.77,0
2005-04-19,956.26,956.26,956.26,956.26,0
2005-04-20,974.62,974.62,974.62,974.62,0
2005-04-21,983.59,983.59,983.59,983.59,0
2005-04-22,990.23,990.23,990.23,990.23,0
2005-04-25,995.09,995.09,995.09,995.09,0
2005-04-26,994.59,994.59,994.59,994.59,0
2005-04-27,982.88,982.88,982.88,982.88,0
2005-04-28,983.45,983.45,983.45,983.45,0
2005-04-29,973.09,973.09,973.09,973.09,0
2005-05-02,974.73,974.73,974.73,974.73,0
2005-05-03,976.68,976.68,976.68,976.68,0
2005-05-04,984.59,984.59,984.59,984.59,0
2005-05-05,993.09,993.09,993.09,993.09,0
2005-05-06,1001.7,1001.7,1001.7,1001.7,0
2005-05-09,1015.4,1015.4,1015.4,1015.4,0
2005-05-10,1012.76,1012.76,1012.76,1012.76,0
2005-05-11,1009.94,1009.94,1009.94,1009.94,0
2005-05-12,1016.87,1016.87,1016.87,1016.87,0
2005-05-13,1019.66,1019.66,1019.66,1019.66,0
2005-05-16,1031.87,1031.87,1031.87,1031.87,0
2005-05-17,1026.55,1026.55,1026.55,1026.55,0
2005-05-18,1025.36,1025.36,1025.36,1025.36,0
2005-05-19,1027.74,1027.74,1027.74,1027.74,0
2005-05-20,1026.69,1026.69,1026.69,1026.69,0
2005-05-23,1031.13,1031.13,1031.13,1031.13,0
2005-05-24,1035.74,1035.74,1035.74,1035.74,0
2005-05-25,1041.49,1041.49,1041.49,1041.49,0
2005-05-26,1047.28,1047.28,1047.28,1047.28,0
2005-05-27,1043.2,1043.2,1043.2,1043.2,0
2005-05-30,1033.95,1033.95,1033.95,1033.95,0
2005-05-31,1038.42,1038.42,1038.42,1038.42,0
2005-06-01,1044.31,1044.31,1044.31,1044.31,0
2005-06-02,1036.0,1036.0,1036.0,1036.0,0
2005-06-03,1040.64,1040.64,1040.64,1040.64,0
2005-06-04,1042.54,1042.54,1042.54,1042.54,0
2005-06-06,1045.64,1045.64,1045.64,1045.64,0
2005-06-07,1048.88,1048.88,1048.88,1048.88,0
2005-06-08,1059.33,1059.33,1059.33,1059.33,0
2005-06-09,1061.98,1061.98,1061.98,1061.98,0
2005-06-10,1051.43,1051.43,1051.43,1051.43,0
2005-06-13,1047.98,1047.98,1047.98,1047.98,0
2005-06-14,1043.19,1043.19,1043.19,1043.19,0
2005-06-15,1047.68,1047.68,1047.68,1047.68,0
2005-06-16,1044.28,1044.28,1044.28,1044.28,0
2005-06-17,1038.49,1038.49,1038.49,1038.49,0
2005-06-20,1029.46,1029.46,1029.46,1029.46,0
2005-06-21,1035.09,1035.09,1035.09,1035.09,0
2005-06-22,1044.79,1044.79,1044.79,1044.79,0
2005-06-23,1054.47,1054.47,1054.47,1054.47,0
2005-06-24,1062.36,1062.36,1062.36,1062.36,0
2005-06-27,1065.35,1065.35,1065.35,1065.35,0
