date,open,high,low,close,volume
2011-04-01,1000.0,1000.0,1000.0,1000.0,0
2011-04-04,1016.95,1016.95,1016.95,1016.95,0
2011-04-05,1017.71,1017.71,1017.71,1017.71,0
2011-04-06,1013.75,1013.75,1013.75,1013.75,0
2011-04-07,1014.67,1014.67,1014.67,1014.67,0
2011-04-08,1005.03,1005.03,1005.03,1005.03,0
2011-04-11,993.46,993.46,993.46,993.46,0
2011-04-13,1016.43,1016.43,1016.43,1016.43,0
2011-04-15,999.7,999.7,999.7,999.7,0
2011-04-18,980.51,980.51,980.51,980.51,0
2011-04-19,985.6,985.6,985.6,985.6,0
2011-04-20,1005.18,1005.18,1005.18,1005.18,0
2011-04-21,1008.14,1008.14,1008.14,1008.14,0
2011-04-25,1006.67,1006.67,1006.67,1006.67,0
2011-04-26,1004.02,1004.02,1004.02,1004.02,0
2011-04-27,996.82,996.82,996.82,996.82,0
2011-04-28,988.51,988.51,988.51,988.51,0
2011-04-29,981.7,981.7,981.7,981.7,0
2011-05-02,973.42,973.42,973.42,973.42,0
2011-05-03,948.1,948.1,948.1,948.1,0
2011-05-04,940.06,940.06,940.06,940.06,0
2011-05-05,928.26,928.26,928.26,928.26,0
2011-05-06,951.18,951.18,951.18,951.18,0
2011-05-09,948.38,948.38,948.38,948.38,0
2011-05-10,943.39,943.39,943.39,943.39,0
2011-05-11,946.43,946.43,946.43,946.43,0
2011-05-12,932.65,932.65,932.65,932.65,0
2011-05-13,942.99,942.99,942.99,942.99,0
2011-05-16,935.48,935.48,935.48,935.48,0
2011-05-17,928.09,928.09,928.09,928.09,0
2011-05-18,925.77,925.77,925.77,925.77,0
2011-05-19,930.49,930.49,930.49,930.49,0
2011-05-20,944.1,944.1,944.1,944.1,0
2011-05-23,927.12,927.12,927.12,927.12,0
2011-05-24,932.18,932.18,932.18,932.18,0
2011-05-25,922.68,922.68,922.68,922.68,0
2011-05-26,934.16,934.16,934.16,934.16,0
2011-05-27,943.12,943.12,943.12,943.12,0
2011-05-30,940.92,940.92,940.92,940.92,0
2011-05-31,954.32,954.32,954.32,954.32,0
2011-06-01,959.04,959.04,959.04,959.04,0
2011-06-02,949.42,949.42,949.42,949.42,0
2011-06-03,946.32,946.32,946.32,946.32,0
2011-06-06,949.63,949.63,949.63,949.63,0
2011-06-07,954.3,954.3,954.3,954.3,0
2011-06-08,949.59,949.59,949.59,949.59,0
2011-06-09,949.77,949.77,949.77,949.77,0
2011-06-10,943.67,943.67,943.67,943.67,0
