date,open,high,low,close,volume
2011-04-01,1000.0,1000.0,1000.0,1000.0,0
2011-04-04,1016.9,1016.9,1016.9,1016.9,0
2011-04-05,1018.0,1018.0,1018.0,1018.0,0
2011-04-06,1014.1,1014.1,1014.1,1014.1,0
2011-04-07,1015.0,1015.0,1015.0,1015.0,0
2011-04-08,1005.3,1005.3,1005.3,1005.3,0
2011-04-11,994.02,994.02,994.02,994.02,0
2011-04-13,1016.7,1016.7,1016.7,1016.7,0
2011-04-15,1000.1,1000.1,1000.1,1000.1,0
2011-04-18,980.9,980.9,980.9,980.9,0
2011-04-19,985.73,985.73,985.73,985.73,0
2011-04-20,1005.3,1005.3,1005.3,1005.3,0
2011-04-21,1008.6,1008.6,1008.6,1008.6,0
2011-04-25,1007.7,1007.7,1007.7,1007.7,0
2011-04-26,1005.2,1005.2,1005.2,1005.2,0
2011-04-27,997.99,997.99,997.99,997.99,0
2011-04-28,989.4,989.4,989.4,989.4,0
2011-04-29,982.53,982.53,982.53,982.53,0
2011-05-02,973.74,973.74,973.74,973.74,0
2011-05-03,948.2,948.2,948.2,948.2,0
2011-05-04,940.52,940.52,940.52,940.52,0
2011-05-05,928.97,928.97,928.97,928.97,0
2011-05-06,951.55,951.55,951.55,951.55,0
2011-05-09,948.65,948.65,948.65,948.65,0
2011-05-10,943.79,943.79,943.79,943.79,0
2011-05-11,947.09,947.09,947.09,947.09,0
2011-05-12,933.41,933.41,933.41,933.41,0
2011-05-13,943.61,943.61,943.61,943.61,0
2011-05-16,936.07,936.07,936.07,936.07,0
2011-05-17,927.47,927.47,927.47,927.47,0
2011-05-18,924.72,924.72,924.72,924.72,0
2011-05-19,929.26,929.26,929.26,929.26,0
2011-05-20,942.6,942.6,942.6,942.6,0
2011-05-23,925.58,925.58,925.58,925.58,0
2011-05-24,930.3,930.3,930.3,930.3,0
2011-05-25,920.61,920.61,920.61,920.61,0
2011-05-26,932.01,932.01,932.01,932.01,0
2011-05-27,940.87,940.87,940.87,940.87,0
2011-05-30,938.53,938.53,938.53,938.53,0
2011-05-31,951.97,951.97,951.97,951.97,0
2011-06-01,956.89,956.89,956.89,956.89,0
2011-06-02,947.65,947.65,947.65,947.65,0
2011-06-03,944.55,944.55,944.55,944.55,0
2011-06-06,947.74,947.74,947.74,947.74,0
2011-06-07,952.42,952.42,952.42,952.42,0
2011-06-08,947.7,947.7,947.7,947.7,0
2011-06-09,947.67,947.67,947.67,947.67,0
2011-06-10,941.54,941.54,941.54,941.54,0
2011-06-13,940.45,940.45,940.45,940.45,0
2011-06-14,942.17,942.17,942.17,942.17,0
2011-06-15,933.2,933.2,933.2,933.2,0
2011-06-16,920.17,920.17,920.17,920.17,0
2011-06-17,913.86,913.86,913.86,913.86,0
2011-06-20,895.99,895.99,895.99,895.99,0
2011-06-21,899.76,899.76,899.76,899.76,0
2011-06-22,900.29,900.29,900.29,900.29,0
2011-06-23,906.73,906.73,906.73,906.73,0
2011-06-24,933.13,933.13,933.13,933.13,0
2011-06-27,945.66,945.66,945.66,945.66,0
2011-06-28,947.91,947.91,947.91,947.91,0
2011-06-29,955.14,955.14,955.14,955.14,0
2011-06-30,962.51,962.51,962.51,962.51,0
2011-07-01,957.94,957.94,957.94,957.94,0
2011-07-04,962.0,962.0,962.0,962.0,0
2011-07-05,961.75,961.75,961.75,961.75,0
2011-07-06,962.13,962.13,962.13,962.13,0
2011-07-07,978.1,978.1,978.1,978.1,0
2011-07-08,965.06,965.06,965.06,965.06,0
2011-07-11,956.38,956.38,956.38,956.38,0
2011-07-12,937.93,937.93,937.93,937.93,0
2011-07-13,946.87,946.87,946.87,946.87,0
2011-07-14,949.57,949.57,949.57,949.57,0
2011-07-15,948.76,948.76,948.76,948.76,0
2011-07-18,944.3,944.3,944.3,944.3,0
2011-07-19,950.97,950.97,950.97,950.97,0
2011-07-20,942.3,942.3,942.3,942.3,0
2011-07-21,936.82,936.82,936.82,936.82,0
2011-07-22,953.5,953.5,953.5,953.5,0
2011-07-25,961.75,961.75,961.75,961.75,0
2011-07-26,945.48,945.48,945.48,945.48,0
2011-07-27,942.37,942.37,942.37,942.37,0
2011-07-28,929.8,929.8,929.8,929.8,0
2011-07-29,929.96,929.96,929.96,929.96,0
2011-08-01,937.34,937.34,937.34,937.34,0
2011-08-02,926.76,926.76,926.76,926.76,0
2011-08-03,914.3,914.3,914.3,914.3,0
2011-08-04,904.04,904.04,904.04,904.04,0
2011-08-05,883.31,883.31,883.31,883.31,0
2011-08-08,864.99,864.99,864.99,864.99,0
2011-08-09,852.31,852.31,852.31,852.31,0
2011-08-10,873.41,873.41,873.41,873.41,0
2011-08-11,868.67,868.67,868.67,868.67,0
2011-08-12,855.66,855.66,855.66,855.66,0
2011-08-16,850.58,850.58,850.58,850.58,0
2011-08-17,852.05,852.05,852.05,852.05,0
2011-08-18,830.06,830.06,830.06,830.06,0
2011-08-19,812.24,812.24,812.24,812.24,0
2011-08-22,819.08,819.08,819.08,819.08,0
2011-08-23,831.89,831.89,831.89,831.89,0
2011-08-24,818.17,818.17,818.17,818.17,0
2011-08-25,807.74,807.74,807.74,807.74,0
2011-08-26,793.1,793.1,793.1,793.1,0
2011-08-29,826.81,826.81,826.81,826.81,0
2011-08-30,843.17,843.17,843.17,843.17,0
2011-09-02,850.79,850.79,850.79,850.79,0
2011-09-05,848.13,848.13,848.13,848.13,0
2011-09-06,858.93,858.93,858.93,858.93,0
2011-09-07,869.99,869.99,869.99,869.99,0
2011-09-08,877.19,877.19,877.19,877.19,0
2011-09-09,860.01,860.01,860.01,860.01,0
2011-09-12,836.95,836.95,836.95,836.95,0
2011-09-13,836.05,836.05,836.05,836.05,0
2011-09-14,848.78,848.78,848.78,848.78,0
2011-09-15,860.32,860.32,860.32,860.32,0
2011-09-16,860.53,860.53,860.53,860.53,0
2011-09-19,853.22,853.22,853.22,853.22,0
2011-09-20,872.16,872.16,872.16,872.16,0
2011-09-21,871.35,871.35,871.35,871.35,0
2011-09-22,835.09,835.09,835.09,835.09,0
2011-09-23,822.43,822.43,822.43,822.43,0
2011-09-26,817.78,817.78,817.78,817.78,0
2011-09-27,841.22,841.22,841.22,841.22,0
2011-09-28,835.0,835.0,835.0,835.0,0
2011-09-29,846.16,846.16,846.16,846.16,0
2011-09-30,834.17,834.17,834.17,834.17,0
2011-10-03,817.81,817.81,817.81,817.81,0
2011-10-04,806.12,806.12,806.12,806.12,0
2011-10-05,802.5,802.5,802.5,802.5,0
2011-10-07,826.5,826.5,826.5,826.5,0
2011-10-10,843.1,843.1,843.1,843.1,0
2011-10-11,841.11,841.11,841.11,841.11,0
2011-10-12,863.72,863.72,863.72,863.72,0
2011-10-13,863.4,863.4,863.4,863.4,0
2011-10-14,870.85,870.85,870.85,870.85,0
2011-10-17,869.86,869.86,869.86,869.86,0
2011-10-18,852.6,852.6,852.6,852.6,0
2011-10-19,869.28,869.28,869.28,869.28,0
2011-10-20,861.6,861.6,861.6,861.6,0
2011-10-21,854.25,854.25,854.25,854.25,0
2011-10-24,860.62,860.62,860.62,860.62,0
2011-10-25,878.46,878.46,878.46,878.46,0
2011-10-26,879.08,879.08,879.08,879.08,0
2011-10-28,907.44,907.44,907.44,907.44,0
2011-10-31,902.16,902.16,902.16,902.16,0
2011-11-01,889.16,889.16,889.16,889.16,0
2011-11-02,888.98,888.98,888.98,888.98,0
2011-11-03,888.59,888.59,888.59,888.59,0
2011-11-04,891.7,891.7,891.7,891.7,0
2011-11-08,892.14,892.14,892.14,892.14,0
2011-11-09,879.67,879.67,879.67,879.67,0
2011-11-11,869.4,869.4,869.4,869.4,0
2011-11-14,862.85,862.85,862.85,862.85,0
2011-11-15,847.86,847.86,847.86,847.86,0
2011-11-16,840.18,840.18,840.18,840.18,0
2011-11-17,825.46,825.46,825.46,825.46,0
2011-11-18,820.28,820.28,820.28,820.28,0
2011-11-21,799.37,799.37,799.37,799.37,0
2011-11-22,808.88,808.88,808.88,808.88,0
2011-11-23,790.37,790.37,790.37,790.37,0
2011-11-24,801.18,801.18,801.18,801.18,0
2011-11-25,793.06,793.06,793.06,793.06,0
2011-11-28,814.96,814.96,814.96,814.96,0
2011-11-29,806.56,806.56,806.56,806.56,0
2011-11-30,807.53,807.53,807.53,807.53,0
2011-12-01,828.25,828.25,828.25,828.25,0
2011-12-02,849.82,849.82,849.82,849.82,0
2011-12-05,848.06,848.06,848.06,848.06,0
2011-12-07,854.62,854.62,854.62,854.62,0
2011-12-08,836.02,836.02,836.02,836.02,0
2011-12-09,822.15,822.15,822.15,822.15,0
2011-12-12,804.98,804.98,804.98,804.98,0
2011-12-13,808.42,808.42,808.42,808.42,0
2011-12-14,800.43,800.43,800.43,800.43,0
