date,open,high,low,close,volume
2014-01-01,1000.0,1000.0,1000.0,1000.0,0
2014-01-02,990.56,990.56,990.56,990.56,0
2014-01-03,989.36,989.36,989.36,989.36,0
2014-01-06,984.51,984.51,984.51,984.51,0
2014-01-07,979.96,979.96,979.96,979.96,0
2014-01-08,982.18,982.18,982.18,982.18,0
2014-01-09,979.75,979.75,979.75,979.75,0
2014-01-10,979.91,979.91,979.91,979.91,0
2014-01-13,1000.1,1000.1,1000.1,1000.1,0
2014-01-14,994.98,994.98,994.98,994.98,0
2014-01-15,1007.6,1007.6,1007.6,1007.6,0
2014-01-16,1009.5,1009.5,1009.5,1009.5,0
2014-01-17,996.59,996.59,996.59,996.59,0
2014-01-20,1005.1,1005.1,1005.1,1005.1,0
2014-01-21,1009.0,1009.0,1009.0,1009.0,0
2014-01-22,1012.4,1012.4,1012.4,1012.4,0
2014-01-23,1013.4,1013.4,1013.4,1013.4,0
2014-01-24,1002.1,1002.1,1002.1,1002.1,0
2014-01-27,980.53,980.53,980.53,980.53,0
2014-01-28,978.72,978.72,978.72,978.72,0
2014-01-29,976.82,976.82,976.82,976.82,0
2014-01-30,969.45,969.45,969.45,969.45,0
2014-01-31,971.03,971.03,971.03,971.03,0
2014-02-03,957.04,957.04,957.04,957.04,0
2014-02-04,954.18,954.18,954.18,954.18,0
2014-02-05,960.04,960.04,960.04,960.04,0
2014-02-06,961.41,961.41,961.41,961.41,0
2014-02-07,963.0,963.0,963.0,963.0,0
2014-02-10,960.43,960.43,960.43,960.43,0
2014-02-11,963.1,963.1,963.1,963.1,0
2014-02-12,970.27,970.27,970.27,970.27,0
2014-02-13,958.74,958.74,958.74,958.74,0
2014-02-14,966.95,966.95,966.95,966.95,0
2014-02-17,971.67,971.67,971.67,971.67,0
2014-02-18,983.1,983.1,983.1,983.1,0
2014-02-19,988.85,988.85,988.85,988.85,0
2014-02-20,980.45,980.45,980.45,980.45,0
2014-02-21,992.56,992.56,992.56,992.56,0
2014-02-24,998.62,998.62,998.62,998.62,0
2014-02-25,1002.0,1002.0,1002.0,1002.0,0
2014-02-26,1008.3,1008.3,1008.3,1008.3,0
2014-02-28,1015.6,1015.6,1015.6,1015.6,0
2014-03-03,1005.7,1005.7,1005.7,1005.7,0
2014-03-04,1016.5,1016.5,1016.5,1016.5,0
2014-03-05,1020.3,1020.3,1020.3,1020.3,0
2014-03-06,1031.7,1031.7,1031.7,1031.7,0
2014-03-07,1052.09,1052.09,1052.09,1052.09,0
2014-03-10,1053.0,1053.0,1053.0,1053.0,0
2014-03-11,1050.3,1050.3,1050.3,1050.3,0
2014-03-12,1049.9,1049.9,1049.9,1049.9,0
2014-03-13,1046.2,1046.2,1046.2,1046.2,0
2014-03-14,1046.0,1046.0,1046.0,1046.0,0
2014-03-18,1043.59,1043.59,1043.59,1043.59,0
2014-03-19,1043.2,1043.2,1043.2,1043.2,0
2014-03-20,1038.4,1038.4,1038.4,1038.4,0
2014-03-21,1040.4,1040.4,1040.4,1040.4,0
2014-03-22,1040.8,1040.8,1040.8,1040.8,0
2014-03-24,1055.09,1055.09,1055.09,1055.09,0
2014-03-25,1054.0,1054.0,1054.0,1054.0,0
2014-03-26,1055.0,1055.0,1055.0,1055.0,0
2014-03-27,1060.8,1060.8,1060.8,1060.8,0
2014-03-28,1068.8,1068.8,1068.8,1068.8,0
2014-03-31,1071.9,1071.9,1071.9,1071.9,0
2014-04-01,1076.3,1076.3,1076.3,1076.3,0
2014-04-02,1083.4,1083.4,1083.4,1083.4,0
2014-04-03,1080.9,1080.9,1080.9,1080.9,0
2014-04-04,1073.0,1073.0,1073.0,1073.0,0
2014-04-07,1072.5,1072.5,1072.5,1072.5,0
2014-04-09,1087.7,1087.7,1087.7,1087.7,0
2014-04-10,1088.7,1088.7,1088.7,1088.7,0
2014-04-11,1085.3,1085.3,1085.3,1085.3,0
2014-04-15,1079.09,1079.09,1079.09,1079.09,0
2014-04-16,1065.59,1065.59,1065.59,1065.59,0
2014-04-17,1081.0,1081.0,1081.0,1081.0,0
2014-04-21,1086.7,1086.7,1086.7,1086.7,0
2014-04-22,1088.2,1088.2,1088.2,1088.2,0
2014-04-23,1092.5,1092.5,1092.5,1092.5,0
2014-04-25,1086.4,1086.4,1086.4,1086.4,0
2014-04-28,1081.9,1081.9,1081.9,1081.9,0
2014-04-29,1075.8,1075.8,1075.8,1075.8,0
2014-04-30,1073.9,1073.9,1073.9,1073.9,0
2014-05-02,1075.0,1075.0,1075.0,1075.0,0
2014-05-05,1073.59,1073.59,1073.59,1073.59,0
2014-05-06,1076.0,1076.0,1076.0,1076.0,0
2014-05-07,1063.7,1063.7,1063.7,1063.7,0
2014-05-08,1067.7,1067.7,1067.7,1067.7,0
2014-05-09,1102.9,1102.9,1102.9,1102.9,0
2014-05-12,1129.2,1129.2,1129.2,1129.2,0
2014-05-13,1144.2,1144.2,1144.2,1144.2,0
2014-05-14,1137.2,1137.2,1137.2,1137.2,0
2014-05-15,1138.59,1138.59,1138.59,1138.59,0
2014-05-16,1152.3,1152.3,1152.3,1152.3,0
2014-05-19,1159.3,1159.3,1159.3,1159.3,0
2014-05-20,1160.4,1160.4,1160.4,1160.4,0
2014-05-21,1156.0,1156.0,1156.0,1156.0,0
2014-05-22,1157.2,1157.2,1157.2,1157.2,0
2014-05-23,1170.3,1170.3,1170.3,1170.3,0
2014-05-26,1174.5,1174.5,1174.5,1174.5,0
2014-05-27,1169.0,1169.0,1169.0,1169.0,0
2014-05-28,1174.5,1174.5,1174.5,1174.5,0
2014-05-29,1157.9,1157.9,1157.9,1157.9,0
2014-05-30,1152.7,1152.7,1152.7,1152.7,0
2014-06-02,1176.4,1176.4,1176.4,1176.4,0
2014-06-03,1182.09,1182.09,1182.09,1182.09,0
2014-06-04,1179.09,1179.09,1179.09,1179.09,0
2014-06-05,1187.5,1187.5,1187.5,1187.5,0
2014-06-06,1202.3,1202.3,1202.3,1202.3,0
2014-06-09,1216.0,1216.0,1216.0,1216.0,0
2014-06-10,1220.09,1220.09,1220.09,1220.09,0
2014-06-11,1220.0,1220.0,1220.0,1220.0,0
2014-06-12,1224.2,1224.2,1224.2,1224.2,0
2014-06-13,1210.09,1210.09,1210.09,1210.09,0
2014-06-16,1203.09,1203.09,1203.09,1203.09,0
2014-06-17,1218.2,1218.2,1218.2,1218.2,0
2014-06-18,1203.8,1203.8,1203.8,1203.8,0
2014-06-19,1203.8,1203.8,1203.8,1203.8,0
2014-06-20,1200.59,1200.59,1200.59,1200.59,0
2014-06-23,1200.4,1200.4,1200.4,1200.4,0
2014-06-24,1214.4,1214.4,1214.4,1214.4,0
2014-06-25,1213.0,1213.0,1213.0,1213.0,0
2014-06-26,1203.0,1203.0,1203.0,1203.0,0
2014-06-27,1206.9,1206.9,1206.9,1206.9,0
2014-06-30,1221.4,1221.4,1221.4,1221.4,0
2014-07-01,1224.59,1224.59,1224.59,1224.59,0
2014-07-02,1237.8,1237.8,1237.8,1237.8,0
2014-07-03,1238.09,1238.09,1238.09,1238.09,0
2014-07-04,1245.0,1245.0,1245.0,1245.0,0
2014-07-07,1251.7,1251.7,1251.7,1251.7,0
2014-07-08,1227.09,1227.09,1227.09,1227.09,0
2014-07-09,1217.59,1217.59,1217.59,1217.59,0
2014-07-10,1210.8,1210.8,1210.8,1210.8,0
2014-07-11,1194.7,1194.7,1194.7,1194.7,0
2014-07-14,1190.5,1190.5,1190.5,1190.5,0
2014-07-15,1203.9,1203.9,1203.9,1203.9,0
2014-07-16,1219.2,1219.2,1219.2,1219.2,0
2014-07-17,1218.59,1218.59,1218.59,1218.59,0
2014-07-18,1225.5,1225.5,1225.5,1225.5,0
2014-07-21,1228.8,1228.8,1228.8,1228.8,0
2014-07-22,1244.3,1244.3,1244.3,1244.3,0
2014-07-23,1251.5,1251.5,1251.5,1251.5,0
2014-07-24,1256.9,1256.9,1256.9,1256.9,0
2014-07-25,1250.4,1250.4,1250.4,1250.4,0
2014-07-28,1243.8,1243.8,1243.8,1243.8,0
2014-07-30,1246.5,1246.5,1246.5,1246.5,0
2014-07-31,1235.2,1235.2,1235.2,1235.2,0
2014-08-01,1215.59,1215.59,1215.59,1215.59,0
2014-08-04,1227.09,1227.09,1227.09,1227.09,0
2014-08-05,1237.3,1237.3,1237.3,1237.3,0
2014-08-06,1229.0,1229.0,1229.0,1229.0,0
2014-08-07,1224.2,1224.2,1224.2,1224.2,0
2014-08-08,1212.0,1212.0,1212.0,1212.0,0
2014-08-11,1223.3,1223.3,1223.3,1223.3,0
2014-08-12,1242.5,1242.5,1242.5,1242.5,0
2014-08-13,1245.2,1245.2,1245.2,1245.2,0
2014-08-14,1252.8,1252.8,1252.8,1252.8,0
2014-08-18,1265.4,1265.4,1265.4,1265.4,0
2014-08-19,1267.2,1267.2,1267.2,1267.2,0
2014-08-20,1263.59,1263.59,1263.59,1263.59,0
2014-08-21,1268.3,1268.3,1268.3,1268.3,0
