date,open,high,low,close,volume
2009-04-02 00:00:00,1000.0,1000.0,1000.0,1000.0,0
2009-04-06 00:00:00,985.89,985.89,985.89,985.89,0
2009-04-08 00:00:00,959.82,959.82,959.82,959.82,0
2009-04-09 00:00:00,960.09,960.09,960.09,960.09,0
2009-04-13 00:00:00,948.81,948.81,948.81,948.81,0
2009-04-15 00:00:00,920.41,920.41,920.41,920.41,0
2009-04-16 00:00:00,950.75,950.75,950.75,950.75,0
2009-04-17 00:00:00,946.61,946.61,946.61,946.61,0
2009-04-20 00:00:00,948.82,948.82,948.82,948.82,0
2009-04-21 00:00:00,952.21,952.21,952.21,952.21,0
2009-04-22 00:00:00,962.18,962.18,962.18,962.18,0
2009-04-23 00:00:00,935.27,935.27,935.27,935.27,0
2009-04-24 00:00:00,919.76,919.76,919.76,919.76,0
2009-04-27 00:00:00,922.72,922.72,922.72,922.72,0
2009-04-28 00:00:00,951.41,951.41,951.41,951.41,0
2009-04-29 00:00:00,919.9,919.9,919.9,919.9,0
2009-05-04 00:00:00,872.31,872.31,872.31,872.31,0
2009-05-05 00:00:00,870.49,870.49,870.49,870.49,0
2009-05-06 00:00:00,879.29,879.29,879.29,879.29,0
2009-05-07 00:00:00,865.04,865.04,865.04,865.04,0
2009-05-08 00:00:00,879.91,879.91,879.91,879.91,0
2009-05-11 00:00:00,896.02,896.02,896.02,896.02,0
2009-05-12 00:00:00,864.19,864.19,864.19,864.19,0
2009-05-13 00:00:00,875.01,875.01,875.01,875.01,0
2009-05-14 00:00:00,885.13,885.13,885.13,885.13,0
2009-05-15 00:00:00,865.93,865.93,865.93,865.93,0
2009-05-18 00:00:00,712.36,712.36,712.36,712.36,0
2009-05-19 00:00:00,713.19,713.19,713.19,713.19,0
2009-05-20 00:00:00,721.19,721.19,721.19,721.19,0
2009-05-21 00:00:00,731.27,731.27,731.27,731.27,0
2009-05-22 00:00:00,726.52,726.52,726.52,726.52,0
2009-05-25 00:00:00,726.78,726.78,726.78,726.78,0
2009-05-26 00:00:00,747.55,747.55,747.55,747.55,0
2009-05-27 00:00:00,718.66,718.66,718.66,718.66,0
2009-05-28 00:00:00,708.46,708.46,708.46,708.46,0
2009-05-29 00:00:00,690.24,690.24,690.24,690.24,0
2009-06-01 00:00:00,677.82,677.82,677.82,677.82,0
2009-06-02 00:00:00,678.57,678.57,678.57,678.57,0
2009-06-03 00:00:00,677.81,677.81,677.81,677.81,0
2009-06-04 00:00:00,671.58,671.58,671.58,671.58,0
2009-06-05 00:00:00,669.54,669.54,669.54,669.54,0
2009-06-08 00:00:00,692.62,692.62,692.62,692.62,0
2009-06-09 00:00:00,673.75,673.75,673.75,673.75,0
2009-06-10 00:00:00,658.36,658.36,658.36,658.36,0
2009-06-11 00:00:00,660.9,660.9,660.9,660.9,0
2009-06-12 00:00:00,668.69,668.69,668.69,668.69,0
2009-06-15 00:00:00,683.25,683.25,683.25,683.25,0
2009-06-16 00:00:00,678.16,678.16,678.16,678.16,0
2009-06-17 00:00:00,702.47,702.47,702.47,702.47,0
2009-06-18 00:00:00,719.41,719.41,719.41,719.41,0
2009-06-19 00:00:00,708.92,708.92,708.92,708.92,0
2009-06-22 00:00:00,721.94,721.94,721.94,721.94,0
2009-06-23 00:00:00,720.0,720.0,720.0,720.0,0
2009-06-24 00:00:00,712.26,712.26,712.26,712.26,0
2009-06-25 00:00:00,720.8,720.8,720.8,720.8,0
2009-06-26 00:00:00,698.14,698.14,698.14,698.14,0
2009-06-29 00:00:00,695.85,695.85,695.85,695.85,0
2009-06-30 00:00:00,711.74,711.74,711.74,711.74,0
2009-07-01 00:00:00,703.54,703.54,703.54,703.54,0
2009-07-02 00:00:00,702.31,702.31,702.31,702.31,0
2009-07-03 00:00:00,690.17,690.17,690.17,690.17,0
2009-07-06 00:00:00,730.67,730.67,730.67,730.67,0
2009-07-07 00:00:00,724.33,724.33,724.33,724.33,0
2009-07-08 00:00:00,745.64,745.64,745.64,745.64,0
2009-07-09 00:00:00,745.32,745.32,745.32,745.32,0
2009-07-10 00:00:00,759.45,759.45,759.45,759.45,0
2009-07-13 00:00:00,765.3,765.3,765.3,765.3,0
2009-07-14 00:00:00,738.91,738.91,738.91,738.91,0
2009-07-15 00:00:00,717.03,717.03,717.03,717.03,0
2009-07-16 00:00:00,717.45,717.45,717.45,717.45,0
2009-07-17 00:00:00,693.17,693.17,693.17,693.17,0
2009-07-20 00:00:00,673.15,673.15,673.15,673.15,0
2009-07-21 00:00:00,678.16,678.16,678.16,678.16,0
2009-07-22 00:00:00,688.87,688.87,688.87,688.87,0
2009-07-23 00:00:00,669.37,669.37,669.37,669.37,0
2009-07-24 00:00:00,662.8,662.8,662.8,662.8,0
2009-07-27 00:00:00,662.42,662.42,662.42,662.42,0
2009-07-28 00:00:00,663.66,663.66,663.66,663.66,0
2009-07-29 00:00:00,671.07,671.07,671.07,671.07,0
2009-07-30 00:00:00,662.52,662.52,662.52,662.52,0
2009-07-31 00:00:00,653.15,653.15,653.15,653.15,0
2009-08-03 00:00:00,642.75,642.75,642.75,642.75,0
2009-08-04 00:00:00,647.02,647.02,647.02,647.02,0
2009-08-05 00:00:00,645.17,645.17,645.17,645.17,0
2009-08-06 00:00:00,660.16,660.16,660.16,660.16,0
2009-08-07 00:00:00,675.17,675.17,675.17,675.17,0
2009-08-10 00:00:00,681.95,681.95,681.95,681.95,0
2009-08-11 00:00:00,676.82,676.82,676.82,676.82,0
2009-08-12 00:00:00,678.97,678.97,678.97,678.97,0
2009-08-13 00:00:00,656.56,656.56,656.56,656.56,0
2009-08-14 00:00:00,660.16,660.16,660.16,660.16,0
2009-08-17 00:00:00,687.93,687.93,687.93,687.93,0
2009-08-18 00:00:00,676.85,676.85,676.85,676.85,0
2009-08-19 00:00:00,686.74,686.74,686.74,686.74,0
2009-08-20 00:00:00,677.52,677.52,677.52,677.52,0
2009-08-21 00:00:00,666.11,666.11,666.11,666.11,0
2009-08-24 00:00:00,649.42,649.42,649.42,649.42,0
2009-08-25 00:00:00,647.16,647.16,647.16,647.16,0
2009-08-26 00:00:00,644.23,644.23,644.23,644.23,0
2009-08-27 00:00:00,643.26,643.26,643.26,643.26,0
2009-08-28 00:00:00,637.23,637.23,637.23,637.23,0
2009-08-31 00:00:00,646.86,646.86,646.86,646.86,0
2009-09-01 00:00:00,652.0,652.0,652.0,652.0,0
2009-09-02 00:00:00,654.45,654.45,654.45,654.45,0
2009-09-03 00:00:00,656.6,656.6,656.6,656.6,0
2009-09-04 00:00:00,644.23,644.23,644.23,644.23,0
2009-09-07 00:00:00,630.29,630.29,630.29,630.29,0
2009-09-08 00:00:00,627.4,627.4,627.4,627.4,0
2009-09-09 00:00:00,626.27,626.27,626.27,626.27,0
2009-09-10 00:00:00,625.65,625.65,625.65,625.65,0
2009-09-11 00:00:00,624.38,624.38,624.38,624.38,0
2009-09-14 00:00:00,627.22,627.22,627.22,627.22,0
2009-09-15 00:00:00,616.37,616.37,616.37,616.37,0
2009-09-16 00:00:00,608.05,608.05,608.05,608.05,0
2009-09-17 00:00:00,607.24,607.24,607.24,607.24,0
2009-09-18 00:00:00,606.0,606.0,606.0,606.0,0
2009-09-22 00:00:00,600.83,600.83,600.83,600.83,0
2009-09-23 00:00:00,606.89,606.89,606.89,606.89,0
2009-09-24 00:00:00,604.91,604.91,604.91,604.91,0
