date,open,high,low,close,volume
2006-12-29,1000.0,1000.0,1000.0,1000.0,0
2007-01-02,1012.28,1012.28,1012.28,1012.28,0
2007-01-03,1018.47,1018.47,1018.47,1018.47,0
2007-01-04,1011.66,1011.66,1011.66,1011.66,0
2007-01-05,1007.7,1007.7,1007.7,1007.7,0
2007-01-08,992.04,992.04,992.04,992.04,0
2007-01-09,985.34,985.34,985.34,985.34,0
2007-01-10,971.72,971.72,971.72,971.72,0
2007-01-11,993.73,993.73,993.73,993.73,0
2007-01-12,1017.32,1017.32,1017.32,1017.32,0
2007-01-15,1026.53,1026.53,1026.53,1026.53,0
2007-01-16,1027.62,1027.62,1027.62,1027.62,0
2007-01-17,1028.46,1028.46,1028.46,1028.46,0
2007-01-18,1036.77,1036.77,1036.77,1036.77,0
2007-01-19,1031.44,1031.44,1031.44,1031.44,0
2007-01-22,1033.54,1033.54,1033.54,1033.54,0
2007-01-23,1022.84,1022.84,1022.84,1022.84,0
2007-01-24,1024.26,1024.26,1024.26,1024.26,0
2007-01-25,1036.74,1036.74,1036.74,1036.74,0
2007-01-29,1034.24,1034.24,1034.24,1034.24,0
2007-01-31,1026.6,1026.6,1026.6,1026.6,0
2007-02-01,1039.04,1039.04,1039.04,1039.04,0
2007-02-02,1054.07,1054.07,1054.07,1054.07,0
2007-02-05,1061.7,1061.7,1061.7,1061.7,0
2007-02-06,1058.29,1058.29,1058.29,1058.29,0
2007-02-07,1067.9,1067.9,1067.9,1067.9,0
2007-02-08,1067.97,1067.97,1067.97,1067.97,0
2007-02-09,1056.15,1056.15,1056.15,1056.15,0
2007-02-12,1029.11,1029.11,1029.11,1029.11,0
2007-02-13,1023.15,1023.15,1023.15,1023.15,0
2007-02-14,1026.76,1026.76,1026.76,1026.76,0
2007-02-15,1056.89,1056.89,1056.89,1056.89,0
2007-02-19,1058.57,1058.57,1058.57,1058.57,0
2007-02-20,1045.77,1045.77,1045.77,1045.77,0
2007-02-21,1038.97,1038.97,1038.97,1038.97,0
2007-02-22,1026.16,1026.16,1026.16,1026.16,0
2007-02-23,1002.24,1002.24,1002.24,1002.24,0
2007-02-26,1000.97,1000.97,1000.97,1000.97,0
2007-02-27,990.53,990.53,990.53,990.53,0
2007-02-28,948.95,948.95,948.95,948.95,0
2007-03-01,967.48,967.48,967.48,967.48,0
2007-03-02,942.67,942.67,942.67,942.67,0
2007-03-05,904.13,904.13,904.13,904.13,0
2007-03-06,929.65,929.65,929.65,929.65,0
2007-03-07,923.95,923.95,923.95,923.95,0
2007-03-08,960.66,960.66,960.66,960.66,0
2007-03-09,947.19,947.19,947.19,947.19,0
2007-03-12,950.43,950.43,950.43,950.43,0
2007-03-13,957.7,957.7,957.7,957.7,0
2007-03-14,924.81,924.81,924.81,924.81,0
2007-03-15,935.16,935.16,935.16,935.16,0
2007-03-16,926.3,926.3,926.3,926.3,0
2007-03-19,944.76,944.76,944.76,944.76,0
2007-03-20,949.07,949.07,949.07,949.07,0
2007-03-21,963.41,963.41,963.41,963.41,0
2007-03-22,988.56,988.56,988.56,988.56,0
2007-03-23,987.76,987.76,987.76,987.76,0
2007-03-26,977.56,977.56,977.56,977.56,0
2007-03-28,960.08,960.08,960.08,960.08,0
2007-03-29,969.39,969.39,969.39,969.39,0
2007-03-30,977.27,977.27,977.27,977.27,0
2007-04-02,931.16,931.16,931.16,931.16,0
2007-04-03,947.03,947.03,947.03,947.03,0
2007-04-04,957.07,957.07,957.07,957.07,0
2007-04-05,958.58,958.58,958.58,958.58,0
2007-04-09,981.14,981.14,981.14,981.14,0
2007-04-10,978.26,978.26,978.26,978.26,0
2007-04-11,979.5,979.5,979.5,979.5,0
2007-04-12,978.21,978.21,978.21,978.21,0
2007-04-13,1000.52,1000.52,1000.52,1000.52,0
2007-04-16,1025.21,1025.21,1025.21,1025.21,0
