date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1002.46,1002.46,1002.46,1002.46,0
2005-04-05,998.47,998.47,998.47,998.47,0
2005-04-06,1003.99,1003.99,1003.99,1003.99,0
2005-04-07,999.23,999.23,999.23,999.23,0
2005-04-08,989.93,989.93,989.93,989.93,0
2005-04-11,982.73,982.73,982.73,982.73,0
2005-04-12,990.83,990.83,990.83,990.83,0
2005-04-13,994.08,994.08,994.08,994.08,0
2005-04-15,970.63,970.63,970.63,970.63,0
2005-04-18,960.09,960.09,960.09,960.09,0
2005-04-19,956.23,956.23,956.23,956.23,0
2005-04-20,966.59,966.59,966.59,966.59,0
2005-04-21,974.66,974.66,974.66,974.66,0
2005-04-22,986.01,986.01,986.01,986.01,0
2005-04-25,990.18,990.18,990.18,990.18,0
2005-04-26,986.37,986.37,986.37,986.37,0
2005-04-27,981.64,981.64,981.64,981.64,0
2005-04-28,987.08,987.08,987.08,987.08,0
2005-04-29,966.3,966.3,966.3,966.3,0
2005-05-02,969.2,969.2,969.2,969.2,0
2005-05-03,973.67,973.67,973.67,973.67,0
2005-05-04,986.48,986.48,986.48,986.48,0
2005-05-05,995.01,995.01,995.01,995.01,0
2005-05-06,999.44,999.44,999.44,999.44,0
2005-05-09,1011.43,1011.43,1011.43,1011.43,0
2005-05-10,1011.91,1011.91,1011.91,1011.91,0
2005-05-11,1010.54,1010.54,1010.54,1010.54,0
2005-05-12,1015.14,1015.14,1015.14,1015.14,0
2005-05-13,1016.8,1016.8,1016.8,1016.8,0
2005-05-16,1022.73,1022.73,1022.73,1022.73,0
2005-05-17,1015.0,1015.0,1015.0,1015.0,0
2005-05-18,1011.63,1011.63,1011.63,1011.63,0
2005-05-19,1016.11,1016.11,1016.11,1016.11,0
2005-05-20,1017.46,1017.46,1017.46,1017.46,0
2005-05-23,1023.53,1023.53,1023.53,1023.53,0
2005-05-24,1025.98,1025.98,1025.98,1025.98,0
2005-05-25,1034.1,1034.1,1034.1,1034.1,0
2005-05-26,1044.15,1044.15,1044.15,1044.15,0
2005-05-27,1047.6,1047.6,1047.6,1047.6,0
2005-05-30,1043.37,1043.37,1043.37,1043.37,0
2005-05-31,1050.62,1050.62,1050.62,1050.62,0
2005-06-01,1057.93,1057.93,1057.93,1057.93,0
2005-06-02,1049.93,1049.93,1049.93,1049.93,0
2005-06-03,1057.37,1057.37,1057.37,1057.37,0
2005-06-04,1059.71,1059.71,1059.71,1059.71,0
2005-06-06,1059.78,1059.78,1059.78,1059.78,0
