date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,996.81,996.81,996.81,996.81,0
2005-04-05,985.34,985.34,985.34,985.34,0
2005-04-06,994.42,994.42,994.42,994.42,0
2005-04-07,992.09,992.09,992.09,992.09,0
2005-04-08,982.17,982.17,982.17,982.17,0
2005-04-11,973.97,973.97,973.97,973.97,0
2005-04-12,982.55,982.55,982.55,982.55,0
2005-04-13,982.54,982.54,982.54,982.54,0
2005-04-15,948.26,948.26,948.26,948.26,0
2005-04-18,934.03,934.03,934.03,934.03,0
2005-04-19,922.97,922.97,922.97,922.97,0
2005-04-20,941.84,941.84,941.84,941.84,0
2005-04-21,953.51,953.51,953.51,953.51,0
2005-04-22,964.93,964.93,964.93,964.93,0
2005-04-25,967.07,967.07,967.07,967.07,0
2005-04-26,962.65,962.65,962.65,962.65,0
2005-04-27,956.4,956.4,956.4,956.4,0
2005-04-28,957.66,957.66,957.66,957.66,0
2005-04-29,939.42,939.42,939.42,939.42,0
2005-05-02,943.21,943.21,943.21,943.21,0
2005-05-03,942.66,942.66,942.66,942.66,0
2005-05-04,955.2,955.2,955.2,955.2,0
2005-05-05,966.77,966.77,966.77,966.77,0
2005-05-06,971.52,971.52,971.52,971.52,0
2005-05-09,985.23,985.23,985.23,985.23,0
2005-05-10,984.09,984.09,984.09,984.09,0
2005-05-11,979.59,979.59,979.59,979.59,0
2005-05-12,984.54,984.54,984.54,984.54,0
2005-05-13,983.76,983.76,983.76,983.76,0
2005-05-16,992.46,992.46,992.46,992.46,0
2005-05-17,983.13,983.13,983.13,983.13,0
2005-05-18,979.53,979.53,979.53,979.53,0
2005-05-19,985.9,985.9,985.9,985.9,0
2005-05-20,985.32,985.32,985.32,985.32,0
2005-05-23,988.28,988.28,988.28,988.28,0
2005-05-24,997.13,997.13,997.13,997.13,0
2005-05-25,1004.62,1004.62,1004.62,1004.62,0
2005-05-26,1012.98,1012.98,1012.98,1012.98,0
2005-05-27,1016.84,1016.84,1016.84,1016.84,0
2005-05-30,1012.86,1012.86,1012.86,1012.86,0
2005-05-31,1020.12,1020.12,1020.12,1020.12,0
2005-06-01,1022.33,1022.33,1022.33,1022.33,0
2005-06-02,1013.47,1013.47,1013.47,1013.47,0
2005-06-03,1021.74,1021.74,1021.74,1021.74,0
2005-06-04,1025.32,1025.32,1025.32,1025.32,0
2005-06-06,1023.66,1023.66,1023.66,1023.66,0
2005-06-07,1023.2,1023.2,1023.2,1023.2,0
2005-06-08,1029.16,1029.16,1029.16,1029.16,0
2005-06-09,1025.19,1025.19,1025.19,1025.19,0
2005-06-10,1016.08,1016.08,1016.08,1016.08,0
2005-06-13,1015.35,1015.35,1015.35,1015.35,0
2005-06-14,1016.6,1016.6,1016.6,1016.6,0
2005-06-15,1021.54,1021.54,1021.54,1021.54,0
2005-06-16,1016.65,1016.65,1016.65,1016.65,0
2005-06-17,1012.92,1012.92,1012.92,1012.92,0
2005-06-20,1015.41,1015.41,1015.41,1015.41,0
2005-06-21,1026.25,1026.25,1026.25,1026.25,0
2005-06-22,1029.69,1029.69,1029.69,1029.69,0
2005-06-23,1032.95,1032.95,1032.95,1032.95,0
2005-06-24,1038.62,1038.62,1038.62,1038.62,0
2005-06-27,1037.41,1037.41,1037.41,1037.41,0
2005-06-28,1020.09,1020.09,1020.09,1020.09,0
2005-06-29,1028.31,1028.31,1028.31,1028.31,0
2005-06-30,1031.1,1031.1,1031.1,1031.1,0
2005-07-01,1037.79,1037.79,1037.79,1037.79,0
2005-07-04,1046.9,1046.9,1046.9,1046.9,0
2005-07-05,1040.1,1040.1,1040.1,1040.1,0
2005-07-06,1050.52,1050.52,1050.52,1050.52,0
2005-07-07,1035.57,1035.57,1035.57,1035.57,0
2005-07-08,1048.88,1048.88,1048.88,1048.88,0
2005-07-11,1056.88,1056.88,1056.88,1056.88,0
2005-07-12,1056.51,1056.51,1056.51,1056.51,0
2005-07-13,1054.43,1054.43,1054.43,1054.43,0
2005-07-14,1047.96,1047.96,1047.96,1047.96,0
2005-07-15,1057.72,1057.72,1057.72,1057.72,0
2005-07-18,1072.97,1072.97,1072.97,1072.97,0
2005-07-19,1077.41,1077.41,1077.41,1077.41,0
2005-07-20,1079.48,1079.48,1079.48,1079.48,0
2005-07-21,1075.88,1075.88,1075.88,1075.88,0
2005-07-22,1087.02,1087.02,1087.02,1087.02,0
2005-07-25,1092.65,1092.65,1092.65,1092.65,0
2005-07-26,1091.32,1091.32,1091.32,1091.32,0
2005-07-27,1092.31,1092.31,1092.31,1092.31,0
2005-07-29,1078.8,1078.8,1078.8,1078.8,0
2005-08-01,1089.48,1089.48,1089.48,1089.48,0
2005-08-02,1107.47,1107.47,1107.47,1107.47,0
2005-08-03,1112.18,1112.18,1112.18,1112.18,0
2005-08-04,1120.44,1120.44,1120.44,1120.44,0
2005-08-05,1117.22,1117.22,1117.22,1117.22,0
2005-08-08,1100.13,1100.13,1100.13,1100.13,0
2005-08-09,1096.27,1096.27,1096.27,1096.27,0
2005-08-10,1118.41,1118.41,1118.41,1118.41,0
2005-08-11,1132.4,1132.4,1132.4,1132.4,0
2005-08-12,1133.42,1133.42,1133.42,1133.42,0
2005-08-16,1139.7,1139.7,1139.7,1139.7,0
2005-08-17,1149.68,1149.68,1149.68,1149.68,0
2005-08-18,1137.03,1137.03,1137.03,1137.03,0
2005-08-19,1136.18,1136.18,1136.18,1136.18,0
2005-08-22,1134.51,1134.51,1134.51,1134.51,0
2005-08-23,1111.6,1111.6,1111.6,1111.6,0
2005-08-24,1097.26,1097.26,1097.26,1097.26,0
2005-08-25,1111.37,1111.37,1111.37,1111.37,0
2005-08-26,1117.34,1117.34,1117.34,1117.34,0
2005-08-29,1107.46,1107.46,1107.46,1107.46,0
2005-08-30,1127.01,1127.01,1127.01,1127.01,0
2005-08-31,1134.2,1134.2,1134.2,1134.2,0
2005-09-01,1148.13,1148.13,1148.13,1148.13,0
2005-09-02,1152.93,1152.93,1152.93,1152.93,0
2005-09-05,1156.18,1156.18,1156.18,1156.18,0
2005-09-06,1160.42,1160.42,1160.42,1160.42,0
2005-09-08,1169.22,1169.22,1169.22,1169.22,0
2005-09-09,1165.67,1165.67,1165.67,1165.67,0
2005-09-12,1174.3,1174.3,1174.3,1174.3,0
2005-09-13,1181.94,1181.94,1181.94,1181.94,0
2005-09-14,1180.46,1180.46,1180.46,1180.46,0
2005-09-15,1193.1,1193.1,1193.1,1193.1,0
2005-09-16,1198.22,1198.22,1198.22,1198.22,0
2005-09-19,1211.69,1211.69,1211.69,1211.69,0
2005-09-20,1210.23,1210.23,1210.23,1210.23,0
2005-09-21,1193.71,1193.71,1193.71,1193.71,0
2005-09-22,1149.04,1149.04,1149.04,1149.04,0
2005-09-23,1148.47,1148.47,1148.47,1148.47,0
2005-09-26,1187.93,1187.93,1187.93,1187.93,0
2005-09-27,1196.53,1196.53,1196.53,1196.53,0
2005-09-28,1204.24,1204.24,1204.24,1204.24,0
2005-09-29,1205.3,1205.3,1205.3,1205.3,0
2005-09-30,1208.1,1208.1,1208.1,1208.1,0
2005-10-03,1226.87,1226.87,1226.87,1226.87,0
2005-10-04,1248.51,1248.51,1248.51,1248.51,0
2005-10-05,1241.08,1241.08,1241.08,1241.08,0
2005-10-06,1211.85,1211.85,1211.85,1211.85,0
2005-10-07,1203.79,1203.79,1203.79,1203.79,0
2005-10-10,1197.99,1197.99,1197.99,1197.99,0
2005-10-11,1202.96,1202.96,1202.96,1202.96,0
2005-10-13,1174.44,1174.44,1174.44,1174.44,0
2005-10-14,1159.38,1159.38,1159.38,1159.38,0
2005-10-17,1160.63,1160.63,1160.63,1160.63,0
2005-10-18,1155.51,1155.51,1155.51,1155.51,0
2005-10-19,1128.52,1128.52,1128.52,1128.52,0
2005-10-20,1120.58,1120.58,1120.58,1120.58,0
2005-10-21,1137.63,1137.63,1137.63,1137.63,0
2005-10-24,1122.93,1122.93,1122.93,1122.93,0
2005-10-25,1129.55,1129.55,1129.55,1129.55,0
2005-10-26,1123.21,1123.21,1123.21,1123.21,0
2005-10-27,1103.41,1103.41,1103.41,1103.41,0
2005-10-28,1070.33,1070.33,1070.33,1070.33,0
2005-10-31,1098.87,1098.87,1098.87,1098.87,0
2005-11-01,1110.17,1110.17,1110.17,1110.17,0
2005-11-02,1122.15,1122.15,1122.15,1122.15,0
2005-11-07,1143.08,1143.08,1143.08,1143.08,0
2005-11-08,1158.96,1158.96,1158.96,1158.96,0
2005-11-09,1152.95,1152.95,1152.95,1152.95,0
2005-11-10,1156.69,1156.69,1156.69,1156.69,0
2005-11-11,1180.91,1180.91,1180.91,1180.91,0
2005-11-14,1180.71,1180.71,1180.71,1180.71,0
2005-11-16,1191.68,1191.68,1191.68,1191.68,0
2005-11-17,1199.98,1199.98,1199.98,1199.98,0
2005-11-18,1205.91,1205.91,1205.91,1205.91,0
2005-11-21,1200.55,1200.55,1200.55,1200.55,0
2005-11-22,1190.46,1190.46,1190.46,1190.46,0
2005-11-23,1202.39,1202.39,1202.39,1202.39,0
2005-11-24,1211.07,1211.07,1211.07,1211.07,0
2005-11-25,1234.04,1234.04,1234.04,1234.04,0
2005-11-26,1244.81,1244.81,1244.81,1244.81,0
2005-11-28,1260.9,1260.9,1260.9,1260.9,0
2005-11-29,1255.7,1255.7,1255.7,1255.7,0
2005-11-30,1237.26,1237.26,1237.26,1237.26,0
2005-12-01,1259.62,1259.62,1259.62,1259.62,0
2005-12-02,1265.43,1265.43,1265.43,1265.43,0
2005-12-05,1255.28,1255.28,1255.28,1255.28,0
2005-12-06,1253.88,1253.88,1253.88,1253.88,0
2005-12-07,1265.33,1265.33,1265.33,1265.33,0
2005-12-08,1270.08,1270.08,1270.08,1270.08,0
2005-12-09,1288.46,1288.46,1288.46,1288.46,0
2005-12-12,1300.64,1300.64,1300.64,1300.64,0
2005-12-13,1315.96,1315.96,1315.96,1315.96,0
2005-12-14,1312.21,1312.21,1312.21,1312.21,0
2005-12-15,1298.98,1298.98,1298.98,1298.98,0
2005-12-16,1311.65,1311.65,1311.65,1311.65,0
2005-12-19,1329.47,1329.47,1329.47,1329.47,0
2005-12-20,1322.66,1322.66,1322.66,1322.66,0
2005-12-21,1324.94,1324.94,1324.94,1324.94,0
2005-12-22,1329.19,1329.19,1329.19,1329.19,0
2005-12-23,1319.84,1319.84,1319.84,1319.84,0
2005-12-26,1293.56,1293.56,1293.56,1293.56,0
2005-12-27,1317.12,1317.12,1317.12,1317.12,0
2005-12-28,1313.2,1313.2,1313.2,1313.2,0
2005-12-29,1326.57,1326.57,1326.57,1326.57,0
2005-12-30,1339.14,1339.14,1339.14,1339.14,0
2006-01-02,1339.97,1339.97,1339.97,1339.97,0
2006-01-03,1361.15,1361.15,1361.15,1361.15,0
2006-01-04,1369.65,1369.65,1369.65,1369.65,0
2006-01-05,1372.92,1372.92,1372.92,1372.92,0
2006-01-06,1386.33,1386.33,1386.33,1386.33,0
2006-01-09,1389.74,1389.74,1389.74,1389.74,0
2006-01-10,1375.49,1375.49,1375.49,1375.49,0
2006-01-12,1368.59,1368.59,1368.59,1368.59,0
2006-01-13,1368.52,1368.52,1368.52,1368.52,0
2006-01-16,1361.33,1361.33,1361.33,1361.33,0
2006-01-17,1347.98,1347.98,1347.98,1347.98,0
2006-01-18,1340.67,1340.67,1340.67,1340.67,0
2006-01-19,1372.82,1372.82,1372.82,1372.82,0
2006-01-20,1385.89,1385.89,1385.89,1385.89,0
2006-01-23,1378.17,1378.17,1378.17,1378.17,0
2006-01-24,1390.82,1390.82,1390.82,1390.82,0
2006-01-25,1400.42,1400.42,1400.42,1400.42,0
2006-01-27,1428.3,1428.3,1428.3,1428.3,0
2006-01-30,1419.24,1419.24,1419.24,1419.24,0
2006-01-31,1428.89,1428.89,1428.89,1428.89,0
2006-02-01,1410.0,1410.0,1410.0,1410.0,0
2006-02-02,1416.9,1416.9,1416.9,1416.9,0
2006-02-03,1407.12,1407.12,1407.12,1407.12,0
2006-02-06,1429.49,1429.49,1429.49,1429.49,0
2006-02-07,1446.0,1446.0,1446.0,1446.0,0
2006-02-08,1444.13,1444.13,1444.13,1444.13,0
2006-02-10,1461.84,1461.84,1461.84,1461.84,0
