date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1015.42,1015.42,1015.42,1015.42,0
2005-04-05,1008.76,1008.76,1008.76,1008.76,0
2005-04-06,1025.13,1025.13,1025.13,1025.13,0
2005-04-07,1019.09,1019.09,1019.09,1019.09,0
2005-04-08,1009.69,1009.69,1009.69,1009.69,0
2005-04-11,999.58,999.58,999.58,999.58,0
2005-04-12,1005.32,1005.32,1005.32,1005.32,0
2005-04-13,1005.21,1005.21,1005.21,1005.21,0
2005-04-15,970.69,970.69,970.69,970.69,0
2005-04-18,958.05,958.05,958.05,958.05,0
2005-04-19,957.1,957.1,957.1,957.1,0
2005-04-20,970.42,970.42,970.42,970.42,0
2005-04-21,988.07,988.07,988.07,988.07,0
2005-04-22,1011.97,1011.97,1011.97,1011.97,0
2005-04-25,1012.76,1012.76,1012.76,1012.76,0
2005-04-26,1008.01,1008.01,1008.01,1008.01,0
2005-04-27,1003.14,1003.14,1003.14,1003.14,0
2005-04-28,996.41,996.41,996.41,996.41,0
2005-04-29,974.03,974.03,974.03,974.03,0
2005-05-02,958.87,958.87,958.87,958.87,0
2005-05-03,960.43,960.43,960.43,960.43,0
2005-05-04,979.52,979.52,979.52,979.52,0
2005-05-05,985.47,985.47,985.47,985.47,0
2005-05-06,992.14,992.14,992.14,992.14,0
2005-05-09,1010.83,1010.83,1010.83,1010.83,0
2005-05-10,1009.94,1009.94,1009.94,1009.94,0
2005-05-11,1013.55,1013.55,1013.55,1013.55,0
2005-05-12,1027.13,1027.13,1027.13,1027.13,0
2005-05-13,1036.11,1036.11,1036.11,1036.11,0
2005-05-16,1049.95,1049.95,1049.95,1049.95,0
2005-05-17,1037.93,1037.93,1037.93,1037.93,0
2005-05-18,1041.34,1041.34,1041.34,1041.34,0
2005-05-19,1052.37,1052.37,1052.37,1052.37,0
2005-05-20,1050.89,1050.89,1050.89,1050.89,0
2005-05-23,1058.17,1058.17,1058.17,1058.17,0
2005-05-24,1061.05,1061.05,1061.05,1061.05,0
2005-05-25,1061.22,1061.22,1061.22,1061.22,0
2005-05-26,1057.1,1057.1,1057.1,1057.1,0
2005-05-27,1048.25,1048.25,1048.25,1048.25,0
2005-05-30,1040.17,1040.17,1040.17,1040.17,0
2005-05-31,1047.16,1047.16,1047.16,1047.16,0
2005-06-01,1055.72,1055.72,1055.72,1055.72,0
2005-06-02,1049.68,1049.68,1049.68,1049.68,0
2005-06-03,1059.23,1059.23,1059.23,1059.23,0
2005-06-04,1067.25,1067.25,1067.25,1067.25,0
2005-06-06,1069.2,1069.2,1069.2,1069.2,0
2005-06-07,1068.22,1068.22,1068.22,1068.22,0
2005-06-08,1062.47,1062.47,1062.47,1062.47,0
2005-06-09,1067.09,1067.09,1067.09,1067.09,0
2005-06-10,1062.97,1062.97,1062.97,1062.97,0
2005-06-13,1060.26,1060.26,1060.26,1060.26,0
2005-06-14,1065.6,1065.6,1065.6,1065.6,0
2005-06-15,1073.81,1073.81,1073.81,1073.81,0
2005-06-16,1054.91,1054.91,1054.91,1054.91,0
2005-06-17,1035.65,1035.65,1035.65,1035.65,0
2005-06-20,1023.13,1023.13,1023.13,1023.13,0
