date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1015.88,1015.88,1015.88,1015.88,0
2005-04-05,1012.58,1012.58,1012.58,1012.58,0
2005-04-06,1026.82,1026.82,1026.82,1026.82,0
2005-04-07,1021.33,1021.33,1021.33,1021.33,0
2005-04-08,1013.41,1013.41,1013.41,1013.41,0
2005-04-11,1001.53,1001.53,1001.53,1001.53,0
2005-04-12,1008.69,1008.69,1008.69,1008.69,0
2005-04-13,1011.14,1011.14,1011.14,1011.14,0
2005-04-15,986.24,986.24,986.24,986.24,0
2005-04-18,973.17,973.17,973.17,973.17,0
2005-04-19,976.36,976.36,976.36,976.36,0
2005-04-20,987.08,987.08,987.08,987.08,0
2005-04-21,1004.6,1004.6,1004.6,1004.6,0
2005-04-22,1024.86,1024.86,1024.86,1024.86,0
2005-04-25,1028.71,1028.71,1028.71,1028.71,0
2005-04-26,1024.31,1024.31,1024.31,1024.31,0
2005-04-27,1010.7,1010.7,1010.7,1010.7,0
2005-04-28,1007.19,1007.19,1007.19,1007.19,0
2005-04-29,992.08,992.08,992.08,992.08,0
2005-05-02,982.33,982.33,982.33,982.33,0
2005-05-03,985.89,985.89,985.89,985.89,0
2005-05-04,995.81,995.81,995.81,995.81,0
2005-05-05,1002.55,1002.55,1002.55,1002.55,0
2005-05-06,1005.76,1005.76,1005.76,1005.76,0
2005-05-09,1021.11,1021.11,1021.11,1021.11,0
2005-05-10,1016.86,1016.86,1016.86,1016.86,0
2005-05-11,1019.8,1019.8,1019.8,1019.8,0
2005-05-12,1029.85,1029.85,1029.85,1029.85,0
2005-05-13,1036.56,1036.56,1036.56,1036.56,0
2005-05-16,1049.07,1049.07,1049.07,1049.07,0
2005-05-17,1039.45,1039.45,1039.45,1039.45,0
2005-05-18,1046.93,1046.93,1046.93,1046.93,0
2005-05-19,1052.17,1052.17,1052.17,1052.17,0
2005-05-20,1045.23,1045.23,1045.23,1045.23,0
2005-05-23,1052.92,1052.92,1052.92,1052.92,0
2005-05-24,1058.19,1058.19,1058.19,1058.19,0
2005-05-25,1061.85,1061.85,1061.85,1061.85,0
2005-05-26,1060.89,1060.89,1060.89,1060.89,0
2005-05-27,1055.21,1055.21,1055.21,1055.21,0
2005-05-30,1047.43,1047.43,1047.43,1047.43,0
2005-05-31,1052.85,1052.85,1052.85,1052.85,0
2005-06-01,1059.04,1059.04,1059.04,1059.04,0
2005-06-02,1050.59,1050.59,1050.59,1050.59,0
2005-06-03,1056.21,1056.21,1056.21,1056.21,0
2005-06-04,1056.53,1056.53,1056.53,1056.53,0
2005-06-06,1057.77,1057.77,1057.77,1057.77,0
2005-06-07,1058.31,1058.31,1058.31,1058.31,0
2005-06-08,1057.31,1057.31,1057.31,1057.31,0
2005-06-09,1062.01,1062.01,1062.01,1062.01,0
2005-06-10,1059.21,1059.21,1059.21,1059.21,0
2005-06-13,1058.05,1058.05,1058.05,1058.05,0
2005-06-14,1061.73,1061.73,1061.73,1061.73,0
2005-06-15,1067.2,1067.2,1067.2,1067.2,0
2005-06-16,1052.9,1052.9,1052.9,1052.9,0
2005-06-17,1036.09,1036.09,1036.09,1036.09,0
2005-06-20,1028.16,1028.16,1028.16,1028.16,0
2005-06-21,1031.3,1031.3,1031.3,1031.3,0
2005-06-22,1031.4,1031.4,1031.4,1031.4,0
2005-06-23,1036.29,1036.29,1036.29,1036.29,0
2005-06-24,1047.19,1047.19,1047.19,1047.19,0
2005-06-27,1043.0,1043.0,1043.0,1043.0,0
2005-06-28,1024.8,1024.8,1024.8,1024.8,0
2005-06-29,1035.07,1035.07,1035.07,1035.07,0
2005-06-30,1035.33,1035.33,1035.33,1035.33,0
2005-07-01,1050.11,1050.11,1050.11,1050.11,0
2005-07-04,1068.31,1068.31,1068.31,1068.31,0
2005-07-05,1067.85,1067.85,1067.85,1067.85,0
2005-07-06,1087.43,1087.43,1087.43,1087.43,0
2005-07-07,1073.51,1073.51,1073.51,1073.51,0
2005-07-08,1090.09,1090.09,1090.09,1090.09,0
2005-07-11,1103.16,1103.16,1103.16,1103.16,0
2005-07-12,1103.3,1103.3,1103.3,1103.3,0
2005-07-13,1112.33,1112.33,1112.33,1112.33,0
2005-07-14,1115.85,1115.85,1115.85,1115.85,0
2005-07-15,1126.44,1126.44,1126.44,1126.44,0
2005-07-18,1152.83,1152.83,1152.83,1152.83,0
2005-07-19,1166.9,1166.9,1166.9,1166.9,0
2005-07-20,1164.78,1164.78,1164.78,1164.78,0
2005-07-21,1163.88,1163.88,1163.88,1163.88,0
2005-07-22,1176.85,1176.85,1176.85,1176.85,0
2005-07-25,1181.06,1181.06,1181.06,1181.06,0
2005-07-26,1178.11,1178.11,1178.11,1178.11,0
2005-07-27,1182.36,1182.36,1182.36,1182.36,0
2005-07-29,1178.96,1178.96,1178.96,1178.96,0
2005-08-01,1191.13,1191.13,1191.13,1191.13,0
2005-08-02,1218.51,1218.51,1218.51,1218.51,0
2005-08-03,1220.89,1220.89,1220.89,1220.89,0
2005-08-04,1225.5,1225.5,1225.5,1225.5,0
2005-08-05,1239.68,1239.68,1239.68,1239.68,0
2005-08-08,1229.29,1229.29,1229.29,1229.29,0
2005-08-09,1222.59,1222.59,1222.59,1222.59,0
2005-08-10,1253.73,1253.73,1253.73,1253.73,0
2005-08-11,1280.29,1280.29,1280.29,1280.29,0
2005-08-12,1284.83,1284.83,1284.83,1284.83,0
2005-08-16,1292.61,1292.61,1292.61,1292.61,0
2005-08-17,1306.08,1306.08,1306.08,1306.08,0
2005-08-18,1307.31,1307.31,1307.31,1307.31,0
2005-08-19,1303.04,1303.04,1303.04,1303.04,0
2005-08-22,1303.87,1303.87,1303.87,1303.87,0
2005-08-23,1272.07,1272.07,1272.07,1272.07,0
2005-08-24,1247.99,1247.99,1247.99,1247.99,0
2005-08-25,1260.68,1260.68,1260.68,1260.68,0
2005-08-26,1291.58,1291.58,1291.58,1291.58,0
2005-08-29,1288.51,1288.51,1288.51,1288.51,0
2005-08-30,1309.72,1309.72,1309.72,1309.72,0
2005-08-31,1317.4,1317.4,1317.4,1317.4,0
2005-09-01,1338.4,1338.4,1338.4,1338.4,0
2005-09-02,1341.62,1341.62,1341.62,1341.62,0
2005-09-05,1342.84,1342.84,1342.84,1342.84,0
2005-09-06,1347.31,1347.31,1347.31,1347.31,0
2005-09-08,1359.97,1359.97,1359.97,1359.97,0
2005-09-09,1360.47,1360.47,1360.47,1360.47,0
2005-09-12,1373.04,1373.04,1373.04,1373.04,0
2005-09-13,1384.31,1384.31,1384.31,1384.31,0
2005-09-14,1376.23,1376.23,1376.23,1376.23,0
2005-09-15,1395.92,1395.92,1395.92,1395.92,0
2005-09-16,1404.07,1404.07,1404.07,1404.07,0
2005-09-19,1439.46,1439.46,1439.46,1439.46,0
2005-09-20,1427.4,1427.4,1427.4,1427.4,0
2005-09-21,1393.49,1393.49,1393.49,1393.49,0
2005-09-22,1326.56,1326.56,1326.56,1326.56,0
2005-09-23,1339.32,1339.32,1339.32,1339.32,0
2005-09-26,1384.93,1384.93,1384.93,1384.93,0
2005-09-27,1413.02,1413.02,1413.02,1413.02,0
2005-09-28,1438.04,1438.04,1438.04,1438.04,0
2005-09-29,1440.76,1440.76,1440.76,1440.76,0
2005-09-30,1428.64,1428.64,1428.64,1428.64,0
2005-10-03,1434.06,1434.06,1434.06,1434.06,0
2005-10-04,1439.94,1439.94,1439.94,1439.94,0
