date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1011.57,1011.57,1011.57,1011.57,0
2005-04-05,1005.84,1005.84,1005.84,1005.84,0
2005-04-06,1019.2,1019.2,1019.2,1019.2,0
2005-04-07,1017.39,1017.39,1017.39,1017.39,0
2005-04-08,1008.23,1008.23,1008.23,1008.23,0
2005-04-11,998.87,998.87,998.87,998.87,0
2005-04-12,1006.27,1006.27,1006.27,1006.27,0
2005-04-13,1007.27,1007.27,1007.27,1007.27,0
2005-04-15,979.94,979.94,979.94,979.94,0
2005-04-18,971.9,971.9,971.9,971.9,0
2005-04-19,973.24,973.24,973.24,973.24,0
2005-04-20,981.6,981.6,981.6,981.6,0
2005-04-21,998.61,998.61,998.61,998.61,0
2005-04-22,1016.36,1016.36,1016.36,1016.36,0
2005-04-25,1018.69,1018.69,1018.69,1018.69,0
2005-04-26,1020.22,1020.22,1020.22,1020.22,0
2005-04-27,1011.4,1011.4,1011.4,1011.4,0
2005-04-28,1009.69,1009.69,1009.69,1009.69,0
2005-04-29,997.95,997.95,997.95,997.95,0
2005-05-02,988.67,988.67,988.67,988.67,0
2005-05-03,992.11,992.11,992.11,992.11,0
2005-05-04,1005.44,1005.44,1005.44,1005.44,0
2005-05-05,1014.34,1014.34,1014.34,1014.34,0
2005-05-06,1019.38,1019.38,1019.38,1019.38,0
2005-05-09,1036.34,1036.34,1036.34,1036.34,0
2005-05-10,1034.17,1034.17,1034.17,1034.17,0
2005-05-11,1036.55,1036.55,1036.55,1036.55,0
2005-05-12,1050.44,1050.44,1050.44,1050.44,0
2005-05-13,1058.36,1058.36,1058.36,1058.36,0
2005-05-16,1071.98,1071.98,1071.98,1071.98,0
2005-05-17,1064.81,1064.81,1064.81,1064.81,0
2005-05-18,1068.02,1068.02,1068.02,1068.02,0
2005-05-19,1075.96,1075.96,1075.96,1075.96,0
2005-05-20,1073.74,1073.74,1073.74,1073.74,0
2005-05-23,1077.72,1077.72,1077.72,1077.72,0
2005-05-24,1081.66,1081.66,1081.66,1081.66,0
2005-05-25,1085.81,1085.81,1085.81,1085.81,0
2005-05-26,1085.06,1085.06,1085.06,1085.06,0
2005-05-27,1079.75,1079.75,1079.75,1079.75,0
2005-05-30,1070.15,1070.15,1070.15,1070.15,0
2005-05-31,1076.04,1076.04,1076.04,1076.04,0
2005-06-01,1083.85,1083.85,1083.85,1083.85,0
2005-06-02,1073.03,1073.03,1073.03,1073.03,0
2005-06-03,1079.52,1079.52,1079.52,1079.52,0
2005-06-04,1084.73,1084.73,1084.73,1084.73,0
2005-06-06,1087.19,1087.19,1087.19,1087.19,0
2005-06-07,1089.2,1089.2,1089.2,1089.2,0
2005-06-08,1087.85,1087.85,1087.85,1087.85,0
2005-06-09,1092.38,1092.38,1092.38,1092.38,0
2005-06-10,1088.12,1088.12,1088.12,1088.12,0
2005-06-13,1086.06,1086.06,1086.06,1086.06,0
2005-06-14,1091.38,1091.38,1091.38,1091.38,0
2005-06-15,1098.04,1098.04,1098.04,1098.04,0
2005-06-16,1082.95,1082.95,1082.95,1082.95,0
2005-06-17,1065.94,1065.94,1065.94,1065.94,0
2005-06-20,1059.55,1059.55,1059.55,1059.55,0
2005-06-21,1060.82,1060.82,1060.82,1060.82,0
2005-06-22,1061.38,1061.38,1061.38,1061.38,0
2005-06-23,1064.39,1064.39,1064.39,1064.39,0
2005-06-24,1070.72,1070.72,1070.72,1070.72,0
2005-06-27,1073.05,1073.05,1073.05,1073.05,0
2005-06-28,1055.45,1055.45,1055.45,1055.45,0
2005-06-29,1066.5,1066.5,1066.5,1066.5,0
2005-06-30,1068.26,1068.26,1068.26,1068.26,0
2005-07-01,1078.82,1078.82,1078.82,1078.82,0
2005-07-04,1097.62,1097.62,1097.62,1097.62,0
2005-07-05,1094.93,1094.93,1094.93,1094.93,0
2005-07-06,1112.36,1112.36,1112.36,1112.36,0
2005-07-07,1102.58,1102.58,1102.58,1102.58,0
2005-07-08,1122.3,1122.3,1122.3,1122.3,0
2005-07-11,1138.82,1138.82,1138.82,1138.82,0
2005-07-12,1138.84,1138.84,1138.84,1138.84,0
2005-07-13,1148.27,1148.27,1148.27,1148.27,0
2005-07-14,1148.68,1148.68,1148.68,1148.68,0
2005-07-15,1161.09,1161.09,1161.09,1161.09,0
2005-07-18,1180.38,1180.38,1180.38,1180.38,0
2005-07-19,1186.24,1186.24,1186.24,1186.24,0
2005-07-20,1189.2,1189.2,1189.2,1189.2,0
2005-07-21,1190.47,1190.47,1190.47,1190.47,0
