date,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1007.17,1007.17,1007.17,1007.17,0
2005-04-05,1000.36,1000.36,1000.36,1000.36,0
2005-04-06,1017.86,1017.86,1017.86,1017.86,0
2005-04-07,1019.78,1019.78,1019.78,1019.78,0
2005-04-08,1009.32,1009.32,1009.32,1009.32,0
2005-04-11,1002.19,1002.19,1002.19,1002.19,0
2005-04-12,1009.38,1009.38,1009.38,1009.38,0
2005-04-13,1008.48,1008.48,1008.48,1008.48,0
2005-04-15,979.17,979.17,979.17,979.17,0
2005-04-18,973.29,973.29,973.29,973.29,0
2005-04-19,970.72,970.72,970.72,970.72,0
2005-04-20,977.16,977.16,977.16,977.16,0
2005-04-21,993.04,993.04,993.04,993.04,0
2005-04-22,1010.96,1010.96,1010.96,1010.96,0
2005-04-25,1021.76,1021.76,1021.76,1021.76,0
2005-04-26,1026.9,1026.9,1026.9,1026.9,0
2005-04-27,1023.52,1023.52,1023.52,1023.52,0
2005-04-28,1027.03,1027.03,1027.03,1027.03,0
2005-04-29,1006.44,1006.44,1006.44,1006.44,0
2005-05-02,995.56,995.56,995.56,995.56,0
2005-05-03,1000.79,1000.79,1000.79,1000.79,0
2005-05-04,1022.88,1022.88,1022.88,1022.88,0
2005-05-05,1037.99,1037.99,1037.99,1037.99,0
2005-05-06,1045.31,1045.31,1045.31,1045.31,0
2005-05-09,1063.45,1063.45,1063.45,1063.45,0
2005-05-10,1067.52,1067.52,1067.52,1067.52,0
2005-05-11,1071.26,1071.26,1071.26,1071.26,0
2005-05-12,1094.99,1094.99,1094.99,1094.99,0
2005-05-13,1107.37,1107.37,1107.37,1107.37,0
2005-05-16,1118.41,1118.41,1118.41,1118.41,0
2005-05-17,1107.4,1107.4,1107.4,1107.4,0
2005-05-18,1107.92,1107.92,1107.92,1107.92,0
2005-05-19,1121.99,1121.99,1121.99,1121.99,0
2005-05-20,1126.54,1126.54,1126.54,1126.54,0
2005-05-23,1132.24,1132.24,1132.24,1132.24,0
2005-05-24,1133.53,1133.53,1133.53,1133.53,0
2005-05-25,1142.97,1142.97,1142.97,1142.97,0
2005-05-26,1140.23,1140.23,1140.23,1140.23,0
2005-05-27,1131.42,1131.42,1131.42,1131.42,0
2005-05-30,1117.8,1117.8,1117.8,1117.8,0
2005-05-31,1128.08,1128.08,1128.08,1128.08,0
2005-06-01,1138.82,1138.82,1138.82,1138.82,0
2005-06-02,1127.81,1127.81,1127.81,1127.81,0
2005-06-03,1139.88,1139.88,1139.88,1139.88,0
2005-06-04,1150.73,1150.73,1150.73,1150.73,0
2005-06-06,1157.34,1157.34,1157.34,1157.34,0
2005-06-07,1163.57,1163.57,1163.57,1163.57,0
2005-06-08,1164.14,1164.14,1164.14,1164.14,0
2005-06-09,1165.26,1165.26,1165.26,1165.26,0
2005-06-10,1158.29,1158.29,1158.29,1158.29,0
2005-06-13,1157.86,1157.86,1157.86,1157.86,0
2005-06-14,1163.44,1163.44,1163.44,1163.44,0
2005-06-15,1172.54,1172.54,1172.54,1172.54,0
2005-06-16,1148.42,1148.42,1148.42,1148.42,0
2005-06-17,1129.61,1129.61,1129.61,1129.61,0
2005-06-20,1115.47,1115.47,1115.47,1115.47,0
2005-06-21,1122.08,1122.08,1122.08,1122.08,0
2005-06-22,1130.13,1130.13,1130.13,1130.13,0
2005-06-23,1134.35,1134.35,1134.35,1134.35,0
2005-06-24,1143.49,1143.49,1143.49,1143.49,0
2005-06-27,1140.61,1140.61,1140.61,1140.61,0
2005-06-28,1120.13,1120.13,1120.13,1120.13,0
2005-06-29,1132.64,1132.64,1132.64,1132.64,0
2005-06-30,1143.79,1143.79,1143.79,1143.79,0
2005-07-01,1156.04,1156.04,1156.04,1156.04,0
2005-07-04,1170.48,1170.48,1170.48,1170.48,0
2005-07-05,1162.2,1162.2,1162.2,1162.2,0
2005-07-06,1182.75,1182.75,1182.75,1182.75,0
2005-07-07,1170.53,1170.53,1170.53,1170.53,0
2005-07-08,1196.3,1196.3,1196.3,1196.3,0
2005-07-11,1221.99,1221.99,1221.99,1221.99,0
2005-07-12,1227.4,1227.4,1227.4,1227.4,0
2005-07-13,1243.36,1243.36,1243.36,1243.36,0
2005-07-14,1244.85,1244.85,1244.85,1244.85,0
2005-07-15,1256.38,1256.38,1256.38,1256.38,0
2005-07-18,1284.11,1284.11,1284.11,1284.11,0
